REGN,C1_2,C2_2
1,Ар,295877114.00
1,Ар1,37727738.00
1,Ар1.1,0.00
1,Ар2,27958421.00
1,Ар3,17.00
1,Ар4,267918676.00
1,Ар5,0.00
1,Ариск0,37727738.00
1,К,116105958.00
1,Кф,1.00
1,Кинс,7742614.00
1,Крас,0.00
1,Крд,260642237.00
1,Крис,193704.00
1,КРС,11458923.00
1,КРВ,117341953.00
1,Кскр,171580338.00
1,Лам,136093555.00
1,Лат,238531688.00
1,ОД,129291777.00
1,ОР,4825523.00
1,ОВм,166312090.00
1,ОВт,326163254.00
1,ПК,338760342.00
1,Приз,3.00
1,И,3.00
1,РР,61679866.00
1,ПР,3133154.15
1,ОПР,1534024.82
1,СПР,1599129.33
1,ФР,1238818.26
1,ОФР,619409.13
1,СФР,619409.13
1,ВР,7030210.91
2,Ар,66262.00
2,Ар1,60565.00
2,Ар2,1998.00
2,Ар3,0.00
2,Ар4,64264.00
2,Ар5,0.00
2,Ариск0,60565.00
2,К,693542.00
2,Кф,0.63
2,Кинс,0.00
2,Крас,3838.00
2,Крд,764991.00
2,Крис,805.00
2,КРС,4134.00
2,КРВ,41281.00
2,Кскр,1244599.00
2,Лам,86592.00
2,Лат,234120.00
2,ОД,532.00
2,ОР,28446.00
2,ОВм,327989.00
2,ОВт,345830.00
2,ПК,1180519.00
2,РР,57044.00
2,ПР,0.00
2,ОПР,0.00
2,СПР,0.00
2,ФР,0.00
2,ОФР,0.00
2,СФР,0.00
2,ВР,57044.37
5,Ар,5395500.00
5,Ар1,1084757.00
5,Ар1.1,0.00
5,Ар2,212798.00
5,Ар3,0.00
5,Ар4,5182702.00
5,Ар5,0.00
5,Ариск0,1084757.00
5,К,848718.00
5,Кф,0.89
5,Кинс,0.00
5,Крас,8569.00
5,Крд,1473921.00
5,Крис,13085.00
5,КРС,0.00
5,КРВ,83871.00
5,Кскр,3163707.00
5,Лам,1220330.00
5,Лат,2329925.00
5,ОД,2175766.00
5,ОР,58659.00
5,ОВм,2737240.00
5,ОВт,3255412.00
5,ПК,564903.00
5,РР,245906.00
5,ПР,19672.51
5,ОПР,10388.84
5,СПР,9283.67
5,ФР,0.00
5,ОФР,0.00
5,СФР,0.00
5,ВР,0.00
18,Ар,8119259.00
18,Ар1,3631108.00
18,Ар1.1,0.00
18,Ар2,329354.00
18,Ар3,4505.00
18,Ар4,7785400.00
18,Ар5,0.00
18,Ариск0,3631108.00
18,К,3341933.00
18,Кф,0.83
18,Кинс,0.00
18,Крас,0.00
18,Крд,4454481.00
18,Крис,88647.00
18,КРС,0.00
18,КРВ,1797657.00
18,Кскр,4524098.00
18,Лам,2966125.00
18,Лат,5908752.00
18,ОД,3359063.00
18,ОР,141717.00
18,ОВм,3347604.00
18,ОВт,5665165.00
18,ПК,11274410.00
18,РР,1319150.00
18,ПР,105532.00
18,ОПР,29808.00
18,СПР,75724.00
18,ФР,0.00
18,ОФР,0.00
18,СФР,0.00
18,ВР,0.00
21,Ар,273939.00
21,Ар1,158906.00
21,Ар2,61066.00
21,Ар3,0.00
21,Ар4,212873.00
21,Ар5,0.00
21,Ариск0,158906.00
21,К,223317.00
21,Кф,0.77
21,Кинс,0.00
21,Крас,0.00
21,Крд,225048.00
21,Крис,5956.00
21,КРС,0.00
21,КРВ,11041.00
21,Кскр,314111.00
21,Лам,375661.00
21,Лат,582727.00
21,ОД,77002.00
21,ОР,19234.00
21,ОВм,360737.00
21,ОВт,393787.00
21,ПК,401545.00
21,РР,14350.00
21,ПР,0.00
21,ОПР,0.00
21,СПР,0.00
21,ФР,0.00
21,ОФР,0.00
21,СФР,0.00
21,ВР,14349.79
23,Ар,21913643.00
23,Ар1,1818016.00
23,Ар2,156571.00
23,Ар3,119874.00
23,Ар4,21637198.00
23,Ар5,0.00
23,Ариск0,1818016.00
23,К,3144047.00
23,Кф,0.87
23,Кинс,172533.00
23,Крас,389.00
23,Крд,7792420.00
23,Крис,24159.00
23,КРС,0.00
23,КРВ,69689.00
23,Кскр,17527757.00
23,Лам,2337911.00
23,Лат,4999500.00
23,ОД,2627621.00
23,ОР,141727.00
23,ОВм,4479938.00
23,ОВт,6154699.00
23,ПК,2996138.00
23,РР,0.00
23,ПР,0.00
23,ОПР,0.00
23,СПР,0.00
23,ФР,0.00
23,ОФР,0.00
23,СФР,0.00
23,ВР,0.00
52,Ар,7464563.00
52,Ар1,1618955.00
52,Ар2,884021.00
52,Ар3,10471.00
52,Ар4,6570071.00
52,Ар5,0.00
52,Ариск0,1618955.00
52,К,1464763.00
52,Кф,1.19
52,Кинс,0.00
52,Крас,926.00
52,Крд,1698248.00
52,Крис,22765.00
52,КРВ,708605.00
52,Кскр,4588155.00
52,Лам,5782932.00
52,Лат,6525845.00
52,ОД,1934584.00
52,ОР,131810.00
52,ОВм,6420625.00
52,ОВт,6782045.00
52,ПК,1298043.00
52,ПР,0.00
52,ОПР,0.00
52,СПР,0.00
52,ФР,0.00
52,ОФР,0.00
52,СФР,0.00
52,ВР,0.00
53,Ар,8872540.00
53,Ар1,856636.00
53,Ар2,1050674.00
53,Ар3,0.00
53,Ар4,7821866.00
53,Ар5,0.00
53,Ариск0,856636.00
53,К,1403112.00
53,Кф,0.93
53,Кинс,0.00
53,Крас,672.00
53,Крд,1248870.00
