REGN,C1_4,C2_4,C3_4,C4_4
520,1,Í3,30.98,12/1/2014
520,2,Í3,30.44,12/2/2014
520,3,Í3,28.83,12/3/2014
520,4,Í3,26.15,12/4/2014
520,5,Í3,27.03,12/5/2014
520,6,Í3,27.34,12/6/2014
520,7,Í3,27.47,12/7/2014
520,8,Í3,37.77,12/8/2014
520,9,Í3,36.15,12/9/2014
520,10,Í3,37.27,12/10/2014
520,11,Í3,35.23,12/11/2014
520,12,Í3,33.94,12/12/2014
520,13,Í3,34.26,12/13/2014
520,14,Í3,34.15,12/14/2014
520,15,Í3,36.87,12/15/2014
520,16,Í3,34.27,12/16/2014
520,17,Í3,36.65,12/17/2014
520,18,Í3,35.05,12/18/2014
520,19,Í3,29.63,12/19/2014
520,20,Í3,29.76,12/20/2014
520,21,Í3,29.66,12/21/2014
520,22,Í3,31.23,12/22/2014
520,23,Í3,30.52,12/23/2014
520,24,Í3,36.53,12/24/2014
520,25,Í3,35.97,12/25/2014
520,26,Í3,37.86,12/26/2014
520,27,Í3,37.39,12/27/2014
520,28,Í3,37.60,12/28/2014
520,29,Í3,38.12,12/29/2014
520,30,Í3,36.10,12/30/2014
520,31,Í3,31.90,12/31/2014
596,1,Í1.1,5.40,12/15/2014
596,2,Í1.1,5.34,12/16/2014
596,3,Í1.1,5.31,12/17/2014
596,4,Í1.1,5.34,12/18/2014
622,1,Í2,12.70,12/8/2014
622,2,Í2,14.24,12/23/2014
622,3,Í2,0.31,12/24/2014
622,4,Í2,10.51,12/25/2014
622,5,Í2,0.30,12/26/2014
622,6,Í2,0.30,12/27/2014
622,7,Í2,0.29,12/29/2014
622,8,Í2,0.36,12/30/2014
622,9,Í2,0.40,12/31/2014
655,1,Í1.0,9.39,12/10/2014
655,2,Í1.0,9.57,12/11/2014
655,3,Í1.0,9.96,12/12/2014
655,4,Í1.0,9.70,12/15/2014
777,1,Í1.1,5.13,12/1/2014
777,2,Í1.1,5.20,12/2/2014
777,3,Í1.1,5.40,12/3/2014
777,4,Í1.1,5.36,12/4/2014
777,5,Í1.1,5.38,12/5/2014
777,6,Í1.1,5.39,12/6/2014
777,7,Í1.1,5.40,12/7/2014
777,8,Í1.1,5.41,12/8/2014
777,9,Í1.1,5.41,12/9/2014
777,10,Í1.1,5.43,12/10/2014
777,11,Í1.1,5.47,12/11/2014
777,12,Í1.1,5.49,12/13/2014
777,13,Í1.1,5.46,12/15/2014
777,14,Í1.1,5.46,12/16/2014
777,15,Í1.1,5.38,12/17/2014
777,16,Í1.1,5.31,12/18/2014
777,17,Í1.1,5.48,12/19/2014
777,18,Í1.2,5.13,12/1/2014
777,19,Í1.2,5.20,12/2/2014
777,20,Í1.2,5.40,12/3/2014
777,21,Í1.2,5.36,12/4/2014
777,22,Í1.2,5.38,12/5/2014
777,23,Í1.2,5.39,12/6/2014
777,24,Í1.2,5.40,12/7/2014
777,25,Í1.2,5.41,12/8/2014
777,26,Í1.2,5.41,12/9/2014
777,27,Í1.2,5.43,12/10/2014
777,28,Í1.2,5.47,12/11/2014
777,29,Í1.2,5.49,12/13/2014
777,30,Í1.2,5.46,12/15/2014
777,31,Í1.2,5.46,12/16/2014
777,32,Í1.2,5.38,12/17/2014
777,33,Í1.2,5.31,12/18/2014
777,34,Í1.2,5.48,12/19/2014
777,35,Í10.1,3.31,12/1/2014
777,36,Í10.1,3.30,12/2/2014
777,37,Í10.1,3.26,12/3/2014
777,38,Í10.1,3.24,12/4/2014
777,39,Í10.1,3.24,12/5/2014
777,40,Í10.1,3.23,12/6/2014
777,41,Í10.1,3.23,12/7/2014
777,42,Í10.1,3.22,12/8/2014
777,43,Í10.1,3.23,12/9/2014
777,44,Í10.1,3.22,12/10/2014
777,45,Í10.1,3.22,12/11/2014
777,46,Í10.1,3.21,12/12/2014
777,47,Í10.1,3.21,12/13/2014
777,48,Í10.1,3.21,12/14/2014
777,49,Í10.1,3.16,12/15/2014
777,50,Í10.1,3.17,12/16/2014
777,51,Í10.1,3.20,12/17/2014
777,52,Í10.1,3.20,12/18/2014
777,53,Í10.1,3.19,12/19/2014
777,54,Í10.1,3.18,12/20/2014
777,55,Í10.1,3.18,12/21/2014
777,56,Í10.1,3.17,12/22/2014
777,57,Í10.1,3.16,12/23/2014
777,58,Í10.1,3.15,12/24/2014
777,59,Í10.1,3.16,12/25/2014
777,60,Í10.1,3.15,12/26/2014
777,61,Í10.1,3.14,12/27/2014
777,62,Í10.1,3.14,12/28/2014
777,63,Í10.1,3.06,12/29/2014
777,64,Í10.1,3.06,12/30/2014
777,65,Í10.1,3.04,12/31/2014
812,1,Í1.0,8.92,12/17/2014
812,2,Í1.1,2.88,12/17/2014
812,3,Í1.2,2.88,12/17/2014
854,1,Í3,47.50,12/3/2014
854,2,Í3,45.06,12/4/2014
854,3,Í3,45.39,12/5/2014
854,4,Í3,46.46,12/6/2014
854,5,Í3,47.63,12/7/2014
854,6,Í3,45.25,12/8/2014
854,7,Í3,45.84,12/9/2014
854,8,Í3,44.64,12/10/2014
854,9,Í3,47.68,12/11/2014
1088,1,Í3,48.58,12/9/2014
1222,1,Í1.0,7.92,12/24/2014
1222,2,Í1.0,7.97,12/25/2014
1222,3,Í1.0,7.98,12/26/2014
1222,4,Í1.0,7.99,12/27/2014
1222,5,Í1.0,7.99,12/28/2014
1317,1,Í1.0,9.77,12/17/2014
1574,1,Í1.0,4.37,12/1/2014
1574,2,Í1.0,3.88,12/2/2014
1574,3,Í1.0,4.17,12/3/2014
1574,4,Í1.0,3.25,12/4/2014
1574,5,Í1.0,3.82,12/5/2014
1574,6,Í1.0,3.66,12/6/2014
1574,7,Í1.0,3.65,12/7/2014
1574,8,Í1.0,3.55,12/8/2014
1574,9,Í1.0,3.72,12/9/2014
1574,10,Í1.0,3.51,12/10/2014
1574,11,Í1.0,3.53,12/11/2014
1574,12,Í1.0,3.48,12/12/2014
1574,13,Í1.0,2.98,12/13/2014
1574,14,Í1.0,2.97,12/14/2014
1574,15,Í1.0,3.38,12/15/2014
1574,16,Í1.0,5.53,12/16/2014
1574,17,Í1.0,3.79,12/17/2014
1574,18,Í1.0,0.30,12/18/2014
1574,19,Í1.0,2.28,12/19/2014
1574,20,Í1.0,2.01,12/20/2014
1574,21,Í1.0,2.00,12/21/2014
1574,22,Í1.0,1.52,12/22/2014
1574,23,Í1.0,2.42,12/23/2014
1574,24,Í1.0,2.94,12/24/2014
1574,25,Í1.0,2.97,12/25/2014
1574,26,Í1.0,3.23,12/26/2014
1574,27,Í1.0,3.37,12/27/2014
1574,28,Í1.0,3.35,12/28/2014
1574,29,Í1.0,9.04,12/29/2014
1574,30,Í1.0,8.39,12/30/2014
1574,31,Í1.0,3.97,12/31/2014
1574,32,Í1.1,2.40,12/1/2014
1574,33,Í1.1,2.15,12/2/2014
1574,34,Í1.1,2.30,12/3/2014
1574,35,Í1.1,1.84,12/4/2014
1574,36,Í1.1,2.13,12/5/2014
1574,37,Í1.1,2.05,12/6/2014
1574,38,Í1.1,2.05,12/7/2014
1574,39,Í1.1,1.99,12/8/2014
1574,40,Í1.1,2.07,12/9/2014
1574,41,Í1.1,1.97,12/10/2014
1574,42,Í1.1,1.97,12/11/2014
1574,43,Í1.1,1.96,12/12/2014
1574,44,Í1.1,1.71,12/13/2014
1574,45,Í1.1,1.71,12/14/2014
1574,46,Í1.1,1.91,12/15/2014
1574,47,Í1.1,3.02,12/16/2014
1574,48,Í1.1,2.15,12/17/2014
1574,49,Í1.1,0.29,12/18/2014
1574,50,Í1.1,1.38,12/19/2014
1574,51,Í1.1,1.25,12/20/2014
1574,52,Í1.1,1.24,12/21/2014
1574,53,Í1.1,1.01,12/22/2014
1574,54,Í1.1,1.44,12/23/2014
1574,55,Í1.1,1.69,12/24/2014
1574,56,Í1.1,1.70,12/25/2014
1574,57,Í1.1,1.89,12/26/2014
1574,58,Í1.1,1.90,12/27/2014
1574,59,Í1.1,1.89,12/28/2014
1574,60,Í1.1,4.82,12/29/2014
1574,61,Í1.1,4.49,12/30/2014
1574,62,Í1.1,2.92,12/31/2014
1574,63,Í1.2,3.35,12/1/2014
1574,64,Í1.2,3.11,12/2/2014
1574,65,Í1.2,3.26,12/3/2014
1574,66,Í1.2,2.80,12/4/2014
1574,67,Í1.2,3.09,12/5/2014
1574,68,Í1.2,3.01,12/6/2014
1574,69,Í1.2,3.00,12/7/2014
1574,70,Í1.2,2.95,12/8/2014
1574,71,Í1.2,3.04,12/9/2014
1574,72,Í1.2,2.93,12/10/2014
1574,73,Í1.2,2.94,12/11/2014
1574,74,Í1.2,2.91,12/12/2014
1574,75,Í1.2,2.66,12/13/2014
1574,76,Í1.2,2.66,12/14/2014
1574,77,Í1.2,2.86,12/15/2014
1574,78,Í1.2,4.07,12/16/2014
1574,79,Í1.2,3.19,12/17/2014
1574,80,Í1.2,0.29,12/18/2014
1574,81,Í1.2,2.23,12/19/2014
1574,82,Í1.2,1.97,12/20/2014
1574,83,Í1.2,1.95,12/21/2014
1574,84,Í1.2,1.48,12/22/2014
1574,85,Í1.2,2.37,12/23/2014
1574,86,Í1.2,2.68,12/24/2014
1574,87,Í1.2,2.70,12/25/2014
1574,88,Í1.2,2.83,12/26/2014
1574,89,Í1.2,2.90,12/27/2014
1574,90,Í1.2,2.89,12/28/2014
1574,91,Í1.2,5.48,12/30/2014
1574,92,Í1.2,3.89,12/31/2014
1574,93,Í4,121.83,12/1/2014
1574,94,Í4,125.61,12/2/2014
1574,95,Í4,122.40,12/3/2014
1574,96,Í4,131.89,12/4/2014
1574,97,Í4,129.75,12/5/2014
1574,98,Í4,130.81,12/6/2014
1574,99,Í4,130.84,12/7/2014
1574,100,Í4,131.62,12/8/2014
1574,101,Í4,129.99,12/9/2014
1574,102,Í4,131.62,12/10/2014
1574,103,Í4,132.14,12/11/2014
1574,104,Í4,131.27,12/12/2014
1574,105,Í4,134.69,12/13/2014
1574,106,Í4,134.76,12/14/2014
1574,107,Í4,132.59,12/15/2014
1574,108,Í7,896.78,12/2/2014
1574,109,Í7,829.72,12/3/2014
1574,110,Í7,1087.00,12/4/2014
1574,111,Í7,904.11,12/5/2014
1574,112,Í7,943.76,12/6/2014
1574,113,Í7,944.95,12/7/2014
1574,114,Í7,974.97,12/8/2014
1574,115,Í7,926.08,12/9/2014
1574,116,Í7,979.19,12/10/2014
1574,117,Í7,980.99,12/11/2014
1574,118,Í7,1001.37,12/12/2014
1574,119,Í7,1164.52,12/13/2014
1574,120,Í7,1167.99,12/14/2014
1574,121,Í7,1027.89,12/15/2014
1574,122,Í7,1017.60,12/17/2014
1574,123,Í7,16717.38,12/18/2014
1574,124,Í7,1641.68,12/19/2014
1574,125,Í7,1858.77,12/20/2014
1574,126,Í7,1872.84,12/21/2014
1574,127,Í7,2555.20,12/22/2014
1574,128,Í7,1543.28,12/23/2014
1574,129,Í7,1229.81,12/24/2014
1574,130,Í7,981.31,12/25/2014
1574,131,Í7,1108.79,12/26/2014
1574,132,Í7,1062.52,12/27/2014
1574,133,Í7,1069.33,12/28/2014
1574,134,Í7,866.14,12/31/2014
1574,135,Í9.1,1349.13,12/18/2014
1574,136,Í9.1,52.09,12/20/2014
1574,137,Í9.1,52.49,12/21/2014
1574,138,Í9.1,62.26,12/22/2014
1574,139,Í9.1,53.12,12/31/2014
1574,140,Í10.1,6.20,12/1/2014
1574,141,Í10.1,6.53,12/3/2014
1574,142,Í10.1,8.41,12/4/2014
1574,143,Í10.1,7.17,12/5/2014
1574,144,Í10.1,7.48,12/6/2014
1574,145,Í10.1,7.49,12/7/2014
1574,146,Í10.1,7.63,12/8/2014
1574,147,Í10.1,7.36,12/9/2014
1574,148,Í10.1,7.69,12/10/2014
1574,149,Í10.1,7.67,12/11/2014
1574,150,Í10.1,7.92,12/12/2014
1574,151,Í10.1,9.21,12/13/2014
1574,152,Í10.1,9.23,12/14/2014
1574,153,Í10.1,7.82,12/15/2014
1574,154,Í10.1,5.25,12/16/2014
1574,155,Í10.1,7.69,12/17/2014
1574,156,Í10.1,89.84,12/18/2014
1574,157,Í10.1,12.08,12/19/2014
1574,158,Í10.1,13.67,12/20/2014
1574,159,Í10.1,13.78,12/21/2014
1574,160,Í10.1,18.28,12/22/2014
1574,161,Í10.1,11.59,12/23/2014
1574,162,Í10.1,9.57,12/24/2014
1574,163,Í10.1,9.48,12/25/2014
1574,164,Í10.1,8.56,12/26/2014
1574,165,Í10.1,8.20,12/27/2014
1574,166,Í10.1,8.25,12/28/2014
1574,167,Í10.1,3.11,12/30/2014
1574,168,Í10.1,6.93,12/31/2014
1581,1,Í1.0,5.82,12/1/2014
1581,2,Í1.0,5.75,12/2/2014
1581,3,Í1.0,5.68,12/3/2014
1581,4,Í1.0,5.83,12/4/2014
1581,5,Í1.0,5.76,12/7/2014
1581,6,Í1.0,5.73,12/8/2014
1581,7,Í1.0,5.77,12/9/2014
1581,8,Í1.0,5.41,12/10/2014
1581,9,Í1.0,5.48,12/11/2014
1581,10,Í1.0,5.53,12/14/2014
1581,11,Í1.0,5.51,12/15/2014
1581,12,Í1.0,5.51,12/16/2014
1581,13,Í1.0,5.48,12/17/2014
1581,14,Í1.0,5.46,12/18/2014
1581,15,Í1.0,5.64,12/21/2014
1581,16,Í1.0,5.71,12/22/2014
1581,17,Í1.0,5.69,12/23/2014
1581,18,Í1.0,5.70,12/24/2014
1581,19,Í1.0,5.58,12/25/2014
1581,20,Í1.0,5.46,12/28/2014
1581,21,Í1.0,5.45,12/29/2014
1581,22,Í1.0,5.35,12/30/2014
1581,23,Í1.2,5.37,12/10/2014
1581,24,Í1.2,5.45,12/11/2014
1581,25,Í1.2,5.49,12/14/2014
1581,26,Í1.2,5.47,12/15/2014
1581,27,Í1.2,5.47,12/16/2014
1581,28,Í1.2,5.44,12/17/2014
1581,29,Í1.2,5.42,12/18/2014
1581,30,Í1.2,5.42,12/28/2014
1581,31,Í1.2,5.41,12/29/2014
1581,32,Í1.2,5.31,12/30/2014
1701,1,Í1.0,8.18,12/1/2014
1701,2,Í1.0,7.97,12/2/2014
1701,3,Í1.0,8.03,12/3/2014
1701,4,Í1.0,8.40,12/4/2014
1701,5,Í1.0,7.99,12/5/2014
1701,6,Í1.0,8.00,12/6/2014
1701,7,Í1.0,8.30,12/8/2014
1701,8,Í1.0,8.21,12/9/2014
1701,9,Í1.0,8.39,12/10/2014
1701,10,Í1.0,8.42,12/11/2014
1701,11,Í1.1,4.99,12/2/2014
1701,12,Í1.2,5.09,12/1/2014
