REGN,C1_5
1,4/4/2015
1,4/5/2015
1,4/11/2015
1,4/12/2015
1,4/18/2015
1,4/19/2015
1,4/25/2015
1,4/26/2015
21,4/5/2015
21,4/12/2015
21,4/19/2015
21,4/26/2015
23,4/4/2015
23,4/5/2015
23,4/11/2015
23,4/12/2015
23,4/18/2015
23,4/19/2015
23,4/25/2015
23,4/26/2015
55,4/4/2015
55,4/5/2015
55,4/11/2015
55,4/12/2015
55,4/18/2015
55,4/19/2015
55,4/25/2015
55,4/26/2015
67,4/4/2015
67,4/5/2015
67,4/11/2015
67,4/12/2015
67,4/18/2015
67,4/19/2015
67,4/25/2015
67,4/26/2015
77,4/4/2015
77,4/5/2015
77,4/11/2015
77,4/12/2015
77,4/18/2015
77,4/19/2015
77,4/25/2015
77,4/26/2015
85,4/4/2015
85,4/5/2015
85,4/11/2015
85,4/12/2015
85,4/18/2015
85,4/19/2015
85,4/25/2015
85,4/26/2015
96,4/5/2015
96,4/12/2015
96,4/19/2015
96,4/26/2015
103,4/4/2015
103,4/5/2015
103,4/11/2015
103,4/12/2015
103,4/18/2015
103,4/19/2015
103,4/25/2015
103,4/26/2015
106,4/5/2015
106,4/12/2015
106,4/19/2015
106,4/26/2015
153,4/3/2015
153,4/4/2015
153,4/11/2015
153,4/12/2015
153,4/18/2015
153,4/19/2015
153,4/25/2015
153,4/26/2015
170,4/4/2015
170,4/5/2015
170,4/11/2015
170,4/12/2015
170,4/18/2015
170,4/19/2015
170,4/25/2015
170,4/26/2015
197,4/4/2015
197,4/5/2015
197,4/11/2015
197,4/12/2015
197,4/18/2015
197,4/19/2015
197,4/25/2015
197,4/26/2015
208,4/4/2015
208,4/5/2015
208,4/11/2015
208,4/12/2015
208,4/18/2015
208,4/19/2015
208,4/25/2015
208,4/26/2015
232,4/5/2015
232,4/12/2015
232,4/19/2015
232,4/20/2015
232,4/26/2015
236,4/5/2015
236,4/12/2015
236,4/19/2015
236,4/26/2015
249,4/5/2015
249,4/12/2015
249,4/19/2015
249,4/26/2015
256,4/4/2015
256,4/5/2015
256,4/11/2015
256,4/12/2015
256,4/18/2015
256,4/19/2015
256,4/25/2015
256,4/26/2015
272,4/4/2015
272,4/5/2015
272,4/11/2015
272,4/12/2015
272,4/18/2015
272,4/19/2015
272,4/25/2015
272,4/26/2015
312,4/4/2015
312,4/5/2015
312,4/11/2015
312,4/12/2015
312,4/18/2015
312,4/19/2015
312,4/25/2015
312,4/26/2015
324,4/5/2015
324,4/12/2015
324,4/19/2015
324,4/26/2015
330,4/4/2015
330,4/5/2015
330,4/11/2015
330,4/12/2015
330,4/18/2015
330,4/19/2015
330,4/25/2015
330,4/26/2015
354,4/4/2015
354,4/5/2015
354,4/11/2015
354,4/12/2015
354,4/18/2015
354,4/19/2015
354,4/25/2015
354,4/26/2015
356,4/4/2015
356,4/5/2015
356,4/11/2015
356,4/12/2015
356,4/18/2015
356,4/19/2015
356,4/25/2015
356,4/26/2015
370,4/4/2015
370,4/5/2015
370,4/11/2015
370,4/12/2015
370,4/18/2015
370,4/19/2015
370,4/25/2015
370,4/26/2015
384,4/5/2015
384,4/12/2015
384,4/19/2015
384,4/26/2015
385,4/4/2015
385,4/5/2015
385,4/11/2015
385,4/12/2015
385,4/18/2015
385,4/19/2015
385,4/25/2015
385,4/26/2015
430,4/12/2015
436,4/4/2015
436,4/5/2015
436,4/11/2015
436,4/12/2015
436,4/18/2015
436,4/19/2015
436,4/25/2015
436,4/26/2015
438,4/4/2015
438,4/5/2015
438,4/11/2015
438,4/12/2015
438,4/18/2015
438,4/19/2015
438,4/25/2015
438,4/26/2015
444,4/5/2015
444,4/12/2015
444,4/19/2015
444,4/26/2015
467,4/5/2015
467,4/12/2015
467,4/19/2015
467,4/26/2015
469,4/5/2015
469,4/12/2015
469,4/19/2015
469,4/26/2015
474,4/5/2015
474,4/12/2015
474,4/19/2015
474,4/26/2015
478,4/5/2015
478,4/12/2015
478,4/19/2015
478,4/26/2015
480,4/5/2015
480,4/12/2015
480,4/19/2015
480,4/26/2015
507,4/4/2015
507,4/5/2015
507,4/11/2015
507,4/12/2015
507,4/18/2015
507,4/19/2015
507,4/25/2015
507,4/26/2015
533,4/5/2015
533,4/12/2015
533,4/19/2015
533,4/26/2015
545,4/4/2015
545,4/5/2015
545,4/11/2015
545,4/12/2015
545,4/18/2015
545,4/19/2015
545,4/25/2015
545,4/26/2015
548,4/4/2015
548,4/5/2015
548,4/11/2015
548,4/12/2015
548,4/18/2015
548,4/19/2015
548,4/25/2015
548,4/26/2015
567,4/5/2015
567,4/12/2015
567,4/19/2015
567,4/26/2015
568,4/4/2015
568,4/5/2015
568,4/11/2015
568,4/12/2015
568,4/18/2015
568,4/19/2015
568,4/25/2015
568,4/26/2015
574,4/5/2015
574,4/12/2015
574,4/19/2015
574,4/26/2015
575,4/5/2015
575,4/12/2015
575,4/19/2015
575,4/26/2015
598,4/4/2015
598,4/5/2015
598,4/11/2015
598,4/12/2015
598,4/18/2015
598,4/19/2015
598,4/25/2015
598,4/26/2015
606,4/5/2015
606,4/12/2015
606,4/19/2015
606,4/26/2015
608,4/4/2015
608,4/5/2015
608,4/11/2015
608,4/12/2015
608,4/18/2015
608,4/19/2015
608,4/25/2015
608,4/26/2015
665,4/4/2015
665,4/5/2015
665,4/11/2015
665,4/12/2015
665,4/18/2015
665,4/19/2015
665,4/20/2015
665,4/25/2015
665,4/26/2015
680,4/5/2015
680,4/12/2015
680,4/19/2015
680,4/26/2015
685,4/5/2015
685,4/12/2015
685,4/19/2015
685,4/26/2015
695,4/4/2015
695,4/5/2015
695,4/11/2015
695,4/12/2015
695,4/18/2015
695,4/19/2015
695,4/25/2015
695,4/26/2015
702,4/5/2015
702,4/12/2015
702,4/19/2015
702,4/26/2015
704,4/12/2015
708,4/4/2015
708,4/5/2015
708,4/11/2015
708,4/12/2015
708,4/18/2015
708,4/19/2015
708,4/25/2015
708,4/26/2015
728,4/5/2015
728,4/12/2015
728,4/19/2015
728,4/26/2015
732,4/4/2015
732,4/5/2015
732,4/11/2015
732,4/12/2015
732,4/18/2015
732,4/19/2015
732,4/25/2015
732,4/26/2015
735,4/5/2015
735,4/12/2015
735,4/19/2015
735,4/26/2015
752,4/4/2015
752,4/5/2015
752,4/11/2015
752,4/12/2015
752,4/18/2015
752,4/19/2015
752,4/25/2015
752,4/26/2015
760,4/12/2015
766,4/6/2015
766,4/13/2015
766,4/20/2015
766,4/27/2015
779,4/5/2015
779,4/12/2015
779,4/19/2015
779,4/26/2015
783,4/5/2015
783,4/12/2015
783,4/19/2015
783,4/26/2015
784,4/4/2015
784,4/5/2015
784,4/11/2015
784,4/12/2015
784,4/18/2015
784,4/19/2015
784,4/25/2015
784,4/26/2015
790,4/19/2015
793,4/4/2015
793,4/5/2015
793,4/11/2015
793,4/12/2015
793,4/18/2015
793,4/19/2015
793,4/25/2015
793,4/26/2015
804,4/4/2015
804,4/5/2015
804,4/11/2015
804,4/12/2015
804,4/18/2015
804,4/19/2015
804,4/25/2015
804,4/26/2015
812,4/4/2015
812,4/5/2015
812,4/11/2015
812,4/12/2015
812,4/18/2015
812,4/19/2015
812,4/25/2015
812,4/26/2015
817,4/4/2015
817,4/5/2015
817,4/11/2015
817,4/12/2015
817,4/18/2015
817,4/19/2015
817,4/25/2015
817,4/26/2015
825,4/5/2015
825,4/12/2015
825,4/19/2015
825,4/26/2015
825,4/27/2015
826,4/5/2015
826,4/12/2015
826,4/19/2015
826,4/26/2015
836,4/4/2015
836,4/5/2015
836,4/11/2015
836,4/12/2015
836,4/18/2015
836,4/19/2015
836,4/25/2015
836,4/26/2015
840,4/4/2015
840,4/5/2015
840,4/11/2015
840,4/12/2015
840,4/18/2015
840,4/19/2015
840,4/20/2015
840,4/25/2015
840,4/26/2015
841,4/5/2015
841,4/12/2015
841,4/19/2015
841,4/26/2015
842,4/5/2015
842,4/12/2015
842,4/19/2015
842,4/26/2015
843,4/5/2015
843,4/12/2015
843,4/19/2015
843,4/26/2015
857,4/4/2015
857,4/5/2015
857,4/11/2015
857,4/12/2015
857,4/18/2015
857,4/19/2015
857,4/25/2015
857,4/26/2015
874,4/4/2015
874,4/5/2015
874,4/11/2015
874,4/12/2015
874,4/18/2015
874,4/19/2015
874,4/25/2015
874,4/26/2015
875,4/4/2015
875,4/5/2015
875,4/11/2015
875,4/12/2015
875,4/18/2015
875,4/19/2015
875,4/25/2015
875,4/26/2015
889,4/4/2015
889,4/5/2015
889,4/11/2015
889,4/12/2015
889,4/18/2015
889,4/19/2015
889,4/25/2015
889,4/26/2015
901,4/5/2015
901,4/12/2015
901,4/19/2015
901,4/26/2015
902,4/12/2015
903,4/5/2015
903,4/12/2015
903,4/19/2015
903,4/26/2015
927,4/4/2015
927,4/5/2015
927,4/11/2015
927,4/12/2015
927,4/18/2015
927,4/19/2015
927,4/25/2015
927,4/26/2015
930,4/4/2015
930,4/5/2015
930,4/11/2015
930,4/12/2015
930,4/18/2015
930,4/19/2015
930,4/25/2015
930,4/26/2015
931,4/4/2015
931,4/5/2015
931,4/11/2015
931,4/12/2015
931,4/18/2015
931,4/19/2015
931,4/25/2015
931,4/26/2015
933,4/5/2015
933,4/12/2015
933,4/19/2015
933,4/26/2015
937,4/4/2015
937,4/5/2015
937,4/11/2015
937,4/12/2015
937,4/18/2015
937,4/19/2015
937,4/25/2015
937,4/26/2015
948,4/5/2015
948,4/12/2015
948,4/19/2015
948,4/26/2015
969,4/5/2015
969,4/12/2015
969,4/19/2015
969,4/26/2015
970,4/5/2015
970,4/12/2015
970,4/19/2015
970,4/26/2015
990,4/4/2015
990,4/5/2015
990,4/11/2015
990,4/12/2015
990,4/18/2015
990,4/19/2015
990,4/25/2015
990,4/26/2015
992,4/5/2015
992,4/12/2015
992,4/19/2015
992,4/26/2015
1000,4/4/2015
1000,4/5/2015
1000,4/11/2015
1000,4/12/2015
1000,4/18/2015
1000,4/19/2015
1000,4/25/2015
1000,4/26/2015
1002,4/4/2015
1002,4/5/2015
1002,4/11/2015
1002,4/12/2015
1002,4/18/2015
1002,4/19/2015
1002,4/25/2015
1002,4/26/2015
1006,4/4/2015
1006,4/5/2015
1006,4/11/2015
1006,4/12/2015
1006,4/18/2015
1006,4/19/2015
1006,4/25/2015
1006,4/26/2015
1016,4/4/2015
1016,4/5/2015
1016,4/11/2015
1016,4/12/2015
1016,4/18/2015
1016,4/19/2015
1016,4/25/2015
1016,4/26/2015
1025,4/4/2015
1025,4/5/2015
1025,4/11/2015
1025,4/12/2015
1025,4/18/2015
1025,4/19/2015
1025,4/25/2015
1025,4/26/2015
1027,4/5/2015
1027,4/12/2015
1027,4/19/2015
1027,4/26/2015
1037,4/4/2015
1037,4/5/2015
1037,4/11/2015
1037,4/12/2015
1037,4/18/2015
1037,4/19/2015
1037,4/25/2015
1037,4/26/2015
1046,4/4/2015
1046,4/5/2015
1046,4/11/2015
1046,4/12/2015
1046,4/18/2015
1046,4/19/2015
1046,4/25/2015
1046,4/26/2015
1050,4/4/2015
1050,4/5/2015
1050,4/11/2015
1050,4/12/2015
1050,4/18/2015
1050,4/19/2015
1050,4/25/2015
1050,4/26/2015
1052,4/4/2015
1052,4/5/2015
1052,4/11/2015
1052,4/12/2015
1052,4/18/2015
1052,4/19/2015
