REGN,C1_2,C2_2
1,Ар,459483023.00
1,Ар1,0.00
1,Ар2,33971320.00
1,Ар3,3912.00
1,Ар4,425507792.00
1,Ар5,0.00
1,Ариск0,128494340.00
1,К,87771147.00
1,Кф,1.00
1,Кинс,13267115.00
1,Крас,0.00
1,Крд,284159776.00
1,Крис,183399.00
1,КРС,6729886.00
1,КРВ,98077756.00
1,Кскр,171162020.00
1,ЛАм,98467438.00
1,ЛАт,175841541.00
1,ОД,189913752.00
1,ОР,2642949.00
1,ОВм,129776711.00
1,ОВт,293539668.00
1,ПК,94157345.00
1,Приз,3.00
1,И,3.00
1,РР,22421832.00
1,ПР,2242183.21
1,ОПР,1287745.87
1,СПР,954437.34
1,ФР,0.00
1,ОФР,0.00
1,СФР,0.00
1,ВР,0.00
1,99,5.48
2,Ар,168629.00
2,Ар1,0.00
2,Ар2,4313.00
2,Ар3,0.00
2,Ар4,164316.00
2,Ар5,0.00
2,Ариск0,62979.00
2,К,668662.00
2,Кф,0.66
2,Кинс,0.00
2,Крас,636.00
2,Крд,579883.00
2,Крис,347.00
2,КРВ,26814.00
2,Кскр,1073194.00
2,ЛАм,89570.00
2,ЛАт,249088.00
2,ОД,8874.00
2,ОР,21758.00
2,ОВм,375027.00
2,ОВт,391065.00
2,ПК,351917.00
2,РР,7021.00
2,ПР,0.00
2,ОПР,0.00
2,СПР,0.00
2,ФР,0.00
2,ОФР,0.00
2,СФР,0.00
2,ВР,7021.48
2,99,0.00
5,Ар,4671534.00
5,Ар1,0.00
5,Ар2,352162.00
5,Ар3,0.00
5,Ар4,4319372.00
5,Ар5,0.00
5,Ариск0,1127649.00
5,К,674360.00
5,Кф,1.00
5,Кинс,0.00
5,Крас,9058.00
5,Крд,1302737.00
5,Крис,13123.00
5,КРС,0.00
5,КРВ,109374.00
5,Кскр,2054795.00
5,ЛАм,2100408.00
5,ЛАт,3105827.00
5,ОД,1400424.00
5,ОР,36430.00
5,ОВм,3128859.00
5,ОВт,3821127.00
5,ПК,237872.00
5,РР,135351.00
5,ПР,13535.06
5,ОПР,7022.35
5,СПР,6512.71
5,ФР,0.00
5,ОФР,0.00
5,СФР,0.00
5,ВР,0.00
5,99,12.35
18,Ар,10538869.00
18,Ар1,0.00
18,Ар2,376787.00
18,Ар3,4962.00
18,Ар4,10157120.00
18,Ар5,0.00
18,Ариск0,5297333.00
18,К,3030934.00
18,Кф,0.00
18,Кинс,0.00
18,Крас,0.00
18,Крд,4695504.00
18,Крис,46839.00
18,КРС,0.00
18,КРВ,3557183.00
18,Кскр,9132095.00
18,ЛАм,3946519.00
18,ЛАт,6223759.00
18,ОД,4884213.00
18,ОР,126756.00
18,ОВм,5258517.00
18,ОВт,10893583.00
18,ПК,974478.00
18,РР,9981280.00
18,ПР,187550.00
18,ОПР,113452.00
18,СПР,74098.00
18,ФР,810578.00
18,ОФР,540385.00
18,СФР,270193.00
18,ВР,0.00
18,99,0.00
21,Ар,708277.00
21,Ар1,0.00
21,Ар2,103397.00
21,Ар3,0.00
21,Ар4,604880.00
21,Ар5,0.00
21,Ариск0,153821.00
21,К,198939.00
21,Кф,0.85
21,Кинс,0.00
21,Крас,0.00
21,Крд,229793.00
21,Крис,4724.00
21,КРС,0.00
21,КРВ,9884.00
21,Кскр,432499.00
21,ЛАм,580773.00
21,ЛАт,771402.00
21,ОД,37370.00
21,ОР,13464.00
21,ОВм,787341.00
21,ОВт,832293.00
21,ПК,43523.00
21,РР,14039.00
21,ПР,0.00
21,ОПР,0.00
21,СПР,0.00
21,ФР,0.00
21,ОФР,0.00
21,СФР,0.00
21,ВР,14038.63
21,99,0.00
23,Ар,20346502.00
23,Ар1,0.00
23,Ар2,139722.00
23,Ар3,76396.00
23,Ар4,20130384.00
23,Ар5,0.00
23,Ариск0,1388356.00
23,К,2969498.00
23,Кф,0.84
23,Кинс,172533.00
23,Крас,284.00
23,Крд,5033334.00
23,Крис,21258.00
23,КРС,0.00
23,КРВ,8782.00
23,Кскр,16273858.00
23,ЛАм,1018236.00
23,ЛАт,4814819.00
23,ОД,1402922.00
23,ОР,102871.00
23,ОВм,3414996.00
23,ОВт,4737229.00
23,ПК,268435.00
23,РР,0.00
23,ПР,0.00
23,ОПР,0.00
23,СПР,0.00
23,ФР,0.00
23,ОФР,0.00
23,СФР,0.00
23,ВР,0.00
23,99,3.43
52,Ар,6121900.00
52,Ар1,0.00
52,Ар2,410216.00
52,Ар3,0.00
52,Ар4,5711684.00
52,Ар5,0.00
52,Ариск0,1511077.00
52,К,1174876.00
52,Кф,0.97
52,Кинс,0.00
52,Крас,491.00
52,Крд,2252647.00
52,Крис,17742.00
52,КРВ,811773.00
52,Кскр,5043479.00
52,ЛАм,3225806.00
52,ЛАт,3927674.00
52,ОД,1272163.00
52,ОР,85577.00
52,ОВм,5940293.00
52,ОВт,6171021.00
52,ПК,2169055.00
52,ПР,0.00
52,ОПР,0.00
52,СПР,0.00
52,ФР,0.00
52,ОФР,0.00
52,СФР,0.00
52,ВР,0.00
52,99,0.00
53,Ар,8040455.00
53,Ар1,0.00
53,Ар2,370863.00
53,Ар3,0.00
53,Ар4,7669592.00
53,Ар5,0.00
53,Ариск0,1714572.00
53,К,1306236.00
53,Кф,0.93
53,Кинс,0.00
53,Крас,515.00
53,Крд,1144634.00
53,Крис,15351.00
53,КРС,0.00
53,КРВ,1134270.00
53,Кскр,7028928.00
53,ЛАм,2249017.00
53,ЛАт,4309611.00
53,ОД,641681.00
53,ОР,53129.00
53,ОВм,4534977.00
53,ОВт,5030555.00
53,ПК,1086926.00
53,РР,91923.00
53,ПР,9192.29
53,ОПР,4151.66
53,СПР,5040.63
53,ФР,0.00
53,ОФР,0.00
53,СФР,0.00
53,ВР,0.00
53,99,2.81
55,Ар,3899883.00
55,Ар1,0.00
55,Ар2,146394.00
55,Ар3,0.00
55,Ар4,3753489.00
55,Ар5,0.00
55,Ариск0,825919.00
55,К,742252.00
55,Кф,0.83
55,Кинс,0.00
55,Крас,33317.00
55,Крд,618400.00
55,Крис,2989.00
55,КРС,0.00
55,КРВ,126644.00
55,Кскр,2223441.00
55,ЛАм,1216121.00
55,ЛАт,1621308.00
55,ОД,4400.00
55,ОР,53216.00
55,ОВм,2156444.00
55,ОВт,2312697.00
55,ПК,371839.00
55,РР,0.00
55,ПР,0.00
55,ОПР,0.00
55,СПР,0.00
55,ФР,0.00
55,ОФР,0.00
55,СФР,0.00
55,ВР,0.00
55,99,1.20
65,Ар,15806561.00
65,Ар1,0.00
65,Ар2,107909.00
65,Ар3,0.00
65,Ар4,15698652.00
65,Ар5,0.00
65,Ариск0,1928514.00
65,К,3377014.00
65,Кф,0.88
65,Кинс,0.00
65,Крас,0.00
65,Крд,9809746.00
65,Крис,65886.00
65,КРС,9.00
65,КРВ,63142.00
65,Кскр,9657803.00
65,ЛАм,2304149.00
65,ЛАт,4604979.00
65,ОД,11826232.00
65,ОР,124501.00
65,ОВм,5274390.00
65,ОВт,6226241.00
65,ПК,3886026.00
65,РР,4235650.00
65,ПР,240872.61
65,ОПР,21032.99
65,СПР,219839.62
65,ФР,182692.36
65,ОФР,121794.91
65,СФР,60897.45
65,ВР,0.00
65,99,11.84
67,Ар,12622841.00
67,Ар1,0.00
67,Ар2,50959.00
67,Ар4,12571882.00
67,Ариск0,851934.00
67,К,3226901.00
67,Кф,0.85
67,Крд,9616776.00
67,Крис,10387.00
67,КРВ,442278.00
67,Кскр,7484099.00
67,ЛАм,659860.00
67,ЛАт,1661939.00
67,ОД,5260042.00
67,ОР,98210.00
67,ОВм,2353923.00
67,ОВт,2838067.00
67,ПК,447857.00
67,ПР,0.00
67,ОПР,0.00
67,СПР,0.00
67,ФР,0.00
67,ОФР,0.00
67,СФР,0.00
67,ВР,0.00
67,99,3.66
77,Ар,10306148.00
77,Ар1,0.00
77,Ар2,116297.00
77,Ар3,0.00
77,Ар4,10189851.00
77,Ар5,0.00
77,Ариск0,2327668.00
77,К,1959535.00
77,Кф,0.86
77,Кинс,10035.00
77,Крас,0.00
77,Крд,3571007.00
77,Крис,10213.00
77,КРС,4171.00
77,КРВ,3066699.00
77,Кскр,10366632.00
77,ЛАм,2451745.00
77,ЛАт,5049183.00
77,ОД,1819285.00
77,ОР,83683.00
77,ОВм,5755316.00
77,ОВт,8630903.00
77,ПК,1018979.00
77,РР,2069140.00
77,ПР,195392.29
77,ОПР,30606.42
77,СПР,164785.87
77,ФР,2562.05
77,ОФР,1708.03
77,СФР,854.02
77,ВР,89596.33
77,99,12.85
84,Ар,19797557.00
84,Ар1,0.00
84,Ар2,249174.00
84,Ар3,109128.00
84,Ар4,19439255.00
