REGN,C1_2,C2_2
1,Ар,313254892.00
1,Ар1,60978429.00
1,Ар1.1,0.00
1,Ар2,29816976.00
1,Ар3,897730.00
1,Ар4,282540186.00
1,Ар5,0.00
1,Ариск0,60978429.00
1,К,116295605.00
1,Кф,1.00
1,Кинс,7742614.00
1,Крас,0.00
1,Крд,266316685.00
1,Крис,188081.00
1,КРС,11104425.00
1,КРВ,98459452.00
1,Кскр,143864369.00
1,Лам,137361246.00
1,Лат,241424057.00
1,ОД,138960862.00
1,ОР,4825523.00
1,ОВм,147093022.00
1,ОВт,307726614.00
1,ПК,365539248.00
1,И,3.00
1,Приз,3.00
1,РР,29684557.00
1,ПР,1818315.27
1,ОПР,1735659.33
1,СПР,82655.94
1,ФР,0.00
1,ОФР,0.00
1,СФР,0.00
1,ВР,6955616.18
2,Ар,271754.00
2,Ар1,92500.00
2,Ар2,2800.00
2,Ар3,0.00
2,Ар4,268954.00
2,Ар5,0.00
2,Ариск0,92500.00
2,К,699617.00
2,Кф,0.63
2,Кинс,0.00
2,Крас,671.00
2,Крд,754552.00
2,Крис,1667.00
2,КРВ,46953.00
2,Кскр,1257627.00
2,Лам,116711.00
2,Лат,254694.00
2,ОД,52016.00
2,ОР,28446.00
2,ОВм,288814.00
2,ОВт,300033.00
2,ПК,1185668.00
2,РР,29903.00
2,ПР,0.00
2,ОПР,0.00
2,СПР,0.00
2,ФР,0.00
2,ОФР,0.00
2,СФР,0.00
2,ВР,29903.29
5,Ар,5717167.00
5,Ар1,1091170.00
5,Ар1.1,0.00
5,Ар2,246271.00
5,Ар3,0.00
5,Ар4,5470896.00
5,Ар5,0.00
5,Ариск0,1091170.00
5,К,844745.00
5,Кф,0.91
5,Кинс,0.00
5,Крас,9727.00
5,Крд,1575610.00
5,Крис,13485.00
5,КРС,0.00
5,КРВ,50976.00
5,Кскр,2726533.00
5,Лам,1340215.00
5,Лат,1981317.00
5,ОД,2319885.00
5,ОР,58659.00
5,ОВм,2645677.00
5,ОВт,3458392.00
5,ПК,595033.00
5,РР,137099.00
5,ПР,10967.95
5,ОПР,6011.46
5,СПР,4956.49
5,ФР,0.00
5,ОФР,0.00
5,СФР,0.00
5,ВР,0.00
18,Ар,7676187.00
18,Ар1,3707939.00
18,Ар1.1,0.00
18,Ар2,237575.00
18,Ар3,0.00
18,Ар4,7438612.00
18,Ар5,0.00
18,Ариск0,3707939.00
18,К,3040387.00
18,Кф,0.00
18,Кинс,0.00
18,Крас,0.00
18,Крд,4019113.00
18,Крис,75880.00
18,КРС,0.00
18,КРВ,1484718.00
18,Кскр,4825968.00
18,Лам,2221885.00
18,Лат,4135276.00
18,ОД,3275270.00
18,ОР,141717.00
18,ОВм,2657239.00
18,ОВт,5010205.00
18,ПК,11842496.00
18,РР,1259963.00
18,ПР,100797.00
18,ОПР,24523.00
18,СПР,76274.00
18,ФР,0.00
18,ОФР,0.00
18,СФР,0.00
18,ВР,0.00
21,Ар,329030.00
21,Ар1,195814.00
21,Ар2,61017.00
