REGN,C1_5
1,9/1/2012
1,9/2/2012
1,9/8/2012
1,9/9/2012
1,9/15/2012
1,9/16/2012
1,9/22/2012
1,9/23/2012
1,9/29/2012
1,9/30/2012
18,9/1/2012
18,9/2/2012
18,9/8/2012
18,9/9/2012
18,9/15/2012
18,9/16/2012
18,9/22/2012
18,9/23/2012
18,9/29/2012
18,9/30/2012
21,9/2/2012
21,9/9/2012
21,9/16/2012
21,9/23/2012
21,9/30/2012
23,9/1/2012
23,9/2/2012
23,9/8/2012
23,9/9/2012
23,9/15/2012
23,9/16/2012
23,9/22/2012
23,9/23/2012
23,9/29/2012
23,9/30/2012
67,9/1/2012
67,9/2/2012
67,9/8/2012
67,9/9/2012
67,9/15/2012
67,9/16/2012
67,9/22/2012
67,9/23/2012
67,9/29/2012
67,9/30/2012
77,9/1/2012
77,9/2/2012
77,9/8/2012
77,9/9/2012
77,9/15/2012
77,9/16/2012
77,9/22/2012
77,9/23/2012
77,9/29/2012
77,9/30/2012
85,9/1/2012
85,9/2/2012
85,9/8/2012
85,9/9/2012
85,9/15/2012
85,9/16/2012
85,9/22/2012
85,9/23/2012
85,9/29/2012
85,9/30/2012
96,9/1/2012
96,9/2/2012
96,9/8/2012
96,9/9/2012
96,9/15/2012
96,9/16/2012
96,9/22/2012
96,9/23/2012
96,9/29/2012
96,9/30/2012
101,9/2/2012
101,9/9/2012
101,9/16/2012
101,9/23/2012
101,9/30/2012
103,9/1/2012
103,9/2/2012
103,9/8/2012
103,9/9/2012
103,9/15/2012
103,9/16/2012
103,9/22/2012
103,9/23/2012
103,9/29/2012
103,9/30/2012
106,9/2/2012
106,9/9/2012
106,9/16/2012
106,9/23/2012
142,9/1/2012
142,9/2/2012
142,9/8/2012
142,9/9/2012
142,9/15/2012
142,9/16/2012
142,9/22/2012
142,9/23/2012
142,9/29/2012
142,9/30/2012
149,9/1/2012
149,9/2/2012
149,9/8/2012
149,9/9/2012
149,9/15/2012
149,9/16/2012
149,9/22/2012
149,9/23/2012
149,9/29/2012
149,9/30/2012
155,9/1/2012
155,9/2/2012
155,9/8/2012
155,9/9/2012
155,9/15/2012
155,9/16/2012
155,9/22/2012
155,9/23/2012
155,9/29/2012
155,9/30/2012
170,9/1/2012
170,9/2/2012
170,9/8/2012
170,9/9/2012
170,9/15/2012
170,9/16/2012
170,9/22/2012
170,9/23/2012
170,9/29/2012
170,9/30/2012
184,9/1/2012
184,9/2/2012
184,9/8/2012
184,9/9/2012
184,9/15/2012
184,9/16/2012
184,9/17/2012
184,9/22/2012
184,9/23/2012
184,9/29/2012
184,9/30/2012
197,9/1/2012
197,9/2/2012
197,9/8/2012
197,9/9/2012
197,9/15/2012
197,9/16/2012
197,9/22/2012
197,9/23/2012
197,9/29/2012
197,9/30/2012
208,9/1/2012
208,9/2/2012
208,9/8/2012
208,9/9/2012
208,9/15/2012
208,9/16/2012
208,9/22/2012
208,9/23/2012
208,9/29/2012
208,9/30/2012
232,9/1/2012
232,9/2/2012
232,9/8/2012
232,9/9/2012
232,9/15/2012
232,9/16/2012
232,9/22/2012
232,9/23/2012
232,9/29/2012
232,9/30/2012
236,9/1/2012
236,9/2/2012
236,9/8/2012
236,9/9/2012
236,9/15/2012
236,9/16/2012
236,9/22/2012
236,9/23/2012
236,9/29/2012
236,9/30/2012
249,9/2/2012
249,9/9/2012
249,9/16/2012
249,9/23/2012
249,9/30/2012
256,9/1/2012
256,9/2/2012
256,9/8/2012
256,9/9/2012
256,9/15/2012
256,9/16/2012
256,9/22/2012
256,9/23/2012
256,9/29/2012
256,9/30/2012
272,9/1/2012
272,9/2/2012
272,9/8/2012
272,9/9/2012
272,9/15/2012
272,9/16/2012
272,9/22/2012
272,9/23/2012
272,9/29/2012
272,9/30/2012
282,9/1/2012
282,9/2/2012
282,9/8/2012
282,9/9/2012
282,9/15/2012
282,9/16/2012
282,9/22/2012
282,9/23/2012
282,9/29/2012
282,9/30/2012
286,9/1/2012
286,9/2/2012
286,9/8/2012
286,9/9/2012
286,9/15/2012
286,9/16/2012
286,9/22/2012
286,9/23/2012
286,9/29/2012
286,9/30/2012
312,9/2/2012
312,9/9/2012
312,9/16/2012
312,9/23/2012
312,9/30/2012
324,9/1/2012
324,9/2/2012
324,9/8/2012
324,9/9/2012
324,9/15/2012
324,9/16/2012
324,9/22/2012
324,9/23/2012
324,9/29/2012
324,9/30/2012
330,9/1/2012
330,9/2/2012
330,9/8/2012
330,9/9/2012
330,9/15/2012
330,9/16/2012
330,9/22/2012
330,9/23/2012
330,9/29/2012
330,9/30/2012
347,9/1/2012
347,9/2/2012
347,9/8/2012
347,9/9/2012
347,9/15/2012
347,9/16/2012
347,9/17/2012
347,9/22/2012
347,9/23/2012
347,9/29/2012
347,9/30/2012
356,9/1/2012
356,9/2/2012
356,9/8/2012
356,9/9/2012
356,9/15/2012
356,9/16/2012
356,9/22/2012
356,9/23/2012
356,9/29/2012
356,9/30/2012
370,9/1/2012
370,9/2/2012
370,9/8/2012
370,9/9/2012
370,9/15/2012
370,9/16/2012
370,9/22/2012
