REGN,C1_4,C2_4,C3_4,C4_4
226,1,Í1.1,5.25,7/1/2014
226,2,Í1.1,5.20,7/2/2014
226,3,Í1.1,5.48,7/3/2014
226,4,Í1.1,5.49,7/4/2014
226,5,Í1.1,5.48,7/5/2014
226,6,Í1.1,5.48,7/6/2014
226,7,Í1.1,5.31,7/10/2014
226,8,Í1.1,5.30,7/11/2014
226,9,Í1.1,5.30,7/12/2014
226,10,Í1.1,5.32,7/13/2014
226,11,Í1.1,5.33,7/14/2014
226,12,Í1.1,5.40,7/15/2014
226,13,Í1.1,5.39,7/16/2014
226,14,Í1.1,5.39,7/17/2014
226,15,Í1.1,5.22,7/18/2014
226,16,Í1.1,5.20,7/19/2014
226,17,Í1.1,5.20,7/20/2014
226,18,Í1.1,5.21,7/21/2014
226,19,Í1.1,5.27,7/22/2014
226,20,Í1.1,5.24,7/23/2014
226,21,Í1.1,5.32,7/24/2014
226,22,Í1.1,5.33,7/25/2014
226,23,Í1.1,5.33,7/26/2014
226,24,Í1.1,5.33,7/27/2014
226,25,Í1.1,5.32,7/28/2014
226,26,Í1.1,5.31,7/29/2014
226,27,Í1.1,5.32,7/30/2014
286,1,Í2,0.93,7/31/2014
286,2,Í3,1.12,7/31/2014
518,1,Í1.1,5.23,7/1/2014
518,2,Í1.1,5.24,7/2/2014
518,3,Í1.1,5.24,7/3/2014
518,4,Í1.1,5.17,7/4/2014
518,5,Í1.1,5.18,7/5/2014
518,6,Í1.1,5.18,7/6/2014
518,7,Í1.1,5.22,7/7/2014
518,8,Í1.1,5.29,7/8/2014
518,9,Í1.1,5.30,7/9/2014
518,10,Í1.1,5.30,7/10/2014
520,1,Í3,48.77,7/7/2014
520,2,Í3,48.39,7/8/2014
520,3,Í3,47.33,7/9/2014
520,4,Í3,48.01,7/10/2014
520,5,Í3,47.13,7/11/2014
520,6,Í3,47.15,7/12/2014
520,7,Í3,47.33,7/13/2014
520,8,Í3,45.40,7/14/2014
520,9,Í3,45.61,7/15/2014
520,10,Í3,46.28,7/16/2014
520,11,Í3,45.36,7/17/2014
520,12,Í3,45.02,7/18/2014
520,13,Í3,45.09,7/19/2014
520,14,Í3,45.23,7/20/2014
520,15,Í3,43.78,7/21/2014
520,16,Í3,43.70,7/22/2014
520,17,Í3,42.32,7/23/2014
520,18,Í3,41.37,7/24/2014
520,19,Í3,41.00,7/25/2014
520,20,Í3,41.25,7/26/2014
520,21,Í3,41.40,7/27/2014
520,22,Í3,41.95,7/28/2014
520,23,Í3,41.18,7/29/2014
520,24,Í3,41.07,7/30/2014
520,25,Í3,40.36,7/31/2014
1581,1,Í1.0,6.80,7/8/2014
1581,2,Í1.0,6.81,7/9/2014
1581,3,Í1.0,6.81,7/10/2014
1581,4,Í1.0,6.80,7/13/2014
1581,5,Í1.0,6.79,7/14/2014
1581,6,Í1.0,6.79,7/15/2014
1581,7,Í1.0,6.78,7/16/2014
1581,8,Í1.0,6.79,7/17/2014
1581,9,Í1.0,6.84,7/20/2014
1581,10,Í1.0,6.98,7/21/2014
1581,11,Í1.0,6.98,7/22/2014
1581,12,Í1.0,6.99,7/23/2014
1581,13,Í1.0,6.96,7/24/2014
1581,14,Í1.0,6.94,7/28/2014
1581,15,Í1.0,6.95,7/29/2014
1581,16,Í1.0,6.95,7/30/2014
1617,1,Í1.0,2.98,7/28/2014
1617,2,Í1.0,3.22,7/29/2014
1617,3,Í1.0,3.58,7/30/2014
1617,4,Í1.0,2.74,7/31/2014
1617,5,Í1.1,0.40,7/28/2014
1617,6,Í1.1,0.51,7/29/2014
1617,7,Í1.1,0.70,7/30/2014
1617,8,Í1.1,0.30,7/31/2014
1617,9,Í1.2,0.40,7/28/2014
1617,10,Í1.2,0.51,7/29/2014
1617,11,Í1.2,0.70,7/30/2014
1617,12,Í1.2,0.30,7/31/2014
1617,13,Í7,2083.84,7/28/2014
1617,14,Í7,1926.87,7/29/2014
