REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,PRIZ_P,C2_5
85,05,09241863,1022500001930,85,040518780,9/1/2013,"ОАО КБ ""САММИТ БАНК""","692806, Приморский край, г.Большой Камень , ул. Гагарина,37",1,22
96,32,09806360,1024200001891,96,043207720,9/1/2013,"ОАО ""Кемсоцинбанк""","650000, Кемеровская область, г.Кемерово, Центральный район, ул.Дзержинского, дом № 12",1,27
101,50,16578422,1055400000369,101,045005820,9/1/2013,"ОАО ""БКС Банк""","630099, г. Новосибирск, ул. Советская, д.18",1,31
103,45,29313458,1027739480548,103,044585749,9/1/2013,"ООО ""РКБ""","115054,  г. Москва, ул. Бахрушина, дом 23, строение 2",1,22
106,60,09806526,1026100002026,106,046015860,9/1/2013,"ОАО АКБ ""Сельмашбанк""","344029, г. Ростов-на-Дону, пр. Сельмаш, 102",1,27
107,45,09806319,1023900001070,107,044585729,9/1/2013,"АКБ ""Инвестбанк"" (ОАО)","109240, г.Москва, ул. Гончарная, д. 12, стр. 1",1,31
121,45,09806868,1027739198387,121,044525514,9/1/2013,"ЗАО АКБ ""ЦентроКредит""","119017,  г. Москва, ул.Пятницкая, д.31/2, стр. 1",1,31
138,41,09806957,1027800004517,138,044106725,9/1/2013,"ОАО ""Рускобанк""","188640, Ленинградская область, город Всеволожск, Всеволожский проспект, дом 29",1,31
142,05,09806970,1032500000532,142,040507713,9/1/2013,"ЗАО ""ДАЛТА-БАНК""","690003, г.Владивосток, ул.Станюковича, 3",1,22
149,29,09808560,1024900000180,149,042908746,9/1/2013,"АКБ ""Надежный банк"" (ОАО)","248000, г. Калуга, ул. Ленина, 102-а",1,22
