REGN,C1_3,C2_3,C3_3,C4_3
1,Í1.0,11.67,,
1,Í1.1,9.99,,
1,Í1.2,10.00,,
1,Í2,86.92,,
1,Í3,83.29,,
1,Í4,87.09,,
1,Í7,249.39,,
1,Í9.1,0.00,,
1,Í10.1,0.20,,
1,Í12,0.38,,
1,Í18,107.03,,
2,Í1.0,23.02,,
2,Í1.1,19.19,,
2,Í1.2,19.19,,
2,Í2,37.02,,
2,Í3,85.29,,
2,Í4,24.94,,
2,Í7,157.88,,
2,Í9.1,0.29,,
2,Í10.1,0.34,,
2,Í12,0.00,,
5,Í1.0,12.68,,
5,Í1.1,8.44,,
5,Í1.2,8.44,,
5,Í2,70.95,,
5,Í3,140.92,,
5,Í4,63.91,,
5,Í7,309.54,,
5,Í9.1,1.30,,
5,Í10.1,1.42,,
5,Í12,0.00,,
21,Í1.0,25.57,,
21,Í1.1,17.80,,
21,Í1.2,17.80,,
21,Í2,49.05,,
21,Í3,79.40,,
21,Í4,49.83,,
21,Í7,158.41,,
21,Í9.1,0.02,,
21,Í10.1,1.27,,
21,Í12,0.00,,
23,Í1.0,11.93,,
23,Í1.1,8.92,,
23,Í1.2,8.92,,
23,Í2,129.97,,
23,Í3,381.68,,
23,Í4,21.64,,
23,Í7,508.01,,
23,Í9.1,2.86,,
23,Í10.1,1.04,,
23,Í12,4.95,,
52,Í1.0,14.43,,
52,Í1.1,10.00,,
52,Í1.2,10.00,,
52,Í2,77.04,,
52,Í3,87.61,,
52,Í4,39.42,,
52,Í7,281.84,,
52,Í9.1,0.11,,
52,Í10.1,1.25,,
52,Í12,0.00,,
53,Í1.0,14.79,,
53,Í1.1,9.56,,
53,Í1.2,9.56,,
53,Í2,65.19,,
53,Í3,83.85,,
53,Í4,69.13,,
53,Í7,324.44,,
53,Í9.1,0.00,,
53,Í10.1,0.43,,
53,Í12,0.00,,
55,Í1.0,10.60,,
55,Í1.1,5.25,,
55,Í1.2,6.01,,
55,Í2,100.87,,
55,Í3,97.04,,
55,Í4,91.90,,
55,Í7,488.87,,
55,Í9.1,1.11,,
55,Í10.1,0.54,,
55,Í12,0.00,,
65,Í1.0,11.36,,
65,Í1.1,7.82,,
65,Í1.2,7.82,,
65,Í2,32.37,,
65,Í3,88.88,,
65,Í4,64.08,,
65,Í7,311.69,,
65,Í9.1,0.00,,
65,Í10.1,1.40,,
65,Í12,0.00,,
67,Í1.0,21.91,,
67,Í1.1,16.34,,
67,Í1.2,16.37,,
67,Í2,30.36,,
67,Í3,105.00,,
67,Í4,104.82,,
67,Í7,158.17,,
67,Í9.1,0.13,,
67,Í10.1,0.44,,
67,Í12,0.00,,
77,Í1.0,10.96,,
77,Í1.1,6.72,,
77,Í1.2,6.72,,
77,Í2,89.14,,
77,Í3,101.62,,
77,Í4,60.01,,
77,Í7,515.61,,
77,Í9.1,0.00,,
77,Í10.1,0.45,,
77,Í12,0.00,,
85,Í1.0,27.50,,
85,Í1.1,15.58,,
85,Í1.2,15.58,,
85,Í2,103.56,,
85,Í3,111.78,,
85,Í4,71.17,,
85,Í7,146.46,,
85,Í9.1,0.00,,
85,Í10.1,2.50,,
85,Í12,0.00,,
96,Í1.0,24.73,,
96,Í1.1,20.32,,
96,Í1.2,20.32,,
96,Í2,112.41,,
96,Í3,171.65,,
96,Í4,48.47,,
96,Í7,187.10,,
96,Í9.1,0.00,,
96,Í10.1,1.32,,
96,Í12,0.00,,
101,Í1.0,13.61,,
101,Í1.1,11.20,,
101,Í1.2,11.20,,
101,Í2,58.68,,
101,Í3,97.72,,
101,Í4,69.27,,
101,Í7,353.77,,
101,Í9.1,10.08,,
101,Í10.1,0.62,,
