REGN,C1_5
1,9/6/2014
1,9/7/2014
1,9/14/2014
1,9/16/2014
1,9/20/2014
1,9/21/2014
1,9/27/2014
1,9/28/2014
21,9/7/2014
21,9/14/2014
21,9/21/2014
21,9/28/2014
23,9/6/2014
23,9/7/2014
23,9/13/2014
23,9/14/2014
23,9/20/2014
23,9/21/2014
23,9/27/2014
23,9/28/2014
55,9/6/2014
55,9/7/2014
55,9/13/2014
55,9/14/2014
55,9/20/2014
55,9/21/2014
55,9/27/2014
55,9/28/2014
67,9/1/2014
67,9/6/2014
67,9/7/2014
67,9/13/2014
67,9/14/2014
67,9/20/2014
67,9/21/2014
67,9/27/2014
67,9/28/2014
77,9/6/2014
77,9/7/2014
77,9/13/2014
77,9/14/2014
77,9/20/2014
77,9/21/2014
77,9/27/2014
77,9/28/2014
85,9/6/2014
85,9/7/2014
85,9/13/2014
85,9/14/2014
85,9/20/2014
85,9/21/2014
85,9/27/2014
85,9/28/2014
96,9/6/2014
96,9/7/2014
96,9/14/2014
96,9/21/2014
96,9/27/2014
103,9/6/2014
103,9/7/2014
103,9/13/2014
103,9/14/2014
103,9/20/2014
103,9/21/2014
103,9/27/2014
103,9/28/2014
106,9/7/2014
106,9/14/2014
106,9/21/2014
106,9/28/2014
142,9/6/2014
142,9/7/2014
142,9/13/2014
142,9/14/2014
142,9/20/2014
142,9/21/2014
142,9/27/2014
142,9/28/2014
149,9/6/2014
149,9/7/2014
149,9/13/2014
149,9/14/2014
149,9/20/2014
149,9/21/2014
149,9/27/2014
149,9/28/2014
153,9/6/2014
153,9/7/2014
153,9/13/2014
153,9/14/2014
153,9/20/2014
153,9/21/2014
153,9/27/2014
153,9/28/2014
170,9/6/2014
170,9/7/2014
170,9/13/2014
170,9/14/2014
170,9/20/2014
170,9/21/2014
170,9/27/2014
170,9/28/2014
197,9/6/2014
197,9/7/2014
197,9/13/2014
197,9/14/2014
197,9/20/2014
197,9/21/2014
197,9/27/2014
197,9/28/2014
208,9/6/2014
208,9/7/2014
208,9/13/2014
208,9/14/2014
208,9/20/2014
208,9/21/2014
208,9/27/2014
208,9/28/2014
232,9/7/2014
232,9/14/2014
232,9/21/2014
232,9/28/2014
236,9/7/2014
236,9/14/2014
236,9/21/2014
236,9/28/2014
249,9/7/2014
249,9/14/2014
249,9/21/2014
249,9/28/2014
256,9/6/2014
256,9/7/2014
256,9/13/2014
256,9/14/2014
256,9/20/2014
256,9/21/2014
256,9/27/2014
256,9/28/2014
272,9/6/2014
272,9/7/2014
272,9/13/2014
272,9/14/2014
272,9/20/2014
272,9/21/2014
272,9/27/2014
272,9/28/2014
312,9/7/2014
312,9/14/2014
312,9/21/2014
312,9/28/2014
324,9/7/2014
324,9/14/2014
324,9/21/2014
324,9/28/2014
330,9/6/2014
330,9/7/2014
330,9/13/2014
330,9/14/2014
330,9/20/2014
330,9/21/2014
330,9/27/2014
330,9/28/2014
354,9/6/2014
354,9/7/2014
354,9/13/2014
354,9/14/2014
354,9/20/2014
354,9/21/2014
354,9/27/2014
354,9/28/2014
356,9/6/2014
356,9/7/2014
356,9/13/2014
356,9/14/2014
356,9/20/2014
356,9/21/2014
356,9/27/2014
356,9/28/2014
370,9/6/2014
370,9/7/2014
370,9/13/2014
370,9/14/2014
370,9/20/2014
370,9/21/2014
370,9/27/2014
370,9/28/2014
384,9/7/2014
384,9/14/2014
384,9/21/2014
384,9/28/2014
385,9/6/2014
385,9/7/2014
385,9/13/2014
385,9/14/2014
385,9/20/2014
385,9/21/2014
385,9/27/2014
385,9/28/2014
430,9/6/2014
430,9/7/2014
430,9/13/2014
430,9/14/2014
430,9/20/2014
430,9/21/2014
430,9/27/2014
430,9/28/2014
436,9/6/2014
436,9/7/2014
436,9/13/2014
436,9/14/2014
436,9/20/2014
436,9/21/2014
436,9/27/2014
436,9/28/2014
438,9/6/2014
438,9/7/2014
438,9/13/2014
438,9/14/2014
438,9/20/2014
438,9/21/2014
438,9/27/2014
438,9/28/2014
444,9/7/2014
444,9/14/2014
444,9/21/2014
444,9/28/2014
467,9/7/2014
467,9/14/2014
467,9/21/2014
467,9/28/2014
469,9/7/2014
469,9/14/2014
469,9/21/2014
469,9/28/2014
474,9/7/2014
474,9/14/2014
474,9/21/2014
474,9/28/2014
478,9/6/2014
478,9/7/2014
478,9/13/2014
478,9/14/2014
478,9/20/2014
478,9/21/2014
478,9/27/2014
478,9/28/2014
480,9/7/2014
480,9/14/2014
480,9/21/2014
480,9/28/2014
481,9/7/2014
481,9/14/2014
481,9/21/2014
481,9/28/2014
507,9/6/2014
507,9/7/2014
507,9/13/2014
507,9/14/2014
507,9/20/2014
507,9/21/2014
507,9/27/2014
507,9/28/2014
518,9/6/2014
518,9/7/2014
518,9/13/2014
518,9/14/2014
518,9/20/2014
518,9/21/2014
518,9/27/2014
518,9/28/2014
533,9/7/2014
533,9/14/2014
533,9/21/2014
533,9/28/2014
538,9/7/2014
538,9/14/2014
545,9/6/2014
545,9/7/2014
545,9/13/2014
545,9/14/2014
545,9/20/2014
545,9/21/2014
545,9/27/2014
545,9/28/2014
548,9/7/2014
548,9/14/2014
548,9/21/2014
548,9/28/2014
567,9/7/2014
567,9/14/2014
567,9/21/2014
567,9/28/2014
568,9/7/2014
568,9/14/2014
568,9/21/2014
568,9/28/2014
574,9/7/2014
574,9/14/2014
574,9/21/2014
574,9/28/2014
575,9/7/2014
575,9/14/2014
575,9/21/2014
575,9/28/2014
598,9/6/2014
598,9/7/2014
598,9/13/2014
598,9/14/2014
598,9/20/2014
598,9/21/2014
598,9/27/2014
598,9/28/2014
606,9/7/2014
606,9/14/2014
606,9/21/2014
606,9/28/2014
