REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_4
1,45,09807247,1027739082106,1,044525545,6/1/2010,ЗАО ЮниКредит Банк,"119034,  г. Москва, Пречистенская набережная, д.9",Председатель Правления,М.Ю. Алексеев,Главный бухгалтер,О.А. Гончарова,Начальник Управления,Г.Е. Чернышева,258-65-04,19
67,92,09265947,1021600000289,67,049205770,6/1/2010,"АКБ ""Энергобанк"" (ОАО)","420021, г.Казань, ул.Сары Садыковой, д.32",Руководитель,Вагизов Д.И.,Главный бухгалтер,Ягофарова Ф.И.,экономист,Колесникова Ю. С.,231-60-92,19
85,05,09241863,1022500001930,85,040518780,6/1/2010,"ОАО КБ ""САММИТ БАНК""","692806, Приморский край, г.Большой Камень , ул. Гагарина,37",Начальник отдела кредитования и денежного обращения,Монастыршина А.М.,Главный бухгалтер,Агеева Г.А.,Зам. начальника отдела кредитования,Гринева-Исупова О.А.,(42335)55491,19
96,32,09806360,1024200001891,96,043207720,6/1/2010,"ОАО ""Кемсоцинбанк""","650000, Кемеровская область, г.Кемерово, Центральный район, ул.Дзержинского, дом № 12",И.О.Генерального директора,Брезгина Е.Л.,Главный бухгалтер,Колочкова М.М.,Начальник отдела казначейства,Кайгородов Андрей Михайлович,36-01-94,19
101,50,16578422,1055400000369,101,045005820,6/1/2010,"ОАО ""БКС Банк""","630099, г. Новосибирск, ул. Советская, д.18",Генеральный директор,Попков В.М.,И.о. главного бухгалтера,Мак Т.Д.,Начальник отдела финансовой отчетности,Сидометова Ю.А.,227-19-48,22
103,45,29313458,1027739480548,103,044585749,6/1/2010,"ООО ""РКБ""","115054,  г. Москва, ул. Бахрушина, дом 23, строение 2",Председатель правления,Шацкий С.Н.,Главный бухгалтер,Трещалина Т.К.,Главный экономист,Дмитриева О.Н.,785-07-05,19
106,60,09806526,1026100002026,106,046015860,6/1/2010,"ОАО АКБ ""Сельмашбанк""","344029, г. Ростов-на-Дону, пр. Сельмаш, 102",Председатель Правления,Хлус В.М.,Главный бухгалтер,Краснорепова Е.В.,Исполнитель,Никифорова О.Н.,254-57-33,23
197,40,09806578,1027800001547,197,044030760,6/1/2010,"ОАО ""МБСП""","194044, Санкт-Петербург, Крапивный пер., 5",Заместитель Председателя Правления - Финансовый директор,Родионов Максим Александрович,Главный бухгалтер,Шевцова Елена Валентиновна,Гл. экономист,Загуменнова Е.А.,542-09-41,19
208,52,09227917,1025500000459,208,045209713,6/1/2010,"ОАО ""МКБ ""СИБЭС""","644007, г.Омск, ул. Рабиновича, 132/134",Зам. Председателя Правления,Горячкина И.М.,Главный бухгалтер,Самойлова Г.Н.,Нач. отдела эконом. анализа и ликвидности,Корешкова Г.Я.,24-58-67,19
210,45,09806561,1027739290270,210,044599457,6/1/2010,"ЗАО АКБ ""Экспресс-кредит""","105037,  г. Москва, ул.3-я Прядильная, д.3",Заместитель Председателя Правления,Лосев А.С.,Зам.главного бухгалтера,Васина О.А.,Зам.главного бухгалтера,Васина О.А.,925-07-36,24
