REGN,C1_4,C2_4,C3_4,C4_4
384,1,Í15,99.38,11/1/2011
384,2,Í15,99.47,11/2/2011
384,3,Í15,99.36,11/3/2011
384,4,Í15,99.46,11/5/2011
384,5,Í15,99.48,11/6/2011
384,6,Í15,99.32,11/7/2011
384,7,Í15,99.43,11/8/2011
384,8,Í15,99.51,11/9/2011
384,9,Í15,99.61,11/10/2011
384,10,Í15,99.73,11/11/2011
384,11,Í15,99.83,11/12/2011
384,12,Í15,99.84,11/13/2011
384,13,Í15,99.96,11/14/2011
384,14,Í15,99.35,11/15/2011
384,15,Í15,99.58,11/16/2011
384,16,Í15,99.42,11/25/2011
384,17,Í15,99.50,11/26/2011
384,18,Í15,99.50,11/27/2011
384,19,Í15,99.42,11/28/2011
384,20,Í15,99.41,11/29/2011
384,21,Í15,98.85,11/30/2011
927,1,Í3,49.74,11/28/2011
1019,1,Í4,143.55,11/1/2011
1019,2,Í4,140.53,11/2/2011
1019,3,Í4,139.37,11/3/2011
1019,4,Í4,141.91,11/5/2011
1019,5,Í4,138.08,11/7/2011
1019,6,Í4,138.40,11/8/2011
1019,7,Í4,134.75,11/9/2011
1019,8,Í4,132.67,11/10/2011
1019,9,Í4,134.81,11/11/2011
1019,10,Í4,135.69,11/12/2011
1019,11,Í4,133.79,11/14/2011
1019,12,Í4,132.86,11/15/2011
1019,13,Í4,131.24,11/16/2011
1019,14,Í4,130.28,11/17/2011
1019,15,Í4,130.65,11/18/2011
1019,16,Í4,127.80,11/19/2011
1019,17,Í4,126.51,11/21/2011
1019,18,Í4,129.15,11/22/2011
1019,19,Í4,128.14,11/23/2011
1019,20,Í4,127.82,11/24/2011
1019,21,Í4,127.63,11/25/2011
1019,22,Í4,127.70,11/26/2011
1019,23,Í4,124.08,11/28/2011
1019,24,Í4,124.04,11/29/2011
1019,25,Í4,125.40,11/30/2011
1399,1,Í2,10.11,11/28/2011
2756,1,Í3,44.19,11/18/2011
3338,1,Í18,99.76,11/30/2011
3497,1,Í2,0.00,11/1/2011
3497,2,Í2,0.00,11/2/2011
3497,3,Í2,0.00,11/3/2011
3497,4,Í2,0.00,11/4/2011
3497,5,Í2,0.00,11/5/2011
3497,6,Í2,0.00,11/6/2011
3497,7,Í2,0.00,11/7/2011
3497,8,Í2,0.00,11/8/2011
3497,9,Í2,0.00,11/9/2011
3497,10,Í2,0.00,11/10/2011
3497,11,Í2,0.00,11/11/2011
3497,12,Í2,0.00,11/12/2011
3497,13,Í2,0.00,11/13/2011
3497,14,Í2,0.00,11/14/2011
3497,15,Í2,0.00,11/15/2011
3497,16,Í2,0.00,11/16/2011
3497,17,Í2,0.00,11/17/2011
3497,18,Í2,0.00,11/18/2011
3497,19,Í2,0.00,11/19/2011
3497,20,Í2,0.00,11/20/2011
3497,21,Í2,0.00,11/21/2011
3497,22,Í2,0.00,11/22/2011
3497,23,Í2,0.00,11/23/2011
3497,24,Í2,0.00,11/24/2011
3497,25,Í2,0.00,11/25/2011
3497,26,Í2,0.00,11/26/2011
3497,27,Í2,0.00,11/27/2011
3497,28,Í2,0.00,11/28/2011
3497,29,Í2,0.00,11/29/2011
3497,30,Í2,0.00,11/30/2011
3497,31,Í3,0.00,11/1/2011
3497,32,Í3,0.00,11/2/2011
3497,33,Í3,0.00,11/3/2011
3497,34,Í3,0.00,11/4/2011
3497,35,Í3,0.00,11/5/2011
3497,36,Í3,0.00,11/6/2011
3497,37,Í3,0.00,11/7/2011
3497,38,Í3,0.00,11/8/2011
3497,39,Í3,0.00,11/9/2011
3497,40,Í3,0.00,11/10/2011
3497,41,Í3,0.00,11/11/2011
3497,42,Í3,0.00,11/12/2011
3497,43,Í3,0.00,11/13/2011
3497,44,Í3,0.00,11/14/2011
3497,45,Í3,0.00,11/15/2011
3497,46,Í3,0.00,11/16/2011
3497,47,Í3,0.00,11/17/2011
3497,48,Í3,0.00,11/18/2011
3497,49,Í3,0.00,11/19/2011
3497,50,Í3,0.00,11/20/2011
3497,51,Í3,0.00,11/21/2011
3497,52,Í3,0.00,11/22/2011
3497,53,Í3,0.00,11/23/2011
3497,54,Í3,0.00,11/24/2011
3497,55,Í3,0.00,11/25/2011
3497,56,Í3,0.00,11/26/2011
3497,57,Í3,0.00,11/27/2011
3497,58,Í3,0.00,11/28/2011
3497,59,Í3,0.00,11/29/2011
3497,60,Í3,0.00,11/30/2011
