REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_5
138,41,09806957,1027800004517,138,044106725,2/1/2011,"ОАО ""Рускобанк""","188640, Ленинградская область, город Всеволожск, Всеволожский проспект, дом 29",Директор,Нечаева Л.В.,И.о. главного бухгалтера,Тарасова Е.В.,Начальник управления,Боголюбова М.А.,242-01-74,31
142,05,09806970,1032500000532,142,040502713,2/1/2011,"ЗАО ПТКБ ""МЕРКУРИЙ""","690003, г.Владивосток, ул.Станюковича, 3",Президент,Шевыр?в В.В.,Главный бухгалтер,Сорокина Н.Н.,Ведущий экономист отдела активных операций,Боев В.И.,607-253,15
153,65,09808005,1026600000602,153,046568782,2/1/2011,"ЗАО ""Уралприватбанк""","Россйская Федерация, 620219, город Екатеринбург, ул. Первомайская, д. 26",Председатель Правления,Денисов Ю.П.,Главный бухгалтер,Гайсина Р.Р.,Начальник отдела,Камаева Л.С.,385-08-91,27
155,45,09806153,1027739284099,155,044552108,2/1/2011,"ООО КБСИ ""Стройиндбанк""","109004, Москва, ул. Александра Солженицына, д. 8, стр. 1",Председатель,Саввин А.Г.,Главный бухгалтер,Черняева Е.В.,Нач.Упр.,Асланов А.Л.,9117451,15
170,52,09808583,1025500003737,170,045209714,2/1/2011,"ЗАО ""Банк Сибирь""","644024, г.Омск, ул.Маршала Жукова, 21",Зам. Председателя правления,А. Ю. Вандышев,Главный бухгалтер,Л. В. Саброва,Ведущий специалист,Подворный А.В.,44-60-64,15
184,82,09808672,1020500001345,184,048209763,2/1/2011,"ООО ИКБ ""МЕСЕД""","367015, Республика Дагестан, г. Махачкала,  ул. Ярагского, 93  ""А""",Председатель правления,Раджабов Магомед Абдулкадырович,Главный бухгалтер,Лачемилаев Магомед Гадигатулаевич,Начальник ОП и ВТ,Шайхмагомедов Исламутдин Магомедович,646715,15
197,40,09806578,1027800001547,197,044030760,2/1/2011,"ОАО ""МБСП""","194044, Санкт-Петербург, Крапивный пер., 5",Заместитель Председателя Правления - Финансовый директор,Родионов Максим Александрович,Главный бухгалтер,Шевцова Елена Валентиновна,Гл. экономист,Загуменнова Е.А.,542-09-41,15
208,52,09227917,1025500000459,208,045209713,2/1/2011,"ЗАО ""КБ ""СИБЭС""","644007, г.Омск, ул. Рабиновича, 132/134",Зам. Председателя Правления,Горячкина И. М.,Главный бухгалтер,Самойлова Г. Н.,Нач. отдела эконом. анализа и ликвидности,Корешкова Г.Я.,24-58-67,15
210,45,09806561,1027739290270,210,044599457,2/1/2011,"ЗАО АКБ ""Экспресс-кредит""","105037,  г. Москва, ул.3-я Прядильная, д.3",Заместитель Председателя Правления,Лосев А.С.,И.О.главного бухгалтера,Васина О.А.,И.О.главного бухгалтера,Васина О.А.,925-07-36,19
226,45,09807359,1027700351106,226,044552521,2/1/2011,"ЗАО КБ ""Росинтербанк""","107045,  г. Москва, ул. Сретенка, д. 16/2",Председатель Правления,Чернуха М.В.,Главный бухгалтер,Петрова О.М.,Заместитель начальника отдела,Голованов А.Н.,514-18-85,15
232,03,09808815,1102300004938,232,040396717,2/1/2011,ЗАО Банк ЗЕНИТ Сочи,"354000, Краснодарский край, г. Сочи, ул. Навагинская, 14",Председатель правления ЗАО Банк ЗЕНИТ Сочи,Сосин И.Н.,Главный бухгалтер,Чернова Л.В.,Зам.главного бухгалтера,"Беркутов Л.А,",647280,15
