REGN,C1_2,C2_2
1,Ар,448407025.00
1,Ар1,0.00
1,Ар2,34657335.00
1,Ар3,3941.00
1,Ар4,410499073.00
1,Ар5,3246677.00
1,Ариск0,132273700.00
1,К,87076119.00
1,Кф,0.00
1,Кинс,13267115.00
1,Крас,0.00
1,Крд,286284233.00
1,Крис,187374.00
1,КРС,6671071.00
1,КРВ,97189999.00
1,Кскр,158291097.00
1,ЛАм,83900509.00
1,ЛАт,165682884.00
1,ОД,181117468.00
1,ОР,2642949.00
1,ОВм,103086226.00
1,ОВт,262190631.00
1,ПК,100887851.00
1,И,3.00
1,Приз,3.00
1,РР,18377449.00
1,ПР,1837744.89
1,ОПР,981736.93
1,СПР,856007.96
1,ФР,0.00
1,ОФР,0.00
1,СФР,0.00
1,ВР,0.00
1,99,4.94
2,Ар,155242.00
2,Ар1,0.00
2,Ар2,4163.00
2,Ар3,0.00
2,Ар4,151079.00
2,Ар5,0.00
2,Ариск0,45383.00
2,К,666046.00
2,Кф,0.65
2,Кинс,0.00
2,Крас,637.00
2,Крд,575480.00
2,Крис,368.00
2,КРВ,27746.00
2,Кскр,1068333.00
2,ЛАм,55770.00
2,ЛАт,211441.00
2,ОД,119411.00
2,ОР,21758.00
2,ОВм,336457.00
2,ОВт,341207.00
2,ПК,344612.00
2,РР,8191.00
2,ПР,0.00
2,ОПР,0.00
2,СПР,0.00
2,ФР,0.00
2,ОФР,0.00
2,СФР,0.00
2,ВР,8191.28
2,99,0.00
5,Ар,4317096.00
5,Ар1,0.00
5,Ар2,200918.00
5,Ар3,0.00
5,Ар4,4116178.00
5,Ар5,0.00
5,Ариск0,1802123.00
5,К,672174.00
5,Кф,0.90
5,Кинс,0.00
5,Крас,8898.00
5,Крд,1275332.00
5,Крис,13248.00
5,КРС,0.00
5,КРВ,70424.00
5,Кскр,2048113.00
5,ЛАм,2037420.00
5,ЛАт,3032641.00
5,ОД,1269204.00
5,ОР,36430.00
5,ОВм,2940798.00
5,ОВт,3118456.00
5,ПК,195950.00
5,РР,195580.00
5,ПР,17192.21
5,ОПР,10318.69
5,СПР,6873.52
5,ФР,0.00
5,ОФР,0.00
5,СФР,0.00
5,ВР,23657.42
5,99,23.15
18,Ар,11557745.00
18,Ар1,0.00
18,Ар2,644277.00
18,Ар3,2814.00
18,Ар4,10910654.00
18,Ар5,0.00
18,Ариск0,5209422.00
18,К,2732602.00
18,Кф,0.00
18,Кинс,0.00
18,Крас,0.00
18,Крд,4557988.00
18,Крис,48316.00
18,КРС,0.00
18,КРВ,3852354.00
18,Кскр,11368397.00
18,ЛАм,5056454.00
18,ЛАт,9195081.00
18,ОД,4989160.00
18,ОР,126756.00
18,ОВм,6443370.00
18,ОВт,12791501.00
18,ПК,872515.00
18,РР,9539840.00
18,ПР,192873.00
18,ОПР,115172.00
18,СПР,77701.00
18,ФР,761111.00
18,ОФР,515084.00
18,СФР,246027.00
18,ВР,0.00
18,99,0.00
21,Ар,616205.00
21,Ар1,0.00
21,Ар2,82250.00
21,Ар3,0.00
21,Ар4,533955.00
21,Ар5,0.00
21,Ариск0,127289.00
21,К,194806.00
21,Кф,0.82
21,Кинс,0.00
21,Крас,0.00
21,Крд,217794.00
21,Крис,3644.00
21,КРС,0.00
21,КРВ,11985.00
21,Кскр,348670.00
21,ЛАм,476141.00
21,ЛАт,618540.00
21,ОД,39460.00
21,ОР,13464.00
21,ОВм,555844.00
21,ОВт,603673.00
21,ПК,38654.00
21,РР,0.00
21,ПР,0.00
21,ОПР,0.00
21,СПР,0.00
21,ФР,0.00
21,ОФР,0.00
21,СФР,0.00
21,ВР,0.00
21,99,0.00
23,Ар,20293259.00
23,Ар1,0.00
23,Ар2,198393.00
23,Ар3,75608.00
23,Ар4,20019258.00
23,Ар5,0.00
23,Ариск0,1261381.00
23,К,2897838.00
23,Кф,0.84
23,Кинс,0.00
23,Крас,341.00
23,Крд,4904152.00
23,Крис,21353.00
23,КРС,0.00
23,КРВ,6462.00
23,Кскр,16380140.00
23,ЛАм,1507346.00
23,ЛАт,5135433.00
23,ОД,1363441.00
23,ОР,102871.00
23,ОВм,3583902.00
23,ОВт,4891089.00
23,ПК,29867.00
23,РР,0.00
23,ПР,0.00
23,ОПР,0.00
23,СПР,0.00
23,ФР,0.00
23,ОФР,0.00
23,СФР,0.00
23,ВР,0.00
23,99,3.50
52,Ар,5909647.00
52,Ар1,0.00
52,Ар2,552769.00
52,Ар3,0.00
52,Ар4,5356878.00
52,Ар5,0.00
52,Ариск0,1460543.00
52,К,1129832.00
52,Кф,1.06
52,Кинс,0.00
52,Крас,392.00
52,Крд,1971966.00
52,Крис,17635.00
52,КРВ,773793.00
52,Кскр,4845934.00
52,ЛАм,3659570.00
52,ЛАт,4190730.00
52,ОД,1170063.00
52,ОР,85577.00
52,ОВм,5966833.00
52,ОВт,6189479.00
52,ПК,1594867.00
52,ПР,0.00
52,ОПР,0.00
52,СПР,0.00
52,ФР,0.00
52,ОФР,0.00
52,СФР,0.00
52,ВР,0.00
52,99,0.00
53,Ар,8276307.00
53,Ар1,0.00
53,Ар2,519798.00
53,Ар3,0.00
53,Ар4,7756509.00
53,Ар5,0.00
53,Ариск0,1361823.00
53,К,1295263.00
53,Кф,0.93
53,Кинс,0.00
53,Крас,515.00
53,Крд,1104332.00
53,Крис,14718.00
53,КРС,0.00
53,КРВ,801976.00
53,Кскр,6715923.00
53,ЛАм,1855451.00
53,ЛАт,4531280.00
53,ОД,741296.00
53,ОР,53129.00
53,ОВм,4796999.00
53,ОВт,5415510.00
53,ПК,613997.00
53,РР,93738.00
53,ПР,9373.75
53,ОПР,4307.41
53,СПР,5066.34
53,ФР,0.00
53,ОФР,0.00
53,СФР,0.00
53,ВР,0.00
53,99,2.38
55,Ар,3970163.00
55,Ар1,0.00
55,Ар2,130419.00
55,Ар3,0.00
55,Ар4,3839744.00
55,Ар5,0.00
55,Ариск0,838151.00
55,К,741370.00
55,Кф,0.84
55,Кинс,0.00
55,Крас,33443.00
55,Крд,627770.00
55,Крис,4660.00
55,КРС,0.00
55,КРВ,126357.00
55,Кскр,2205977.00
55,ЛАм,1223234.00
55,ЛАт,1594123.00
55,ОД,4403.00
55,ОР,51282.00
55,ОВм,2040452.00
55,ОВт,2253623.00
55,ПК,280685.00
55,РР,17478.00
55,ПР,0.00
55,ОПР,0.00
55,СПР,0.00
55,ФР,0.00
55,ОФР,0.00
55,СФР,0.00
55,ВР,17478.01
55,99,1.18
65,Ар,15162582.00
65,Ар1,0.00
65,Ар2,141595.00
65,Ар3,0.00
65,Ар4,15020987.00
65,Ар5,0.00
65,Ариск0,1966083.00
65,К,3388136.00
65,Кф,0.88
65,Кинс,0.00
65,Крас,0.00
65,Крд,9136421.00
65,Крис,65327.00
65,КРС,1.00
65,КРВ,63604.00
65,Кскр,9258574.00
65,ЛАм,2355604.00
65,ЛАт,4599138.00
65,ОД,10188860.00
65,ОР,93130.00
65,ОВм,5492697.00
65,ОВт,6791722.00
65,ПК,2865394.00
65,РР,3698741.00
65,ПР,239457.83
65,ОПР,20742.91
65,СПР,218714.92
65,ФР,130416.22
65,ОФР,86944.15
65,СФР,43472.07
65,ВР,0.00
65,99,11.80
67,Ар,12824852.00
67,Ар1,0.00
67,Ар2,21078.00
67,Ар4,12803774.00
67,Ариск0,932864.00
67,К,3224682.00
67,Кф,0.76
67,Крд,10004284.00
67,Крис,10115.00
67,КРВ,196152.00
67,Кскр,7546629.00
67,ЛАм,723960.00
67,ЛАт,1777245.00
67,ОД,5452708.00
67,ОР,98210.00
67,ОВм,2497017.00
67,ОВт,3168144.00
67,ПК,405280.00
67,ПР,0.00
67,ОПР,0.00
67,СПР,0.00
67,ФР,0.00
67,ОФР,0.00
67,СФР,0.00
67,ВР,0.00
67,99,3.85
77,Ар,9718310.00
77,Ар1,0.00
77,Ар2,143410.00
77,Ар3,0.00
77,Ар4,9574900.00
77,Ар5,0.00
77,Ариск0,2162907.00
77,К,2003482.00
77,Кф,0.82
77,Кинс,10025.00
77,Крас,0.00
77,Крд,3436468.00
77,Крис,10933.00
77,КРС,0.00
77,КРВ,3106584.00
77,Кскр,8897616.00
77,ЛАм,2419075.00
77,ЛАт,4684719.00
77,ОД,1525963.00
77,ОР,83683.00
77,ОВм,5261420.00
77,ОВт,6234889.00
77,ПК,986357.00
77,РР,1176858.00
77,ПР,102564.16
77,ОПР,17669.13
77,СПР,84895.03
77,ФР,2638.03
77,ОФР,1758.69
77,СФР,879.34
77,ВР,124836.25
77,99,9.62
84,Ар,19265696.00
84,Ар1,0.00
84,Ар2,303209.00
84,Ар3,113914.00
84,Ар4,18848574.00
84,Ариск0,3375180.00
84,К,2888022.00
84,Кф,0.89
84,Крас,109153.00
84,Крд,14161239.00
84,Крис,44588.00
84,КРС,53862.00
84,КРВ,251007.00
84,Кскр,1862829.00
84,ЛАм,2295392.00
84,ЛАт,3504789.00
84,ОД,8577607.00
84,ОР,201984.00
84,ОВм,6722006.00
84,ОВт,7131111.00
84,ПК,476760.00
84,РР,132231.00
84,ПР,7368.18
84,ОПР,303.64
84,СПР,7064.54
84,ФР,0.00
84,ОФР,0.00
84,СФР,0.00
84,ВР,58549.28
84,99,0.26
85,Ар,857261.00
85,Ар1,0.00
85,Ар2,31152.00
85,Ар3,200.00
85,Ар4,825909.00
85,Ар5,0.00
85,Ариск0,168838.00
85,К,209722.00
85,Кф,0.94
85,Кинс,0.00
85,Крас,0.00
85,Крд,384717.00
85,Крис,4316.00
85,КРС,0.00
85,КРВ,13570.00
85,Кскр,603547.00
85,ЛАм,175118.00
85,ЛАт,413952.00
85,ОД,311650.00
85,ОР,13356.00
85,ОВм,384447.00
85,ОВт,431916.00
85,ПК,184756.00
85,РР,4418.00
85,ПР,0.00
85,ОПР,0.00
85,СПР,0.00
85,ФР,0.00
85,ОФР,0.00
85,СФР,0.00
85,ВР,4417.51
85,99,3.03
96,Ар,836778.00
96,Ар1,0.00
96,Ар2,8306.00
96,Ар4,828472.00
96,Ариск0,299704.00
96,К,197267.00
96,Кф,0.83
96,Крд,265559.00
96,Крис,4324.00
96,Кскр,582917.00
96,ЛАм,167421.00
96,ЛАт,367488.00
96,ОД,322272.00
96,ОР,12756.00
96,ОВм,285170.00
96,ОВт,324425.00
96,ПР,0.00
96,ОПР,0.00
96,СПР,0.00
96,ФР,0.00
96,ОФР,0.00
96,СФР,0.00
96,ВР,0.00
96,99,0.00
101,Ар,288192.00
101,Ар1,0.00
101,Ар2,97994.00
101,Ар3,0.00
101,Ар4,190198.00
101,Ар5,0.00
101,Ариск0,1433774.00
101,К,1981550.00
101,Кф,0.97
101,Кинс,0.00
101,Крас,36858.00
101,Крд,30298.00
101,Крис,11569.00
101,КРС,14695.00
101,КРВ,0.00
101,Кскр,6929583.00
101,ЛАм,3391304.00
101,ЛАт,6959765.00
101,ОД,7640.00
101,ОР,34082.00
101,ОВм,9026945.00
101,ОВт,11238856.00
101,ПК,1268761.00
101,РР,7112172.00
101,ПР,676159.45
101,ОПР,259297.69
101,СПР,416861.76
101,ФР,35057.76
101,ОФР,23371.84
101,СФР,11685.92
101,ВР,0.00
101,99,25.47
103,Ар,4061044.00
103,Ар1,0.00
103,Ар2,216565.00
103,Ар3,0.00
103,Ар4,3844479.00
103,Ар5,0.00
103,Ариск0,3127611.00
103,К,2495619.00
103,Кф,0.75
103,Кинс,0.00
103,Крас,0.00
103,Крд,1224141.00
103,Крис,9240.00
103,КРС,0.00
103,КРВ,501737.00
103,Кскр,4520834.00
103,ЛАм,732161.00
103,ЛАт,2599903.00
103,ОД,320282.00
103,ОР,44680.00
103,ОВм,3048927.00
103,ОВт,3147474.00
103,ПК,2668312.00
103,РР,0.00
103,ПР,0.00
103,ОПР,0.00
103,СПР,0.00
103,ФР,0.00
103,ОФР,0.00
103,СФР,0.00
103,ВР,0.00
103,99,0.00
106,Ар,591724.00
106,Ар2,32995.00
106,Ар4,558729.00
106,Ариск0,73098.00
106,К,241404.00
106,Кф,0.77
106,Крас,2920.00
106,Крд,138828.00
106,Крис,4266.00
106,КРВ,5520.00
106,Кскр,500443.00
106,ЛАм,211390.00
106,ЛАт,269451.00
106,ОД,66843.00
106,ОР,9945.00
106,ОВм,325638.00
106,ОВт,391108.00
106,ПК,82332.00
106,ПР,0.00
106,ОПР,0.00
106,СПР,0.00
106,ФР,0.00
106,ОФР,0.00
106,СФР,0.00
106,ВР,0.00
106,99,0.00
107,Ар,32959072.00
107,Ар1,0.00
107,Ар2,1261665.00
107,Ар3,1277.00
107,Ар4,31696130.00
107,Ар5,0.00
107,Ариск0,4070491.00
107,К,4960082.00
107,Кф,0.90
107,Кинс,87068.00
107,Крас,791531.00
107,Крд,5399795.00
107,Крис,15929.00
107,КРС,0.00
107,КРВ,1466835.00
107,Кскр,21231411.00
107,ЛАм,6986325.00
107,ЛАт,13011858.00
107,ОД,4936067.00
107,ОР,299698.00
107,ОВм,8309611.00
107,ОВт,10731713.00
107,ПК,4341759.00
107,РР,1153406.00
107,ПР,97250.63
107,ОПР,5854.63
107,СПР,91396.00
107,ФР,0.00
107,ОФР,0.00
107,СФР,0.00
107,ВР,180899.39
107,99,5.29
121,Ар,2025714.00
121,Ар1,0.00
121,Ар2,455326.00
121,Ар3,0.00
121,Ар4,1569988.00
121,Ар5,401.00
121,Ариск0,24431395.00
121,К,18156303.00
121,Кф,0.72
121,Кинс,30673.00
121,Крас,475200.00
121,Крд,1997502.00
