REGN,C1_3,C2_3
1,Í1,16.67
1,Í2,77.46
1,Í3,59.52
1,Í4,94.25
1,Í7,130.55
1,Í9.1,0.00
1,Í10.1,0.16
1,Í12,0.44
2,Í1,38.60
2,Í2,47.59
2,Í3,93.34
2,Í4,92.38
2,Í7,173.06
2,Í9.1,0.00
2,Í10.1,0.09
2,Í12,0.00
5,Í1,13.35
5,Í2,63.91
5,Í3,95.01
5,Í4,94.51
5,Í7,368.02
5,Í9.1,2.04
5,Í10.1,2.10
5,Í12,0.00
18,Í1,21.46
18,Í2,30.48
18,Í3,51.93
18,Í4,74.67
18,Í7,166.04
18,Í9.1,0.00
18,Í10.1,0.92
18,Í12,0.00
21,Í1,23.09
21,Í2,77.39
21,Í3,83.95
21,Í4,95.75
21,Í7,259.59
21,Í9.1,0.00
21,Í10.1,0.62
21,Í12,0.00
23,Í1,15.33
23,Í2,63.32
23,Í3,160.27
23,Í4,82.61
23,Í7,501.22
23,Í9.1,0.02
23,Í10.1,0.58
23,Í12,0.00
52,Í1,12.54
52,Í2,62.78
52,Í3,68.40
52,Í4,24.49
52,Í7,474.96
52,Í9.1,0.13
52,Í10.1,1.35
52,Í12,0.00
53,Í1,11.49
53,Í2,87.57
53,Í3,106.00
53,Í4,48.63
53,Í7,549.46
53,Í9.1,0.05
53,Í10.1,1.26
53,Í12,0.00
55,Í1,14.68
55,Í2,73.04
55,Í3,89.08
55,Í4,78.11
55,Í7,363.08
55,Í9.1,12.07
55,Í10.1,0.17
55,Í12,6.53
65,Í1,13.28
65,Í2,42.23
65,Í3,85.06
65,Í4,76.87
65,Í7,427.14
65,Í9.1,0.00
65,Í10.1,2.35
65,Í12,0.00
67,Í1,23.77
67,Í2,23.51
67,Í3,58.26
67,Í4,111.42
67,Í7,242.04
67,Í9.1,0.00
67,Í10.1,0.15
67,Í12,0.00
77,Í1,12.48
77,Í2,42.63
77,Í3,123.35
77,Í4,53.24
77,Í7,548.08
77,Í9.1,0.00
77,Í10.1,0.57
77,Í12,0.00
84,Í1,11.14
84,Í2,109.52
84,Í3,113.47
84,Í4,100.49
84,Í7,83.94
84,Í9.1,0.00
84,Í10.1,1.67
84,Í12,0.00
85,Í1,21.87
85,Í2,40.54
85,Í3,52.00
85,Í4,92.74
85,Í7,258.02
85,Í9.1,0.00
85,Í10.1,1.88
85,Í12,0.00
96,Í1,29.15
96,Í2,79.07
96,Í3,165.93
96,Í4,19.34
96,Í7,222.66
96,Í9.1,0.00
96,Í10.1,1.36
96,Í12,0.00
101,Í1,44.18
101,Í2,45.21
