REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,C2_5
170,52,09808583,1025500003737,170,045209714,10/1/2012,"ЗАО ""Банк Сибирь""","644024, г.Омск, ул.Маршала Жукова, 21",20
184,82,09808672,1020500001345,184,048209763,10/1/2012,"ООО ИКБ ""МЕСЕД""","367015, Республика Дагестан, г. Махачкала,  ул. Ярагского, 93  ""А""",19
197,40,09806578,1027800001547,197,044030760,10/1/2012,"ОАО ""МБСП""","194044, Санкт-Петербург, Крапивный пер., 5",20
208,52,09227917,1025500000459,208,045209713,10/1/2012,"ЗАО ""КБ ""СИБЭС""","644007, г.Омск, ул. Рабиновича, 132/134",20
210,45,09806561,1027739290270,210,044599457,10/1/2012,"ЗАО АКБ ""Экспресс-кредит""","105037,  г. Москва, ул.3-я Прядильная, д.3",30
212,61,09807224,1026200000111,212,046126708,10/1/2012,Прио-Внешторгбанк (ОАО),"390023, г. Рязань, ул. Есенина,д.82/26",30
226,45,09807359,1027700351106,226,044552521,10/1/2012,"ЗАО КБ ""Росинтербанк""","107045,  г. Москва, ул. Сретенка, д. 16/2",30
232,03,09808815,1102300004938,232,040396717,10/1/2012,ЗАО Банк ЗЕНИТ Сочи,"354000, Краснодарский край, г. Сочи, ул. Навагинская, 14",20
236,45,17546329,1027739412359,236,044585728,10/1/2012,"ООО ""СПЕЦСТРОЙБАНК""","109004,  г. Москва, ул. Александра Солженицына, д. 12, стр. 4",20
249,57,09807543,1025900000048,249,045773790,10/1/2012,"ОАО АКБ ""Урал ФД""","614990, г. Пермь, ул. Ленина, 64",25
254,33,10919075,1024300000042,254,043304711,10/1/2012,"ОАО КБ ""Хлынов""","610002, г.Киров, ул. Урицкого, д. 40",30
256,45,09807336,1026900005307,256,044552911,10/1/2012,"ОАО ""ГУТА-БАНК""","107078, г. Москва, Орликов пер., д. 5, стр. 3",20
272,45,09807649,1027739137535,272,044583544,10/1/2012,"АКБ ""ИРС"" (ЗАО)","127422,  г. Москва, ул.Тимирязевская, д.26",20
282,36,09808755,1026300001782,282,043601709,10/1/2012,"ОАО ""Волго-Камский банк""","443096, город Самара, Ленинский район, проспект Карла Маркса, д.10",20
286,45,09807833,1027700207490,286,044552620,10/1/2012,"Коммерческий Банк ""Аскания Траст"" (ООО)","101000,  г. Москва, ул. Покровка, д. 10, стр. 1",20
312,22,09809068,1025200000528,312,042202722,10/1/2012,"ЗАО ""ВОКБАНК""","603950, г.Нижний Новгород, улица Полтавская, д.14",25
316,45,09807804,1027700280937,316,044585216,10/1/2012,"ООО ""ХКФ Банк""","125040, г. Москва, ул. Правды, д. 8, корпус 1",30
323,50,09804094,1025400001571,323,045004821,10/1/2012,"ОАО ""МДМ Банк""","630004,  г. Новосибирск, улица Ленина, 18",30
324,45,09804102,1037739057070,324,044525057,10/1/2012,"ОАО ""БАНК РОССИЙСКИЙ КРЕДИТ""","125252,  г. Москва, ул. Сальвадора Альенде, д. 7",20
328,40,09804148,1027800000084,328,044030861,10/1/2012,"ОАО ""АБ ""РОССИЯ""","191124, Санкт-Петербург, пл. Растрелли, 2, литер А",30
330,63,09809080,1026400002089,330,046311755,10/1/2012,"ООО Банк ""Саратов""","410071, г.Саратов, ул.Шелковичная, 177",20
347,82,09804326,1020500002357,347,048209711,10/1/2012,"ООО ""НОВЫЙ КОММЕРЧЕСКИЙ БАНК""","367027, Республика Дагестан, г. Махачкала, ул. Казбекова, 161а.",19
356,40,09804384,1027800000183,356,044030758,10/1/2012,"ОАО ""Витабанк""","195220, Санкт-Петербург, пр. Непокоренных,17, корп 4, литер В",20
