REGN,C1_3,C2_3,C3_3,C4_3
1,Í1,13.25,,
1,Í2,85.76,,
1,Í3,84.55,,
1,Í4,95.10,,
1,Í7,149.74,,
1,Í9.1,0.00,,
1,Ò1,0.00,,
1,Ò2,108.00,,
1,Í10.1,0.17,,
1,Í12,6.89,,
1,Í17,0.00,,
1,Í18,107.95,,
1,Í19,0.00,,
2,Í1,29.64,,
2,Í2,28.22,,
2,Í3,59.24,,
2,Í4,109.28,,
2,Í7,185.80,,
2,Í9.1,0.10,,
2,Í10.1,0.13,,
2,Í12,0.00,,
5,Í1,12.38,,
5,Í2,64.40,,
5,Í3,87.68,,
5,Í4,50.95,,
5,Í7,311.75,,
5,Í9.1,1.06,,
5,Í10.1,1.19,,
5,Í12,0.00,,
18,Í1,10.01,,
18,Í2,93.08,,
18,Í3,123.52,,
18,Í4,87.41,,
18,Í7,215.95,,
18,Í9.1,0.00,,
18,Í10.1,2.57,,
18,Í12,0.00,,
21,Í1,24.24,,
21,Í2,96.04,,
21,Í3,121.93,,
21,Í4,81.21,,
21,Í7,145.18,,
21,Í9.1,0.00,,
21,Í10.1,2.21,,
21,Í12,0.00,,
23,Í1,12.41,,
23,Í2,48.21,,
23,Í3,87.49,,
23,Í4,65.70,,
23,Í7,551.81,,
23,Í9.1,0.02,,
23,Í10.1,0.75,,
23,Í12,5.44,,
52,Í1,12.27,,
52,Í2,73.46,,
52,Í3,80.59,,
52,Í4,58.28,,
52,Í7,360.45,,
52,Í9.1,0.06,,
52,Í10.1,2.38,,
52,Í12,0.00,,
53,Í1,11.79,,
53,Í2,35.66,,
53,Í3,85.43,,
53,Í4,59.12,,
53,Í7,555.95,,
53,Í9.1,0.05,,
53,Í10.1,0.74,,
53,Í12,0.00,,
55,Í1,11.00,,
55,Í2,118.88,,
55,Í3,124.76,,
55,Í4,47.55,,
55,Í7,415.57,,
55,Í9.1,2.00,,
55,Í10.1,0.44,,
55,Í12,0.00,,
65,Í1,11.24,,
65,Í2,50.10,,
65,Í3,73.37,,
65,Í4,71.58,,
65,Í7,251.05,,
65,Í9.1,0.00,,
65,Í10.1,2.12,,
65,Í12,0.00,,
67,Í1,23.11,,
67,Í2,38.94,,
67,Í3,70.57,,
67,Í4,99.08,,
67,Í7,237.80,,
67,Í9.1,4.50,,
67,Í10.1,0.53,,
67,Í12,0.00,,
77,Í1,12.18,,
77,Í2,65.55,,
77,Í3,83.92,,
77,Í4,61.33,,
77,Í7,548.98,,
77,Í9.1,0.00,,
77,Í10.1,0.48,,
77,Í12,0.71,,
85,Í1,14.69,,
85,Í2,54.59,,
85,Í3,98.74,,
85,Í4,64.24,,
85,Í7,295.25,,
85,Í9.1,0.00,,
85,Í10.1,2.13,,
85,Í12,0.00,,
96,Í1,20.65,,
96,Í2,76.03,,
96,Í3,112.02,,
96,Í4,31.07,,
96,Í7,245.69,,
96,Í9.1,0.00,,
96,Í10.1,2.20,,
96,Í12,0.00,,
101,Í1,19.60,,
101,Í2,43.36,,
101,Í3,86.15,,
101,Í4,4.25,,
101,Í7,508.27,,
101,Í9.1,9.79,,
101,Í10.1,0.83,,
101,Í12,0.00,,
103,Í1,36.33,,
103,Í2,68.92,,
103,Í3,109.88,,
103,Í4,41.07,,
103,Í7,142.05,,
103,Í9.1,0.00,,
103,Í10.1,2.30,,
103,Í12,0.00,,
106,Í1,29.78,,
106,Í2,54.11,,
106,Í3,82.70,,
106,Í4,57.16,,
106,Í7,188.17,,
106,Í10.1,0.75,,
107,Í1,11.14,,
107,Í2,33.74,,
107,Í3,62.66,,
107,Í4,70.32,,
107,Í7,287.14,,
107,Í9.1,5.33,,
107,Í10.1,0.17,,
107,Í12,1.19,,
121,Í1,31.66,,
121,Í2,114.67,,
121,Í3,141.37,,
121,Í4,15.22,,
121,Í7,91.46,,
121,Í9.1,0.00,,
121,Í10.1,0.07,,
121,Í12,0.00,,
138,Í1,10.60,,
138,Í2,45.89,,
138,Í3,85.79,,
138,Í4,31.62,,
138,Í7,248.11,,
138,Í9.1,0.00,,
138,Í10.1,0.60,,
138,Í12,0.00,,
