REGN,C1_1,C2_1
1,8810,55526239
1,8811,6200441
1,8812,14234634
1,8900,11812851
1,8902,14234029
1,8909,1449083
1,8910,7361053
1,8911,47104
1,8912,846792
1,8913,579887
1,8914,588168
1,8918,160783201
1,8919,350316
1,8921,846792
1,8922,45400019
1,8925,129565
1,8928,231277
1,8930,60940186
1,8933,3396338
1,8934,314547
1,8938,1788319
1,8940,155
1,8941,3581516
1,8942,1277544
1,8945,112940793
1,8950,88849
1,8953,20928346
1,8954,3435
1,8955,29668
1,8956,125727
1,8957,162046
1,8960,10153795
1,8962,5949358
1,8964,3849472
1,8972,40462577
1,8973,1866848
1,8974,14497197
1,8976,4261902
1,8978,92711113
1,8989,53271556
1,8991,49715511
1,8992,1948072
1,8993,22533
1,8994,214219
1,8995,469693
1,8996,269848930
1,8998,103350387
2,8810,50706
2,8812,51100
2,8909,35
2,8910,32453
2,8912,4757
2,8914,5962
2,8918,22016
2,8921,4757
2,8925,463
2,8941,10415
2,8942,11731
2,8945,646
2,8953,19200
2,8955,10950
2,8956,928598
2,8957,926704
2,8962,99159
2,8964,5193
2,8965,750
2,8989,162390
2,8991,11391
2,8993,4648
2,8994,12
2,8996,510110
2,8998,917459
5,8810,240075
5,8811,715
5,8812,415024
5,8902,913244
5,8904,198328
5,8909,3857
5,8910,166366
5,8911,468
5,8912,244254
5,8914,6416
5,8916,695
5,8918,524616
5,8921,244254
5,8925,11594
5,8926,11233
5,8933,202364
5,8941,120627
5,8942,20486
5,8945,20474
5,8953,253665
5,8956,18139
5,8957,23461
5,8960,297443
5,8962,165558
5,8964,7092
5,8967,9
5,8972,1157617
5,8989,952792
5,8991,297115
5,8993,530
5,8996,1017370
5,8998,2031071
18,8801,158450
18,8810,1092345
18,8812,3712582
18,8902,278627
18,8908,920000
18,8909,882
18,8910,302583
18,8912,332273
18,8913,86950
18,8914,311293
18,8918,474852
18,8919,7016
18,8920,7016
18,8921,332273
18,8925,23172
18,8933,22258
18,8934,1420
18,8938,3
18,8940,77
18,8941,44971
18,8942,87965
18,8945,5641607
18,8950,22
18,8953,293912
18,8956,138425
18,8957,177633
18,8960,53072
18,8962,382809
18,8964,1011277
18,8966,16562
18,8972,209221
18,8989,453677
18,8991,482593
18,8993,500
18,8994,1034
18,8996,2225646
18,8998,4160448
21,8810,5346
21,8812,9113
21,8910,176495
21,8912,42141
21,8914,2564
21,8918,29152
21,8921,42141
21,8925,951
21,8941,8260
21,8942,8158
21,8953,3336
21,8956,52906
21,8957,59651
21,8962,33105
21,8964,148031
21,8989,35246
21,8991,31910
21,8994,36
21,8996,175832
21,8998,401014
23,8810,44179
23,8901,7
23,8902,125293
23,8904,155392
23,8909,5881
23,8910,810920
23,8912,660688
23,8914,13701
23,8918,614238
23,8921,110483
23,8922,726341
23,8925,16177
23,8926,648
23,8930,1521251
23,8933,196412
23,8934,245206
23,8938,838
23,8940,15223
23,8941,39845
23,8942,61290
23,8945,659104
23,8950,337
23,8953,442889
23,8956,565971
23,8957,735479
23,8960,129332
23,8962,338477
23,8964,300145
23,8966,6382
23,8967,74
23,8972,225026
23,8973,33506
23,8978,8869480
23,8989,1952101
23,8991,1785046
23,8994,116
23,8996,6461816
23,8998,13901175
52,8810,255491
52,8812,17419
52,8909,745
52,8910,1758659
52,8912,316023
52,8914,598
52,8918,1352500
52,8921,316023
52,8925,9888
52,8926,986
52,8933,47504
52,8940,2602
52,8941,176931
52,8942,36376
52,8945,15424
52,8953,1609784
52,8956,317190
52,8957,313011
52,8962,492555
52,8964,135153
52,8989,337820
52,8991,158288
52,8993,17
52,8994,2533
52,8996,511074
52,8998,3489470
53,8806,11257
53,8807,7880
53,8810,884304
53,8812,265828
53,8909,4851
53,8910,1669209
53,8912,558445
53,8916,54
53,8918,691534
53,8921,558445
53,8925,12849
53,8926,515
53,8933,80795
53,8940,522
53,8941,4851
53,8942,26792
53,8950,1510
53,8953,1100751
53,8956,330302
53,8957,419330
53,8962,227768
53,8964,1009355
53,8967,18
53,8972,207268
53,8981,9114
53,8989,557398
53,8991,491158
53,8993,170
53,8996,832659
53,8998,5608780
55,8810,120933
55,8904,1784
55,8909,40181
55,8910,646106
55,8912,553159
55,8914,2516
55,8916,16
55,8918,80426
55,8919,53367
55,8921,553159
55,8925,1092
55,8926,77888
55,8933,98832
55,8940,376
55,8941,40181
55,8942,25655
55,8945,85898
55,8953,578467
55,8955,33000
55,8956,99356
55,8957,102604
55,8960,291
55,8962,854716
55,8964,351576
55,8965,33000
55,8981,42988
55,8982,11207
55,8989,369924
55,8991,338240
55,8994,773
55,8995,3071
55,8996,566763
55,8998,2342620
65,8810,81090
65,8811,4743
65,8812,2219657
65,8909,2668
65,8910,1376510
65,8912,100011
65,8914,8130
65,8918,4982586
65,8921,100011
65,8925,51429
65,8933,1065807
65,8941,282667
65,8942,44927
65,8945,20483
65,8950,1788
65,8953,1104005
65,8956,158286
65,8957,194840
65,8962,849573
65,8964,315235
65,8989,3391030
65,8991,909383
65,8993,4302
65,8994,2233
65,8996,5512683
65,8998,9350127
67,8810,576223
67,8903,24672
67,8909,18216
67,8910,220866
67,8911,222
67,8912,134927
67,8918,4787332
67,8921,109929
67,8925,4716
67,8933,96261
67,8934,53
67,8940,1
67,8941,111863
67,8942,48832
67,8956,1121375
67,8957,1283923
67,8962,147250
67,8964,171182
67,8972,24672
67,8989,549126
67,8991,558754
67,8994,39
67,8996,8846366
67,8998,7630417
77,8810,2035955
77,8812,3705954
77,8902,273413
77,8904,101537
77,8907,4345
77,8909,2733
77,8910,431311
77,8912,153805
77,8914,14708
77,8916,85
77,8918,2915679
77,8919,17
77,8921,153805
77,8925,10360
77,8933,253643
77,8940,3
77,8941,129185
77,8942,35187
77,8953,390202
77,8956,30857
77,8957,36601
77,8960,1094387
77,8961,10
77,8962,190255
77,8964,20056
77,8972,1051971
77,8981,2259
77,8982,17
77,8989,3799546
77,8991,492357
77,8994,2240
77,8995,442250
77,8996,2519385
77,8998,9953794
84,8810,129581
84,8811,50632
84,8812,278863
84,8904,12997
84,8909,1006
84,8910,419814
84,8912,4842090
84,8914,4334
84,8916,59
84,8918,4552844
84,8919,50
84,8921,4842090
84,8922,3562447
84,8925,32300
84,8928,5738
84,8930,3606387
84,8933,1311824
84,8938,2833
84,8940,681
84,8941,55614
84,8942,109327
84,8950,48630
84,8953,287362
84,8954,48630
84,8956,252327
84,8957,326672
84,8960,1606
84,8962,1201305
84,8964,23220
84,8966,54642
84,8973,442103
84,8978,7576588
84,8981,75116
84,8982,50
84,8989,721362
84,8990,15860
84,8991,517691
84,8994,5561
84,8996,10323486
84,8998,1621912
85,8810,9784
85,8904,2001
85,8910,4653
85,8912,9976
85,8914,1493
85,8916,71
85,8918,122257
85,8921,9976
85,8925,3756
85,8933,86
85,8940,2
85,8942,7311
85,8953,1251
85,8956,13283
85,8957,17251
85,8960,105
85,8962,109626
85,8964,555
85,8989,60262
85,8991,43765
85,8993,2
85,8994,227
85,8996,298269
85,8998,514419
96,8910,104
96,8912,197482
96,8914,1056
96,8918,155440
96,8921,87357
96,8925,2336
96,8940,55
96,8942,5806
96,8956,2352
96,8957,3058
96,8962,32007
96,8964,99336
96,8989,54389
96,8991,5416
96,8994,146
96,8996,63260
96,8998,382086
101,8811,14937
101,8812,3303012
101,8904,544127
101,8909,700814
101,8910,790940
101,8912,2195302
101,8914,3297
101,8918,9421
101,8921,1244970
101,8925,24
101,8926,73727
101,8933,3242
101,8941,751838
101,8942,15368
101,8953,66686
101,8956,329898
101,8957,400838
101,8962,239599
101,8964,1407254
101,8980,141859
101,8989,1510705
101,8991,25356
101,8992,46
101,8994,15662
101,8996,46626
101,8998,3611918
103,8810,590457
103,8812,269450
103,8902,294974
103,8908,200000
103,8909,1
103,8910,2307070
103,8912,643400
103,8914,19
103,8918,357452
103,8921,643400
103,8922,366934
103,8925,10547
103,8930,437768
103,8933,180092
103,8940,195
103,8941,1
103,8942,21577
103,8945,294859
103,8953,2288622
103,8956,26447
103,8957,34381
103,8960,93150
103,8962,168173
103,8964,452384
103,8967,83
103,8972,388124
103,8978,437768
103,8989,21737
103,8991,86306
103,8993,3
103,8996,700788
103,8998,2341175
106,8810,17470
106,8910,103822
106,8912,30100
106,8914,414
106,8918,115897
106,8921,30100
106,8925,2986
106,8926,29700
106,8933,7669
106,8940,14
