REGN,C1_5
1,6/6/2015
1,6/12/2015
1,6/13/2015
1,6/14/2015
1,6/17/2015
1,6/20/2015
1,6/21/2015
1,6/27/2015
1,6/28/2015
5,6/12/2015
5,6/13/2015
5,6/14/2015
21,6/7/2015
21,6/12/2015
21,6/14/2015
21,6/21/2015
21,6/28/2015
23,6/6/2015
23,6/7/2015
23,6/12/2015
23,6/13/2015
23,6/14/2015
23,6/20/2015
23,6/21/2015
23,6/27/2015
23,6/28/2015
55,6/6/2015
55,6/7/2015
55,6/12/2015
55,6/13/2015
55,6/14/2015
55,6/20/2015
55,6/21/2015
55,6/27/2015
55,6/28/2015
65,6/12/2015
67,6/6/2015
67,6/7/2015
67,6/12/2015
67,6/13/2015
67,6/14/2015
67,6/20/2015
67,6/21/2015
67,6/27/2015
67,6/28/2015
77,6/6/2015
77,6/7/2015
77,6/12/2015
77,6/13/2015
77,6/14/2015
77,6/20/2015
77,6/27/2015
85,6/6/2015
85,6/7/2015
85,6/12/2015
85,6/13/2015
85,6/14/2015
85,6/20/2015
85,6/21/2015
85,6/27/2015
85,6/28/2015
96,6/6/2015
96,6/7/2015
96,6/12/2015
96,6/13/2015
96,6/14/2015
96,6/20/2015
96,6/21/2015
96,6/27/2015
96,6/28/2015
103,6/6/2015
103,6/7/2015
103,6/12/2015
103,6/13/2015
103,6/14/2015
103,6/20/2015
103,6/21/2015
103,6/27/2015
103,6/28/2015
106,6/7/2015
106,6/12/2015
106,6/13/2015
106,6/14/2015
106,6/21/2015
106,6/28/2015
153,6/6/2015
153,6/7/2015
153,6/12/2015
153,6/13/2015
153,6/14/2015
153,6/20/2015
153,6/21/2015
153,6/27/2015
153,6/28/2015
170,6/6/2015
170,6/7/2015
170,6/12/2015
170,6/13/2015
170,6/14/2015
170,6/20/2015
170,6/21/2015
170,6/27/2015
170,6/28/2015
197,6/6/2015
197,6/7/2015
197,6/12/2015
197,6/13/2015
197,6/14/2015
197,6/20/2015
197,6/21/2015
197,6/27/2015
197,6/28/2015
208,6/6/2015
208,6/7/2015
208,6/12/2015
208,6/13/2015
208,6/14/2015
208,6/20/2015
208,6/21/2015
208,6/27/2015
208,6/28/2015
232,6/7/2015
232,6/13/2015
232,6/14/2015
232,6/21/2015
232,6/28/2015
236,6/7/2015
236,6/13/2015
236,6/14/2015
236,6/21/2015
236,6/28/2015
249,6/7/2015
249,6/12/2015
249,6/13/2015
249,6/14/2015
249,6/21/2015
249,6/28/2015
256,6/6/2015
256,6/7/2015
256,6/12/2015
256,6/13/2015
256,6/14/2015
256,6/20/2015
256,6/21/2015
256,6/27/2015
256,6/28/2015
272,6/6/2015
272,6/7/2015
272,6/12/2015
272,6/13/2015
272,6/14/2015
272,6/20/2015
272,6/21/2015
272,6/27/2015
272,6/28/2015
312,6/6/2015
312,6/7/2015
312,6/12/2015
312,6/13/2015
312,6/14/2015
312,6/20/2015
312,6/21/2015
312,6/27/2015
312,6/28/2015
324,6/7/2015
324,6/12/2015
324,6/13/2015
324,6/14/2015
324,6/21/2015
324,6/28/2015
330,6/6/2015
330,6/7/2015
330,6/12/2015
330,6/13/2015
