REGN,C1_5
1,5/1/2012
1,5/6/2012
1,5/7/2012
1,5/8/2012
1,5/9/2012
1,5/13/2012
1,5/19/2012
1,5/20/2012
1,5/26/2012
1,5/27/2012
18,5/1/2012
18,5/7/2012
18,5/9/2012
18,5/20/2012
18,5/27/2012
21,5/1/2012
21,5/6/2012
21,5/8/2012
21,5/9/2012
21,5/13/2012
21,5/20/2012
21,5/27/2012
23,5/1/2012
23,5/6/2012
23,5/7/2012
23,5/8/2012
23,5/9/2012
23,5/13/2012
23,5/19/2012
23,5/20/2012
23,5/26/2012
23,5/27/2012
65,5/1/2012
65,5/7/2012
65,5/8/2012
65,5/9/2012
67,5/1/2012
67,5/6/2012
67,5/7/2012
67,5/8/2012
67,5/9/2012
67,5/13/2012
67,5/19/2012
67,5/20/2012
67,5/26/2012
67,5/27/2012
77,5/1/2012
77,5/6/2012
77,5/7/2012
77,5/8/2012
77,5/9/2012
77,5/13/2012
77,5/19/2012
77,5/20/2012
77,5/26/2012
77,5/27/2012
84,5/1/2012
84,5/9/2012
84,5/20/2012
84,5/27/2012
85,5/1/2012
85,5/6/2012
85,5/7/2012
85,5/8/2012
85,5/9/2012
85,5/13/2012
85,5/19/2012
85,5/20/2012
85,5/26/2012
85,5/27/2012
96,5/1/2012
96,5/6/2012
96,5/7/2012
96,5/8/2012
96,5/9/2012
96,5/13/2012
96,5/19/2012
96,5/20/2012
96,5/26/2012
96,5/27/2012
101,5/1/2012
101,5/6/2012
101,5/9/2012
101,5/13/2012
101,5/20/2012
101,5/27/2012
103,5/1/2012
103,5/6/2012
103,5/7/2012
103,5/8/2012
103,5/9/2012
103,5/13/2012
103,5/19/2012
103,5/20/2012
103,5/26/2012
103,5/27/2012
106,5/1/2012
106,5/6/2012
106,5/7/2012
106,5/8/2012
106,5/9/2012
106,5/13/2012
106,5/20/2012
106,5/27/2012
142,5/1/2012
142,5/6/2012
142,5/7/2012
142,5/8/2012
142,5/9/2012
142,5/13/2012
142,5/19/2012
142,5/20/2012
142,5/26/2012
142,5/27/2012
149,5/1/2012
149,5/6/2012
149,5/7/2012
149,5/8/2012
149,5/9/2012
149,5/13/2012
149,5/19/2012
149,5/20/2012
149,5/26/2012
149,5/27/2012
155,5/1/2012
155,5/6/2012
155,5/7/2012
155,5/8/2012
155,5/9/2012
155,5/13/2012
155,5/19/2012
155,5/20/2012
155,5/26/2012
155,5/27/2012
170,5/1/2012
170,5/6/2012
170,5/7/2012
170,5/8/2012
170,5/9/2012
170,5/13/2012
170,5/19/2012
170,5/20/2012
170,5/26/2012
170,5/27/2012
184,5/1/2012
184,5/6/2012
184,5/7/2012
184,5/8/2012
184,5/9/2012
184,5/13/2012
184,5/19/2012
184,5/20/2012
184,5/26/2012
184,5/27/2012
197,5/1/2012
197,5/6/2012
197,5/7/2012
197,5/8/2012
197,5/9/2012
197,5/13/2012
197,5/19/2012
197,5/20/2012
197,5/26/2012
197,5/27/2012
208,5/1/2012
208,5/6/2012
208,5/7/2012
208,5/8/2012
208,5/9/2012
208,5/13/2012
208,5/19/2012
208,5/20/2012
208,5/26/2012
208,5/27/2012
226,5/1/2012
226,5/9/2012
232,5/1/2012
232,5/2/2012
232,5/6/2012
232,5/7/2012
232,5/8/2012
232,5/9/2012
232,5/13/2012
232,5/19/2012
232,5/20/2012
232,5/26/2012
232,5/27/2012
236,5/1/2012
236,5/6/2012
236,5/7/2012
236,5/8/2012
236,5/9/2012
236,5/13/2012
236,5/19/2012
236,5/20/2012
236,5/26/2012
236,5/27/2012
249,5/1/2012
249,5/6/2012
249,5/7/2012
249,5/9/2012
249,5/13/2012
249,5/20/2012
249,5/27/2012
256,5/1/2012
256,5/6/2012
256,5/7/2012
256,5/8/2012
256,5/9/2012
256,5/13/2012
256,5/19/2012
256,5/20/2012
256,5/26/2012
256,5/27/2012
272,5/1/2012
272,5/6/2012
272,5/7/2012
272,5/8/2012
272,5/9/2012
272,5/13/2012
272,5/19/2012
272,5/20/2012
272,5/26/2012
272,5/27/2012
282,5/1/2012
282,5/6/2012
282,5/7/2012
282,5/8/2012
282,5/9/2012
282,5/13/2012
282,5/19/2012
282,5/20/2012
282,5/26/2012
282,5/27/2012
286,5/1/2012
286,5/6/2012
286,5/7/2012
286,5/8/2012
286,5/9/2012
286,5/13/2012
286,5/19/2012
286,5/20/2012
286,5/26/2012
286,5/27/2012
312,5/1/2012
312,5/6/2012
312,5/7/2012
312,5/8/2012
312,5/9/2012
312,5/13/2012
312,5/20/2012
312,5/27/2012
324,5/1/2012
324,5/6/2012
324,5/7/2012
324,5/8/2012
