REGN,C1_2,C2_2
1,юПХЯЙ0,164839538.00
1,кюР,191337566.00
1,нбЛ,92801315.00
1,оп,859973.14
1,ноп,482567.16
1,яоп,377405.98
1,тп,0.00
1,нтп,0.00
1,ятп,0.00
1,бп,2590224.24
1,пп,11189955.64
1,99,3.60
2,юПХЯЙ0,111850.00
2,кюР,300243.00
2,нбЛ,465158.00
2,оп,0.00
2,ноп,0.00
2,яоп,0.00
2,тп,0.00
2,нтп,0.00
2,ятп,0.00
2,бп,5541.86
2,пп,5541.86
2,99,0.00
5,юПХЯЙ0,2247934.00
5,кюР,3780330.00
5,нбЛ,3743998.00
5,оп,31684.22
5,ноп,23956.57
5,яоп,7727.65
5,тп,0.00
5,нтп,0.00
5,ятп,0.00
5,бп,13282.17
5,пп,330124.37
5,99,20.50
18,юПХЯЙ0,8332282.00
18,кюР,6778798.00
18,нбЛ,4698457.00
18,оп,360869.00
18,ноп,167109.00
18,яоп,193760.00
18,тп,758853.00
18,нтп,505902.00
18,ятп,252951.00
18,бп,0.00
18,пп,11197220.00
18,99,0.00
21,юПХЯЙ0,186198.00
21,кюР,782136.00
21,нбЛ,727538.00
21,оп,0.00
21,ноп,0.00
21,яоп,0.00
21,тп,0.00
21,нтп,0.00
21,ятп,0.00
21,бп,4772.81
21,пп,4772.81
21,99,0.00
23,юПХЯЙ0,1750262.00
23,кюР,5710059.00
23,нбЛ,3496246.00
23,оп,0.00
23,ноп,0.00
23,яоп,0.00
23,тп,0.00
23,нтп,0.00
23,ятп,0.00
23,бп,0.00
23,пп,0.00
23,99,2.83
52,юПХЯЙ0,1012149.00
52,кюР,5545869.00
52,нбЛ,6698575.00
52,оп,0.00
52,ноп,0.00
52,яоп,0.00
52,тп,0.00
52,нтп,0.00
52,ятп,0.00
52,бп,0.00
52,пп,0.00
52,99,0.00
53,юПХЯЙ0,3920361.00
53,кюР,5421675.00
53,нбЛ,5724458.00
53,оп,9933.87
53,ноп,5006.80
53,яоп,4927.07
53,тп,0.00
53,нтп,0.00
53,ятп,0.00
53,бп,0.00
53,пп,99338.70
53,99,2.13
55,юПХЯЙ0,922206.00
55,кюР,1561792.00
55,нбЛ,1910929.00
55,оп,0.00
55,ноп,0.00
55,яоп,0.00
55,тп,0.00
55,нтп,0.00
55,ятп,0.00
55,бп,23560.41
