REGN,C1_5
1,1/1/2012
1,1/2/2012
1,1/3/2012
1,1/4/2012
1,1/5/2012
1,1/6/2012
1,1/7/2012
1,1/8/2012
1,1/9/2012
1,1/14/2012
1,1/15/2012
1,1/21/2012
1,1/22/2012
1,1/28/2012
1,1/29/2012
18,1/1/2012
18,1/2/2012
18,1/3/2012
18,1/4/2012
18,1/5/2012
18,1/6/2012
18,1/7/2012
18,1/8/2012
18,1/9/2012
18,1/14/2012
18,1/21/2012
18,1/28/2012
21,1/1/2012
21,1/2/2012
21,1/3/2012
21,1/4/2012
21,1/5/2012
21,1/6/2012
21,1/7/2012
21,1/8/2012
21,1/15/2012
21,1/22/2012
21,1/29/2012
23,1/1/2012
23,1/2/2012
23,1/3/2012
23,1/4/2012
23,1/5/2012
23,1/6/2012
23,1/7/2012
23,1/8/2012
23,1/9/2012
23,1/14/2012
23,1/15/2012
23,1/21/2012
23,1/22/2012
23,1/28/2012
23,1/29/2012
53,1/1/2012
65,1/1/2012
65,1/2/2012
65,1/3/2012
65,1/4/2012
65,1/5/2012
65,1/6/2012
65,1/7/2012
65,1/8/2012
67,1/1/2012
67,1/2/2012
67,1/3/2012
67,1/4/2012
67,1/5/2012
67,1/6/2012
67,1/7/2012
67,1/8/2012
67,1/9/2012
67,1/14/2012
67,1/15/2012
67,1/21/2012
67,1/22/2012
67,1/28/2012
67,1/29/2012
77,1/1/2012
77,1/2/2012
77,1/3/2012
77,1/4/2012
77,1/5/2012
77,1/6/2012
77,1/7/2012
77,1/8/2012
77,1/9/2012
77,1/14/2012
77,1/15/2012
77,1/21/2012
77,1/22/2012
77,1/28/2012
77,1/29/2012
84,1/1/2012
84,1/3/2012
84,1/4/2012
84,1/5/2012
84,1/6/2012
84,1/7/2012
84,1/8/2012
84,1/9/2012
84,1/15/2012
84,1/22/2012
84,1/29/2012
85,1/1/2012
85,1/2/2012
85,1/3/2012
85,1/4/2012
85,1/5/2012
85,1/6/2012
85,1/7/2012
85,1/8/2012
85,1/9/2012
85,1/14/2012
85,1/15/2012
85,1/21/2012
85,1/22/2012
85,1/28/2012
85,1/29/2012
96,1/1/2012
96,1/2/2012
96,1/3/2012
96,1/4/2012
96,1/5/2012
96,1/6/2012
96,1/7/2012
96,1/8/2012
96,1/9/2012
96,1/14/2012
96,1/15/2012
96,1/21/2012
96,1/22/2012
96,1/28/2012
96,1/29/2012
101,1/1/2012
101,1/2/2012
101,1/7/2012
101,1/8/2012
101,1/9/2012
101,1/15/2012
101,1/22/2012
101,1/29/2012
103,1/1/2012
103,1/2/2012
103,1/3/2012
103,1/4/2012
103,1/5/2012
103,1/6/2012
103,1/7/2012
103,1/8/2012
103,1/9/2012
103,1/14/2012
103,1/15/2012
103,1/21/2012
103,1/22/2012
103,1/28/2012
103,1/29/2012
106,1/1/2012
106,1/2/2012
106,1/3/2012
106,1/4/2012
106,1/6/2012
106,1/7/2012
106,1/8/2012
106,1/9/2012
106,1/15/2012
106,1/22/2012
106,1/29/2012
142,1/1/2012
142,1/2/2012
142,1/3/2012
142,1/4/2012
142,1/5/2012
142,1/6/2012
142,1/7/2012
142,1/8/2012
142,1/9/2012
142,1/14/2012
142,1/15/2012
142,1/21/2012
142,1/22/2012
142,1/28/2012
142,1/29/2012
149,1/1/2012
149,1/2/2012
149,1/3/2012
149,1/4/2012
149,1/5/2012
149,1/6/2012
149,1/7/2012
149,1/8/2012
149,1/9/2012
149,1/14/2012
149,1/15/2012
149,1/21/2012
149,1/22/2012
149,1/28/2012
149,1/29/2012
153,1/1/2012
153,1/2/2012
153,1/3/2012
153,1/4/2012
153,1/5/2012
155,1/1/2012
155,1/2/2012
155,1/3/2012
155,1/4/2012
155,1/5/2012
155,1/6/2012
155,1/7/2012
155,1/8/2012
155,1/9/2012
155,1/14/2012
155,1/15/2012
155,1/21/2012
155,1/22/2012
155,1/28/2012
155,1/29/2012
170,1/1/2012
170,1/2/2012
170,1/3/2012
170,1/4/2012
170,1/5/2012
170,1/6/2012
170,1/7/2012
170,1/8/2012
170,1/9/2012
170,1/14/2012
170,1/15/2012
170,1/21/2012
170,1/22/2012
170,1/28/2012
170,1/29/2012
184,1/1/2012
184,1/2/2012
184,1/3/2012
184,1/4/2012
184,1/5/2012
184,1/6/2012
184,1/7/2012
184,1/8/2012
184,1/9/2012
184,1/14/2012
184,1/15/2012
184,1/21/2012
184,1/22/2012
184,1/28/2012
184,1/29/2012
197,1/1/2012
197,1/2/2012
197,1/3/2012
197,1/4/2012
197,1/5/2012
197,1/6/2012
197,1/7/2012
197,1/8/2012
197,1/9/2012
197,1/14/2012
197,1/15/2012
197,1/21/2012
197,1/22/2012
197,1/28/2012
197,1/29/2012
208,1/1/2012
208,1/2/2012
208,1/3/2012
208,1/4/2012
208,1/5/2012
208,1/6/2012
208,1/7/2012
208,1/8/2012
208,1/9/2012
208,1/14/2012
208,1/15/2012
208,1/21/2012
208,1/22/2012
208,1/28/2012
208,1/29/2012
212,1/1/2012
212,1/2/2012
212,1/3/2012
226,1/1/2012
226,1/2/2012
226,1/3/2012
226,1/7/2012
226,1/8/2012
232,1/1/2012
232,1/2/2012
232,1/3/2012
232,1/4/2012
232,1/5/2012
232,1/6/2012
232,1/7/2012
232,1/8/2012
232,1/9/2012
232,1/14/2012
232,1/15/2012
232,1/21/2012
232,1/22/2012
232,1/28/2012
232,1/29/2012
236,1/1/2012
236,1/2/2012
236,1/3/2012
236,1/4/2012
236,1/5/2012
236,1/6/2012
236,1/7/2012
236,1/8/2012
236,1/9/2012
236,1/14/2012
236,1/15/2012
236,1/21/2012
236,1/22/2012
236,1/28/2012
236,1/29/2012
249,1/1/2012
249,1/2/2012
249,1/3/2012
249,1/4/2012
249,1/5/2012
249,1/7/2012
249,1/8/2012
249,1/9/2012
249,1/15/2012
249,1/22/2012
249,1/29/2012
256,1/1/2012
256,1/2/2012
256,1/3/2012
256,1/4/2012
256,1/5/2012
256,1/6/2012
256,1/7/2012
256,1/8/2012
