REGN,C1_2,C2_2
1,Ар,344027101.00
1,Ар1,64734891.00
1,Ар1.1,0.00
1,Ар2,34400482.00
1,Ар3,1275196.00
1,Ар4,308351424.00
1,Ар5,0.00
1,Ариск0,64734891.00
1,К,132571896.00
1,Кф,1.00
1,Кинс,0.00
1,Крас,0.00
1,Крд,278883647.00
1,Крис,195895.00
1,КРС,18823773.00
1,КРВ,99725200.00
1,Кскр,135552700.00
1,Лам,111968145.00
1,Лат,235936392.00
1,ОД,168423822.00
1,ОР,4951625.00
1,ОВм,121553695.00
1,ОВт,323499732.00
1,ПК,365648016.00
1,ПКр,3619528.00
1,И,3.00
1,Приз,3.00
1,РР,30849934.00
1,ПР,1944683.24
1,ОПР,1785709.54
1,СПР,158973.70
1,ФР,0.00
1,ОФР,0.00
1,СФР,0.00
1,ВР,6541393.45
2,Ар,387573.00
2,Ар1,69900.00
2,Ар2,10762.00
2,Ар3,0.00
2,Ар4,376811.00
2,Ар5,0.00
2,Ариск0,69900.00
2,К,719879.00
2,Кф,0.69
2,Кинс,0.00
2,Крас,719.00
2,Крд,682569.00
2,Крис,1210.00
2,КРВ,16964.00
2,Кскр,1253054.00
2,Лам,125681.00
2,Лат,263686.00
2,ОД,7224.00
2,ОР,27697.00
2,ОВм,382190.00
2,ОВт,393848.00
2,ПК,1322022.00
2,ПКр,2090.00
2,РР,51356.00
2,ПР,0.00
2,ОПР,0.00
2,СПР,0.00
2,ФР,0.00
2,ОФР,0.00
2,СФР,0.00
2,ВР,51355.98
5,Ар,6009911.00
5,Ар1,1690730.00
5,Ар1.1,0.00
5,Ар2,122152.00
5,Ар3,0.00
5,Ар4,5887759.00
5,Ар5,0.00
5,Ариск0,1690730.00
5,К,1041485.00
5,Кф,0.85
5,Кинс,0.00
5,Крас,10217.00
5,Крд,1816588.00
5,Крис,17768.00
5,КРС,4216.00
5,КРВ,62370.00
5,Кскр,3001071.00
5,Лам,1082031.00
5,Лат,1982745.00
5,ОД,2140674.00
5,ОР,76777.00
5,ОВм,2779954.00
5,ОВт,3171237.00
5,ПК,816268.00
5,ПКр,656557.00
5,РР,372136.00
5,ПР,23862.05
5,ОПР,12148.22
5,СПР,11713.83
5,ФР,0.00
5,ОФР,0.00
5,СФР,0.00
5,ВР,73859.87
18,Ар,8485300.00
18,Ар1,2551900.00
18,Ар1.1,0.00
18,Ар2,306572.00
18,Ар3,0.00
18,Ар4,8178728.00
18,Ар5,0.00
18,Ариск0,2551900.00
18,К,3168332.00
18,Кф,1.13
18,Кинс,0.00
18,Крас,0.00
18,Крд,2641396.00
18,Крис,75331.00
18,КРС,0.00
18,КРВ,374876.00
18,Кскр,3782976.00
18,Лам,2219338.00
18,Лат,3532652.00
18,ОД,2558041.00
18,ОР,183112.00
18,ОВм,2491465.00
18,ОВт,4950322.00
18,ПК,13896501.00
18,ПКр,26744.00
18,РР,1251090.00
18,ПР,94501.00
18,ОПР,34162.00
18,СПР,60339.00
18,ФР,0.00
18,ОФР,0.00
18,СФР,0.00
18,ВР,69827.62
21,Ар,360690.00
21,Ар1,239526.00
21,Ар2,72589.00
21,Ар3,0.00
21,Ар4,288101.00
21,Ар5,0.00
21,Ариск0,239526.00
21,К,247113.00
21,Кф,0.81
21,Кинс,0.00
21,Крас,0.00
21,Крд,385439.00
21,Крис,5439.00
21,КРС,0.00
21,КРВ,8031.00
21,Кскр,567278.00
21,Лам,474981.00
21,Лат,683960.00
