REGN,C1_3,C2_3,C3_3
1,Í1,12.41,
1,Í2,99.07,
1,Í3,69.95,
1,Í4,85.27,
1,Í7,195.01,
1,Í9.1,0.00,
1,Ò1,1289.00,
1,Ò2,105.00,
1,Í10.1,0.21,
1,Í12,15.12,
1,Í17,74.17,
1,Í18,105.48,
1,Í19,0.00,
2,Í1,38.10,
2,Í2,23.88,
2,Í3,63.69,
2,Í4,85.59,
2,Í7,160.50,
2,Í9.1,0.10,
2,Í10.1,0.05,
2,Í12,0.00,
5,Í1,12.16,
5,Í2,67.13,
5,Í3,81.28,
5,Í4,62.79,
5,Í7,304.70,
5,Í9.1,1.34,
5,Í10.1,1.95,
5,Í12,0.00,
18,Í1,11.42,
18,Í2,75.05,
18,Í3,57.13,
18,Í4,59.32,
18,Í7,301.30,
18,Í9.1,0.00,
18,Í10.1,1.55,
18,Í12,0.00,
21,Í1,21.28,
21,Í2,73.76,
21,Í3,92.68,
21,Í4,97.24,
21,Í7,217.40,
21,Í9.1,0.00,
21,Í10.1,2.37,
21,Í12,0.00,
23,Í1,13.26,
23,Í2,34.63,
23,Í3,129.04,
23,Í4,47.91,
23,Í7,548.03,
23,Í9.1,0.01,
23,Í10.1,0.72,
23,Í12,5.81,
52,Í1,11.16,
52,Í2,54.30,
52,Í3,63.65,
52,Í4,92.06,
52,Í7,429.28,
52,Í9.1,0.04,
52,Í10.1,1.51,
52,Í12,0.00,
53,Í1,11.97,
53,Í2,49.59,
53,Í3,85.67,
53,Í4,58.76,
53,Í7,538.11,
53,Í9.1,0.04,
53,Í10.1,1.18,
53,Í12,0.00,
55,Í1,14.91,
55,Í2,56.39,
55,Í3,70.10,
55,Í4,82.82,
55,Í7,299.55,
55,Í9.1,4.49,
55,Í10.1,0.40,
55,Í12,0.00,
65,Í1,13.30,
65,Í2,43.69,
65,Í3,73.96,
65,Í4,64.52,
65,Í7,285.99,
65,Í9.1,0.00,
65,Í10.1,1.95,
65,Í12,0.00,
67,Í1,22.00,
67,Í2,28.03,
67,Í3,58.56,
67,Í4,113.31,
67,Í7,231.93,
67,Í9.1,0.00,
67,Í10.1,0.32,
67,Í12,0.00,
77,Í1,11.32,
77,Í2,42.60,
77,Í3,58.50,
77,Í4,94.50,
77,Í7,529.04,
77,Í9.1,0.00,
77,Í10.1,0.52,
77,Í12,0.51,
84,Í1,12.53,
84,Í2,53.75,
84,Í3,62.40,
84,Í4,84.56,
84,Í7,68.22,
84,Í9.1,3.77,
84,Í10.1,1.52,
84,Í12,0.00,
85,Í1,18.05,
85,Í2,41.47,
85,Í3,138.77,
85,Í4,50.69,
85,Í7,280.03,
85,Í9.1,0.00,
85,Í10.1,2.21,
85,Í12,0.00,
96,Í1,21.29,
96,Í2,90.10,
96,Í3,138.70,
96,Í4,45.74,
96,Í7,282.51,
96,Í9.1,0.00,
96,Í10.1,2.15,
96,Í12,0.00,
101,Í1,22.24,
101,Í2,53.14,
101,Í3,50.50,
101,Í4,2.06,
101,Í7,309.40,
101,Í9.1,1.98,
101,Í10.1,0.63,
