REGN,C1_1,C2_1
1,8801,2488293
1,8808,153109148
1,8809,164003988
1,8810,99374257
1,8811,17189643
1,8812,33752917
1,8813,147851299
1,8814,218053575
1,8817,23570266
1,8818,34894681
1,8821,483029
1,8822,680726
1,8825,4707
1,8826,7061
1,8827,64235
1,8828,96352
1,8829,347131
1,8830,513497
1,8831,8994724
1,8832,8702100
1,8833,569832
1,8834,812255
1,8846,173412
1,8847,30905
1,8853,974286
1,8854,41295607
1,8855,29820
1,8856,84253381
1,8857,74782492
1,8858,3624424
1,8859,3316766
1,8860,78019
1,8861,5956
1,8863,19658
1,8865,38137
1,8902,2751177
1,8904,179599
1,8909,153778
1,8910,36598514
1,8911,99232
1,8912,7583314
1,8914,40674586
1,8918,168421212
1,8919,7576895
1,8921,7583100
1,8922,103916012
1,8925,188919
1,8928,158856
1,8930,161860721
1,8933,65471
1,8934,222769
1,8935,5549082
1,8937,620
1,8938,2652192
1,8939,620
1,8941,2322799
1,8942,4951625
1,8945,38789898
1,8950,620863
1,8951,5056164
1,8953,95539606
1,8956,191033
1,8957,245595
1,8959,1571244
1,8960,332628
1,8962,7693690
1,8964,15343451
1,8972,4582857
1,8973,436058
1,8974,1573752
1,8976,2759839
1,8978,71901096
1,8981,69370
1,8987,29975329
1,8989,107980138
1,8991,45793638
1,8992,4927
1,8993,305224
1,8994,64877
1,8995,112763
1,8996,276128719
1,8998,123033076
2,8810,15223
2,8812,21895
2,8813,1017495
2,8814,1140015
2,8821,62903
2,8822,74205
2,8827,339
2,8828,407
2,8831,34136
2,8832,40730
2,8833,82000
2,8834,123000
2,8846,6330
2,8847,1266
2,8855,708972
2,8856,39158
2,8857,733939
2,8858,2117
2,8862,3133
2,8909,6330
2,8910,46301
2,8912,38427
2,8914,880
2,8918,5156
2,8921,38427
2,8925,1225
2,8926,698
2,8942,27697
2,8945,10000
2,8953,3073
2,8956,1006687
2,8957,1059880
2,8962,48855
2,8964,6959
2,8989,138400
2,8991,14865
2,8994,244
2,8996,798262
2,8998,1282126
5,8801,135907
5,8808,98584
5,8809,108077
5,8810,60828
5,8812,340587
5,8813,120433
5,8814,178299
5,8821,28186
5,8822,42081
5,8827,316062
5,8828,474093
5,8829,13749
5,8830,16499
5,8831,10664
5,8832,13988
5,8846,12294
5,8847,2459
5,8848,10996
5,8854,823664
5,8855,14212
5,8857,11005
5,8858,532613
5,8859,490180
5,8860,63087
5,8861,15745
5,8862,2148
5,8863,14
5,8864,24
5,8901,157516
5,8910,1017887
5,8912,349466
5,8914,823753
5,8916,238
5,8918,2133297
5,8921,245988
5,8925,18467
5,8926,10168
5,8928,14800
5,8933,128756
5,8941,13823
5,8942,76777
5,8945,931074
5,8953,809321
5,8956,22353
5,8957,28872
5,8962,93983
5,8964,11682
5,8972,157516
5,8989,472385
5,8991,227126
5,8994,1204
5,8996,1796526
5,8998,2640540
18,8801,207866
18,8810,377636
18,8812,1355606
18,8813,842194
18,8814,1253168
18,8815,32182
18,8821,313454
18,8822,319553
18,8823,8311924
18,8824,12467886
18,8829,3674
18,8830,5511
18,8831,7838
18,8832,10994
18,8851,7565
18,8852,75650
18,8853,291110
18,8854,476030
18,8855,93887
18,8857,72950
18,8858,18115
18,8859,19926
18,8902,307547
18,8909,68784
18,8910,1270659
18,8912,351051
18,8913,46003
18,8914,163
18,8918,2677975
18,8919,7771
18,8920,7771
