REGN,C1_3,C2_3,C3_3,C4_3
1,Í1,14.13,,
1,Í2,79.67,,
1,Í3,73.28,,
1,Í4,83.97,,
1,Í7,108.00,,
1,Í9.1,0.00,,
1,Í10.1,0.15,,
1,Í12,5.98,,
1,Í18,114.14,,
2,Í1,29.69,,
2,Í2,32.20,,
2,Í3,61.29,,
2,Í4,110.81,,
2,Í7,181.15,,
2,Í9.1,0.10,,
2,Í10.1,0.17,,
2,Í12,0.00,,
5,Í1,12.57,,
5,Í2,41.61,,
5,Í3,88.81,,
5,Í4,53.31,,
5,Í7,249.04,,
5,Í9.1,0.88,,
5,Í10.1,1.16,,
5,Í12,0.00,,
18,Í1,12.21,,
18,Í2,64.44,,
18,Í3,76.23,,
18,Í4,45.24,,
18,Í7,136.90,,
18,Í9.1,0.00,,
18,Í10.1,2.33,,
18,Í12,0.00,,
21,Í1,21.09,,
21,Í2,77.26,,
21,Í3,103.12,,
21,Í4,102.61,,
21,Í7,132.30,,
21,Í9.1,0.00,,
21,Í10.1,2.12,,
21,Í12,0.00,,
23,Í1,12.21,,
23,Í2,48.03,,
23,Í3,72.31,,
23,Í4,74.88,,
23,Í7,513.83,,
23,Í9.1,2.91,,
23,Í10.1,1.12,,
23,Í12,5.04,,
52,Í1,13.43,,
52,Í2,85.87,,
52,Í3,92.46,,
52,Í4,47.70,,
52,Í7,316.62,,
52,Í9.1,0.07,,
52,Í10.1,0.69,,
52,Í12,0.00,,
53,Í1,12.47,,
53,Í2,47.40,,
53,Í3,63.77,,
53,Í4,54.13,,
53,Í7,496.06,,
53,Í9.1,0.00,,
53,Í10.1,0.56,,
53,Í12,0.00,,
55,Í1,12.21,,
55,Í2,70.66,,
55,Í3,87.40,,
55,Í4,24.13,,
55,Í7,305.27,,
55,Í9.1,0.01,,
55,Í10.1,0.25,,
55,Í12,0.00,,
65,Í1,11.46,,
65,Í2,39.55,,
65,Í3,78.74,,
65,Í4,79.42,,
65,Í7,209.04,,
65,Í9.1,0.00,,
65,Í10.1,2.06,,
65,Í12,0.00,,
67,Í1,22.72,,
67,Í2,30.51,,
67,Í3,60.42,,
67,Í4,107.30,,
67,Í7,206.96,,
67,Í9.1,0.31,,
67,Í10.1,0.32,,
67,Í12,0.00,,
77,Í1,13.10,,
77,Í2,40.76,,
77,Í3,68.62,,
77,Í4,68.12,,
77,Í7,446.78,,
77,Í9.1,0.00,,
77,Í10.1,0.39,,
77,Í12,0.00,,
85,Í1,15.38,,
85,Í2,75.86,,
85,Í3,102.19,,
85,Í4,78.87,,
85,Í7,298.67,,
85,Í9.1,0.00,,
85,Í10.1,1.91,,
85,Í12,0.00,,
96,Í1,23.00,,
96,Í2,124.82,,
96,Í3,161.79,,
96,Í4,37.53,,
96,Í7,202.02,,
96,Í9.1,0.00,,
96,Í10.1,2.27,,
96,Í12,0.00,,
101,Í1,16.27,,
101,Í2,59.91,,
101,Í3,90.36,,
101,Í4,9.41,,
101,Í7,450.29,,
101,Í9.1,7.89,,
101,Í10.1,0.58,,
101,Í12,0.00,,
103,Í1,23.49,,
103,Í2,68.04,,
103,Í3,74.88,,
103,Í4,47.35,,
103,Í7,209.82,,
103,Í9.1,0.00,,
103,Í10.1,2.25,,
103,Í12,0.00,,
106,Í1,27.92,,
106,Í2,41.43,,
106,Í3,84.57,,
106,Í4,46.27,,
106,Í7,208.88,,
106,Í10.1,0.99,,
107,Í1,11.00,,
107,Í2,27.71,,
107,Í3,57.54,,
107,Í4,107.21,,
107,Í7,251.66,,
107,Í9.1,4.93,,
107,Í10.1,0.16,,
107,Í12,0.98,,
121,Í1,24.71,,
121,Í2,96.36,,
121,Í3,79.22,,
121,Í4,10.21,,
121,Í7,134.46,,
121,Í9.1,9.54,,
121,Í10.1,0.04,,
121,Í12,0.00,,
138,Í1,10.91,,
138,Í2,76.86,,
138,Í3,136.90,,
138,Í4,29.81,,
138,Í7,268.83,,
138,Í9.1,0.00,,
138,Í10.1,0.44,,
138,Í12,0.00,,
142,Í1,59.74,,
142,Í2,83.33,,
142,Í3,98.71,,
142,Í4,40.20,,
142,Í7,86.42,,
142,Í9.1,0.57,,
142,Í10.1,2.24,,
142,Í12,0.00,,
149,Í1,73.79,,
149,Í2,171.51,,
149,Í3,181.92,,
149,Í4,50.62,,
149,Í7,22.56,,
149,Í9.1,0.00,,
149,Í10.1,0.00,,
149,Í12,0.00,,
153,Í1,20.50,,
153,Í2,142.86,,
153,Í3,177.97,,
153,Í4,47.70,,
153,Í7,127.46,,
153,Í9.1,0.13,,
153,Í10.1,0.52,,
153,Í12,0.00,,
155,Í1,25.83,,
155,Í2,18.15,,
155,Í3,216.42,,
155,Í4,10.79,,
155,Í7,50.40,,
155,Í9.1,0.00,,
155,Í10.1,0.00,,
155,Í12,0.00,,
170,Í1,461.37,,
170,Í2,142008.42,,
170,Í3,1215.43,,
170,Í4,0.00,,
170,Í7,16.81,,
170,Í9.1,0.00,,
170,Í10.1,0.00,,
170,Í12,0.00,,
184,Í1,73.65,,
184,Í2,93.82,,
184,Í3,94.01,,
184,Í4,69.57,,
184,Í7,68.89,,
184,Í9.1,0.00,,
184,Í10.1,0.00,,
184,Í12,0.02,,
197,Í1,11.88,,
197,Í2,34.57,,
197,Í3,70.75,,
197,Í4,56.22,,
197,Í7,482.13,,
197,Í9.1,0.11,,
197,Í10.1,0.43,,
197,Í12,0.01,,
208,Í1,22.99,,
208,Í2,21.47,,
208,Í3,52.17,,
208,Í4,51.04,,
208,Í7,114.30,,
208,Í9.1,18.85,,
208,Í10.1,0.74,,
208,Í12,0.00,,
210,Í1,12.66,,
210,Í2,25.38,,
210,Í3,56.53,,
210,Í4,49.37,,
210,Í7,455.92,,
210,Í9.1,1.84,,
210,Í10.1,2.29,,
210,Í12,0.00,,
