REGN,C1_3,C2_3,C3_3
1,Í1,12.26,
1,Í2,56.72,
1,Í3,73.29,
1,Í4,92.33,
1,Í7,186.08,
1,Í9.1,0.00,
1,Ò1,1262.00,
1,Ò2,101.00,
1,Í10.1,0.20,
1,Í12,12.70,
1,Í17,68.29,
1,Í18,100.89,
1,Í19,0.00,
2,Í1,37.27,
2,Í2,32.23,
2,Í3,66.17,
2,Í4,82.69,
2,Í7,156.96,
2,Í9.1,0.10,
2,Í10.1,0.05,
2,Í12,0.00,
5,Í1,12.42,
5,Í2,61.90,
5,Í3,106.55,
5,Í4,71.24,
5,Í7,319.28,
5,Í9.1,1.26,
5,Í10.1,1.95,
5,Í12,0.00,
18,Í1,11.65,
18,Í2,76.50,
18,Í3,98.61,
18,Í4,59.44,
18,Í7,272.07,
18,Í9.1,0.00,
18,Í10.1,1.61,
18,Í12,0.00,
21,Í1,22.32,
21,Í2,72.68,
21,Í3,95.35,
21,Í4,72.45,
21,Í7,225.71,
21,Í9.1,0.00,
21,Í10.1,2.63,
21,Í12,0.00,
23,Í1,13.13,
23,Í2,33.17,
23,Í3,99.27,
23,Í4,51.79,
23,Í7,544.66,
23,Í9.1,0.00,
23,Í10.1,0.72,
23,Í12,5.68,
52,Í1,11.54,
52,Í2,59.02,
52,Í3,65.86,
52,Í4,98.07,
52,Í7,375.56,
52,Í9.1,0.04,
52,Í10.1,1.43,
52,Í12,0.00,
53,Í1,11.29,
53,Í2,47.21,
53,Í3,62.28,
53,Í4,100.43,
53,Í7,583.21,
53,Í9.1,0.08,
53,Í10.1,0.89,
53,Í12,0.00,
55,Í1,13.37,
55,Í2,51.14,
55,Í3,54.66,
55,Í4,74.56,
55,Í7,378.18,
55,Í9.1,2.04,
55,Í10.1,0.58,
55,Í12,0.00,
65,Í1,12.21,
65,Í2,39.52,
65,Í3,79.85,
65,Í4,74.87,
65,Í7,285.23,
65,Í9.1,0.00,
65,Í10.1,2.40,
65,Í12,0.00,
67,Í1,22.58,
67,Í2,25.56,
67,Í3,52.11,
67,Í4,109.87,
67,Í7,236.22,
67,Í9.1,4.28,
67,Í10.1,0.39,
67,Í12,0.00,
77,Í1,12.26,
77,Í2,30.85,
77,Í3,60.43,
77,Í4,98.14,
77,Í7,478.83,
77,Í9.1,0.00,
77,Í10.1,0.43,
77,Í12,0.40,
84,Í1,11.95,
84,Í2,47.82,
84,Í3,63.24,
84,Í4,83.63,
84,Í7,76.20,
84,Í9.1,3.76,
84,Í10.1,1.65,
84,Í12,0.00,
85,Í1,15.35,
85,Í2,51.10,
85,Í3,97.80,
85,Í4,61.12,
85,Í7,350.58,
85,Í9.1,0.00,
85,Í10.1,1.39,
85,Í12,0.00,
96,Í1,21.03,
96,Í2,62.36,
96,Í3,163.50,
96,Í4,39.39,
96,Í7,277.75,
96,Í9.1,0.00,
96,Í10.1,1.89,
96,Í12,0.00,
101,Í1,26.82,
101,Í2,52.66,
101,Í3,74.99,
101,Í4,2.88,
101,Í7,296.42,
101,Í9.1,9.08,
101,Í10.1,0.74,
101,Í12,0.00,
103,Í1,32.35,
103,Í2,37.57,
103,Í3,111.02,
103,Í4,39.00,
103,Í7,178.66,
103,Í9.1,0.00,
103,Í10.1,0.32,
103,Í12,0.00,
106,Í1,27.42,
106,Í2,58.98,
106,Í3,68.49,
106,Í4,39.00,
106,Í7,248.50,
106,Í9.1,1.18,
106,Í10.1,1.18,
107,Í1,11.31,
107,Í2,30.85,
107,Í3,61.84,
107,Í4,65.60,
107,Í7,403.68,
107,Í9.1,8.78,
107,Í10.1,0.32,
107,Í12,1.52,
121,Í1,31.91,
121,Í2,120.25,
121,Í3,91.37,
121,Í4,17.09,
121,Í7,113.60,
121,Í9.1,12.75,
121,Í10.1,0.09,
121,Í12,0.18,
138,Í1,11.18,
138,Í2,40.11,
138,Í3,64.29,
138,Í4,82.63,
138,Í7,288.96,
138,Í9.1,0.00,
138,Í10.1,0.70,
138,Í12,0.00,
142,Í1,64.74,
142,Í2,66.15,
142,Í3,105.08,
142,Í4,95.13,
142,Í7,79.14,
142,Í9.1,1.74,
142,Í10.1,2.52,
142,Í12,0.00,
149,Í1,95.60,
149,Í2,106.72,
149,Í3,295.59,
149,Í4,42.48,
149,Í7,6.44,
149,Í9.1,0.00,
149,Í10.1,0.00,
149,Í12,0.00,
153,Í1,14.64,
153,Í2,105.32,
153,Í3,133.18,
153,Í4,49.78,
153,Í7,337.18,
153,Í9.1,0.00,
153,Í10.1,1.78,
153,Í12,0.00,
155,Í1,28.69,
155,Í2,23.51,
155,Í3,131.12,
155,Í4,10.27,
155,Í7,104.50,
155,Í9.1,0.00,
155,Í10.1,0.00,
155,Í12,0.00,
170,Í1,152.45,
170,Í2,865.74,
170,Í3,842.06,
170,Í4,0.00,
170,Í7,32.26,
170,Í9.1,32.26,
170,Í10.1,0.00,
170,Í12,0.00,
184,Í1,66.21,
184,Í2,251.95,
184,Í3,299.43,
184,Í4,6.91,
184,Í7,73.22,
184,Í9.1,0.00,
184,Í10.1,0.00,
184,Í12,0.01,
197,Í1,12.28,
197,Í2,30.95,
197,Í3,58.90,
197,Í4,37.49,
197,Í7,470.70,
197,Í9.1,0.06,
197,Í10.1,0.93,
197,Í12,0.01,
208,Í1,37.49,
208,Í2,64.59,
208,Í3,81.00,
208,Í4,46.62,
208,Í7,113.76,
208,Í9.1,0.00,
208,Í10.1,0.76,
208,Í12,0.00,
210,Í1,14.42,
210,Í2,37.73,
210,Í3,92.74,
210,Í4,63.96,
210,Í7,363.99,
210,Í9.1,0.14,
210,Í10.1,1.66,
210,Í12,0.00,
212,Í1,11.05,
212,Í2,106.79,
212,Í3,116.28,
212,Í4,38.95,
212,Í7,545.65,
212,Í9.1,0.13,
212,Í10.1,0.40,
212,Í12,0.00,
226,Í1,10.20,
226,Í2,84.12,
226,Í3,57.60,
226,Í4,91.36,
226,Í7,505.85,
226,Í9.1,0.10,
226,Í10.1,0.21,
226,Í12,0.00,
232,Í1,12.76,
232,Í2,49.23,
232,Í3,75.72,
232,Í4,91.02,
232,Í7,403.42,
232,Í9.1,0.00,
232,Í10.1,1.98,
232,Í12,0.00,
236,Í1,53.62,
236,Í2,52.85,
236,Í3,71.68,
236,Í4,50.57,
236,Í7,82.04,
236,Í9.1,2.44,
236,Í10.1,2.51,
236,Í12,0.00,
249,Í1,14.19,
249,Í2,71.76,
249,Í3,119.06,
249,Í4,80.63,
249,Í7,215.13,
249,Í9.1,3.60,
249,Í10.1,1.26,
249,Í12,3.60,
254,Í1,13.68,
254,Í2,30.17,
254,Í3,85.74,
254,Í4,68.59,
254,Í7,247.51,
254,Í9.1,0.00,
254,Í10.1,1.68,
254,Í12,0.00,
256,Í1,21.47,
256,Í2,61.08,
256,Í3,100.37,
256,Í4,89.44,
256,Í7,344.44,
256,Í9.1,0.00,
256,Í10.1,0.68,
256,Í12,0.00,
272,Í1,30.24,
272,Í2,135.43,
272,Í3,108.67,
272,Í4,0.00,
272,Í7,181.54,
272,Í9.1,0.00,
272,Í10.1,1.15,
272,Í12,0.00,
282,Í1,11.24,
282,Í2,67.14,
282,Í3,74.28,
282,Í4,71.70,
282,Í7,374.86,
282,Í9.1,1.13,
