REGN,C1_3,C2_3,C3_3,C4_3
1,Í1.0,13.34,,
1,Í1.1,9.87,,
1,Í1.2,9.87,,
1,Í2,91.21,,
1,Í3,168.56,,
1,Í4,70.81,,
1,Í7,243.07,,
1,Í9.1,0.00,,
1,Í10.1,0.16,,
1,Í12,0.29,,
1,Í18,104.94,,
2,Í1.0,28.96,,
2,Í1.1,24.68,,
2,Í1.2,24.68,,
2,Í2,57.80,,
2,Í3,91.38,,
2,Í4,3.31,,
2,Í7,87.53,,
2,Í9.1,0.70,,
2,Í10.1,0.71,,
2,Í12,0.00,,
5,Í1.0,10.84,,
5,Í1.1,7.78,,
5,Í1.2,7.78,,
5,Í2,44.37,,
5,Í3,96.33,,
5,Í4,88.96,,
5,Í7,416.05,,
5,Í9.1,1.23,,
5,Í10.1,1.86,,
5,Í12,0.00,,
21,Í1.0,32.26,,
21,Í1.1,26.58,,
21,Í1.2,26.58,,
21,Í2,122.88,,
21,Í3,131.10,,
21,Í4,42.83,,
21,Í7,90.17,,
21,Í9.1,5.45,,
21,Í10.1,2.06,,
21,Í12,0.00,,
52,Í1.0,15.25,,
52,Í1.1,10.52,,
52,Í1.2,10.52,,
52,Í2,88.84,,
52,Í3,97.13,,
52,Í4,65.80,,
52,Í7,279.89,,
52,Í9.1,0.15,,
52,Í10.1,0.83,,
52,Í12,0.00,,
53,Í1.0,14.16,,
53,Í1.1,9.02,,
53,Í1.2,9.02,,
53,Í2,60.13,,
53,Í3,62.94,,
53,Í4,45.65,,
53,Í7,300.53,,
53,Í9.1,0.00,,
53,Í10.1,0.38,,
53,Í12,0.00,,
55,Í1.0,10.62,,
55,Í1.1,6.61,,
55,Í1.2,6.61,,
55,Í2,117.68,,
55,Í3,91.72,,
55,Í4,56.79,,
55,Í7,419.53,,
55,Í9.1,0.00,,
55,Í10.1,0.36,,
55,Í12,0.00,,
65,Í1.0,14.62,,
65,Í1.1,6.53,,
65,Í1.2,6.53,,
65,Í2,49.09,,
65,Í3,128.34,,
65,Í4,52.77,,
65,Í7,250.21,,
65,Í9.1,0.00,,
65,Í10.1,1.10,,
65,Í12,0.00,,
67,Í1.0,21.62,,
67,Í1.1,16.93,,
67,Í1.2,16.93,,
67,Í2,118.02,,
67,Í3,101.36,,
67,Í4,83.11,,
67,Í7,143.36,,
67,Í9.1,0.72,,
67,Í10.1,0.43,,
67,Í12,0.00,,
77,Í1.0,14.51,,
77,Í1.1,7.52,,
77,Í1.2,7.52,,
77,Í2,57.30,,
77,Í3,104.71,,
77,Í4,50.25,,
77,Í7,395.32,,
77,Í9.1,0.00,,
77,Í10.1,0.26,,
77,Í12,0.00,,
85,Í1.0,23.94,,
85,Í1.1,14.97,,
85,Í1.2,14.97,,
85,Í2,432.75,,
85,Í3,218.66,,
85,Í4,57.20,,
85,Í7,192.35,,
85,Í9.1,0.00,,
85,Í10.1,2.22,,
85,Í12,0.00,,
96,Í1.0,22.40,,
96,Í1.1,22.01,,
96,Í1.2,22.01,,
96,Í2,130.24,,
96,Í3,131.43,,
96,Í4,79.46,,
96,Í7,222.11,,
96,Í9.1,0.00,,
96,Í10.1,1.02,,
96,Í12,0.00,,
101,Í1.0,12.99,,
101,Í1.1,11.92,,
101,Í1.2,11.92,,
101,Í2,121.62,,
101,Í3,135.76,,
101,Í4,3.20,,
101,Í7,202.46,,
101,Í9.1,7.19,,
101,Í10.1,1.13,,
101,Í12,0.00,,
103,Í1.0,25.39,,
103,Í1.1,24.39,,
103,Í1.2,24.39,,
103,Í2,205.90,,
103,Í3,220.76,,
103,Í4,38.33,,
103,Í7,100.93,,
103,Í9.1,0.00,,
103,Í10.1,2.02,,
103,Í12,0.00,,
106,Í1.0,29.02,,
106,Í1.1,26.08,,
106,Í1.2,26.08,,
106,Í2,85.12,,
106,Í3,112.04,,
106,Í4,43.38,,
106,Í7,182.46,,
106,Í9.1,0.57,,
106,Í10.1,1.37,,
121,Í1.0,28.56,,
121,Í1.1,24.83,,
121,Í1.2,24.83,,
121,Í2,168.69,,
121,Í3,150.00,,
121,Í4,9.28,,
121,Í7,71.56,,
121,Í9.1,0.00,,
121,Í10.1,0.11,,
121,Í12,0.00,,
138,Í1.0,10.29,,
138,Í1.1,7.09,,
138,Í1.2,7.09,,
138,Í2,92.29,,
138,Í3,120.93,,
138,Í4,35.51,,
138,Í7,489.52,,
138,Í9.1,13.53,,
138,Í10.1,0.18,,
149,Í1.0,104.23,,
149,Í10.1,0.00,,
149,Í12,0.00,,
149,Í15,290.64,,
149,Í16.1,62.63,,
149,Í16.2,0.00,,
153,Í1.0,49.88,,
153,Í1.1,40.66,,
153,Í1.2,40.75,,
153,Í2,137.27,,
153,Í3,118.89,,
153,Í4,12.47,,
153,Í7,0.00,,
