REGN,C1_5
469,3/27/2011
474,3/6/2011
474,3/7/2011
474,3/8/2011
474,3/13/2011
474,3/20/2011
474,3/27/2011
478,3/5/2011
478,3/6/2011
478,3/8/2011
478,3/12/2011
478,3/13/2011
478,3/19/2011
478,3/20/2011
478,3/26/2011
478,3/27/2011
480,3/6/2011
480,3/7/2011
480,3/8/2011
480,3/12/2011
480,3/13/2011
480,3/19/2011
480,3/20/2011
480,3/26/2011
480,3/27/2011
481,3/6/2011
481,3/7/2011
481,3/8/2011
481,3/12/2011
481,3/13/2011
481,3/19/2011
481,3/20/2011
481,3/26/2011
481,3/27/2011
485,3/8/2011
503,3/8/2011
507,3/6/2011
507,3/7/2011
507,3/8/2011
507,3/12/2011
507,3/13/2011
507,3/19/2011
507,3/20/2011
507,3/26/2011
507,3/27/2011
514,3/6/2011
514,3/7/2011
514,3/8/2011
514,3/12/2011
514,3/13/2011
514,3/19/2011
514,3/20/2011
514,3/26/2011
514,3/27/2011
518,3/6/2011
518,3/7/2011
518,3/8/2011
518,3/12/2011
518,3/13/2011
518,3/19/2011
518,3/20/2011
518,3/26/2011
518,3/27/2011
520,3/6/2011
520,3/7/2011
520,3/8/2011
520,3/12/2011
520,3/13/2011
520,3/19/2011
520,3/20/2011
520,3/26/2011
520,3/27/2011
524,3/6/2011
524,3/7/2011
524,3/8/2011
524,3/12/2011
524,3/13/2011
524,3/19/2011
524,3/20/2011
524,3/26/2011
524,3/27/2011
531,3/6/2011
531,3/7/2011
531,3/8/2011
531,3/12/2011
531,3/13/2011
531,3/19/2011
531,3/20/2011
531,3/26/2011
531,3/27/2011
533,3/6/2011
533,3/7/2011
533,3/8/2011
533,3/12/2011
533,3/13/2011
533,3/19/2011
533,3/20/2011
533,3/26/2011
533,3/27/2011
537,3/8/2011
538,3/6/2011
538,3/7/2011
538,3/8/2011
538,3/13/2011
538,3/20/2011
538,3/27/2011
539,3/8/2011
539,3/13/2011
539,3/20/2011
539,3/27/2011
543,3/6/2011
543,3/7/2011
543,3/8/2011
543,3/12/2011
543,3/13/2011
543,3/19/2011
543,3/20/2011
543,3/26/2011
543,3/27/2011
545,3/6/2011
545,3/7/2011
545,3/8/2011
545,3/12/2011
545,3/13/2011
545,3/19/2011
545,3/20/2011
545,3/26/2011
545,3/27/2011
546,3/6/2011
546,3/13/2011
546,3/20/2011
546,3/27/2011
548,3/6/2011
548,3/7/2011
548,3/8/2011
548,3/12/2011
548,3/13/2011
548,3/19/2011
548,3/20/2011
548,3/26/2011
548,3/27/2011
554,3/7/2011
554,3/8/2011
554,3/13/2011
554,3/20/2011
554,3/27/2011
567,3/6/2011
567,3/7/2011
567,3/8/2011
567,3/12/2011
567,3/13/2011
567,3/19/2011
567,3/20/2011
567,3/26/2011
567,3/27/2011
568,3/6/2011
568,3/7/2011
568,3/8/2011
568,3/12/2011
568,3/13/2011
568,3/19/2011
568,3/20/2011
568,3/26/2011
568,3/27/2011
570,3/6/2011
570,3/7/2011
570,3/8/2011
570,3/12/2011
570,3/13/2011
570,3/19/2011
570,3/20/2011
570,3/26/2011
570,3/27/2011
574,3/6/2011
574,3/7/2011
574,3/8/2011
574,3/12/2011
574,3/13/2011
574,3/19/2011
574,3/20/2011
574,3/26/2011
574,3/27/2011
575,3/7/2011
575,3/8/2011
575,3/13/2011
575,3/20/2011
575,3/27/2011
588,3/8/2011
589,3/8/2011
594,3/6/2011
594,3/7/2011
594,3/8/2011
594,3/12/2011
594,3/13/2011
594,3/19/2011
594,3/20/2011
594,3/26/2011
594,3/27/2011
596,3/7/2011
598,3/6/2011
598,3/7/2011
598,3/8/2011
598,3/12/2011
598,3/13/2011
598,3/19/2011
598,3/20/2011
598,3/26/2011
598,3/27/2011
606,3/7/2011
606,3/8/2011
606,3/13/2011
606,3/20/2011
606,3/27/2011
608,3/6/2011
608,3/7/2011
608,3/8/2011
608,3/12/2011
608,3/13/2011
608,3/19/2011
608,3/20/2011
608,3/26/2011
608,3/27/2011
622,3/6/2011
622,3/7/2011
622,3/8/2011
622,3/12/2011
622,3/13/2011
622,3/19/2011
622,3/20/2011
622,3/26/2011
622,3/27/2011
625,3/6/2011
625,3/7/2011
625,3/8/2011
625,3/13/2011
625,3/20/2011
625,3/27/2011
637,3/6/2011
637,3/7/2011
637,3/9/2011
637,3/13/2011
637,3/20/2011
637,3/27/2011
639,3/6/2011
639,3/7/2011
639,3/8/2011
639,3/12/2011
639,3/13/2011
639,3/19/2011
639,3/20/2011
639,3/26/2011
639,3/27/2011
650,3/6/2011
650,3/7/2011
650,3/8/2011
650,3/12/2011
650,3/13/2011
650,3/19/2011
650,3/20/2011
650,3/26/2011
650,3/27/2011
653,3/8/2011
654,3/6/2011
654,3/7/2011
654,3/8/2011
654,3/12/2011
654,3/13/2011
654,3/19/2011
654,3/20/2011
654,3/26/2011
654,3/27/2011
655,3/6/2011
655,3/7/2011
655,3/8/2011
655,3/12/2011
655,3/13/2011
655,3/19/2011
655,3/20/2011
655,3/26/2011
655,3/27/2011
665,3/6/2011
665,3/7/2011
665,3/8/2011
665,3/12/2011
665,3/13/2011
665,3/19/2011
665,3/20/2011
665,3/26/2011
665,3/27/2011
671,3/6/2011
671,3/7/2011
671,3/8/2011
671,3/12/2011
671,3/13/2011
671,3/19/2011
671,3/20/2011
671,3/26/2011
671,3/27/2011
680,3/6/2011
680,3/7/2011
680,3/8/2011
680,3/13/2011
680,3/20/2011
680,3/27/2011
684,3/6/2011
684,3/7/2011
684,3/8/2011
684,3/12/2011
684,3/13/2011
684,3/19/2011
684,3/20/2011
684,3/26/2011
684,3/27/2011
685,3/6/2011
685,3/8/2011
685,3/13/2011
685,3/20/2011
685,3/27/2011
695,3/6/2011
695,3/7/2011
695,3/8/2011
695,3/12/2011
695,3/13/2011
695,3/19/2011
695,3/20/2011
695,3/26/2011
695,3/27/2011
695,3/28/2011
696,3/6/2011
696,3/7/2011
696,3/8/2011
696,3/12/2011
696,3/13/2011
696,3/19/2011
696,3/20/2011
696,3/26/2011
696,3/27/2011
702,3/6/2011
702,3/8/2011
702,3/13/2011
702,3/20/2011
702,3/27/2011
704,3/6/2011
704,3/7/2011
704,3/8/2011
704,3/13/2011
704,3/20/2011
704,3/27/2011
705,3/8/2011
708,3/6/2011
708,3/7/2011
708,3/8/2011
708,3/12/2011
708,3/13/2011
708,3/19/2011
708,3/20/2011
708,3/26/2011
708,3/27/2011
709,3/6/2011
709,3/7/2011
709,3/8/2011
709,3/12/2011
709,3/13/2011
709,3/19/2011
709,3/20/2011
709,3/26/2011
709,3/27/2011
715,3/6/2011
715,3/7/2011
715,3/8/2011
715,3/12/2011
715,3/13/2011
715,3/19/2011
715,3/20/2011
715,3/26/2011
715,3/27/2011
728,3/6/2011
728,3/8/2011
728,3/13/2011
728,3/20/2011
728,3/27/2011
732,3/5/2011
732,3/6/2011
732,3/7/2011
732,3/8/2011
732,3/13/2011
732,3/19/2011
732,3/20/2011
732,3/26/2011
732,3/27/2011
735,3/7/2011
735,3/8/2011
735,3/13/2011
735,3/20/2011
735,3/27/2011
749,3/6/2011
749,3/7/2011
749,3/8/2011
749,3/12/2011
749,3/13/2011
749,3/19/2011
749,3/20/2011
749,3/26/2011
749,3/27/2011
752,3/6/2011
752,3/7/2011
752,3/8/2011
752,3/12/2011
752,3/13/2011
752,3/19/2011
752,3/20/2011
752,3/26/2011
752,3/27/2011
766,3/7/2011
766,3/8/2011
766,3/13/2011
766,3/20/2011
766,3/27/2011
777,3/8/2011
779,3/7/2011
779,3/8/2011
779,3/13/2011
779,3/20/2011
779,3/27/2011
783,3/6/2011
783,3/8/2011
783,3/13/2011
783,3/20/2011
783,3/27/2011
784,3/6/2011
784,3/7/2011
784,3/8/2011
784,3/13/2011
784,3/20/2011
784,3/27/2011
790,3/6/2011
790,3/7/2011
790,3/8/2011
790,3/13/2011
790,3/20/2011
790,3/27/2011
793,3/6/2011
793,3/7/2011
793,3/8/2011
793,3/12/2011
793,3/13/2011
793,3/19/2011
793,3/20/2011
793,3/26/2011
793,3/27/2011
804,3/6/2011
804,3/7/2011
804,3/8/2011
804,3/12/2011
804,3/13/2011
804,3/19/2011
804,3/20/2011
804,3/26/2011
804,3/27/2011
812,3/6/2011
812,3/7/2011
812,3/8/2011
812,3/12/2011
812,3/13/2011
812,3/19/2011
812,3/20/2011
812,3/26/2011
812,3/27/2011
817,3/6/2011
817,3/7/2011
817,3/8/2011
817,3/12/2011
817,3/13/2011
817,3/19/2011
817,3/20/2011
817,3/26/2011
817,3/27/2011
825,3/6/2011
825,3/8/2011
825,3/13/2011
825,3/20/2011
825,3/27/2011
826,3/5/2011
826,3/6/2011
826,3/8/2011
826,3/12/2011
826,3/13/2011
826,3/19/2011
826,3/20/2011
826,3/26/2011
826,3/27/2011
836,3/6/2011
836,3/7/2011
836,3/8/2011
836,3/12/2011
836,3/13/2011
836,3/19/2011
836,3/20/2011
836,3/26/2011
836,3/27/2011
840,3/6/2011
840,3/7/2011
840,3/8/2011
840,3/12/2011
840,3/13/2011
840,3/19/2011
840,3/20/2011
840,3/26/2011
840,3/27/2011
841,3/6/2011
841,3/7/2011
841,3/8/2011
841,3/12/2011
841,3/13/2011
841,3/19/2011
841,3/20/2011
841,3/26/2011
841,3/27/2011
842,3/6/2011
842,3/7/2011
842,3/8/2011
842,3/13/2011
842,3/20/2011
842,3/27/2011
843,3/7/2011
843,3/8/2011
843,3/13/2011
843,3/20/2011
843,3/27/2011
854,3/6/2011
854,3/7/2011
854,3/8/2011
854,3/12/2011
854,3/13/2011
854,3/19/2011
854,3/20/2011
854,3/26/2011
854,3/27/2011
857,3/6/2011
857,3/7/2011
857,3/8/2011
857,3/12/2011
857,3/13/2011
857,3/19/2011
857,3/20/2011
857,3/26/2011
857,3/27/2011
865,3/6/2011
865,3/7/2011
865,3/8/2011
865,3/12/2011
865,3/13/2011
865,3/19/2011
865,3/20/2011
865,3/26/2011
865,3/27/2011
874,3/6/2011
874,3/7/2011
874,3/8/2011
874,3/12/2011
874,3/13/2011
874,3/19/2011
874,3/20/2011
874,3/26/2011
874,3/27/2011
874,3/28/2011
875,3/6/2011
875,3/7/2011
875,3/8/2011
875,3/12/2011
875,3/13/2011
875,3/19/2011
875,3/20/2011
875,3/26/2011
875,3/27/2011
889,3/6/2011
889,3/7/2011
889,3/8/2011
889,3/12/2011
889,3/13/2011
889,3/19/2011
889,3/20/2011
889,3/26/2011
889,3/27/2011
901,3/6/2011
901,3/8/2011
901,3/13/2011
901,3/20/2011
901,3/27/2011
902,3/7/2011
902,3/8/2011
902,3/13/2011
902,3/20/2011
902,3/27/2011
914,3/6/2011
914,3/7/2011
914,3/8/2011
914,3/12/2011
914,3/13/2011
914,3/19/2011
914,3/20/2011
914,3/26/2011
914,3/27/2011
917,3/6/2011
917,3/7/2011
917,3/8/2011
917,3/12/2011
917,3/13/2011
917,3/19/2011
917,3/20/2011
917,3/26/2011
917,3/27/2011
927,3/6/2011
927,3/7/2011
927,3/8/2011
927,3/12/2011
927,3/13/2011
927,3/19/2011
927,3/20/2011
927,3/26/2011
927,3/27/2011
930,3/6/2011
930,3/7/2011
930,3/8/2011
930,3/12/2011
930,3/13/2011
930,3/19/2011
930,3/20/2011
930,3/26/2011
930,3/27/2011
931,3/5/2011
931,3/6/2011
931,3/12/2011
931,3/13/2011
931,3/19/2011
931,3/20/2011
931,3/26/2011
931,3/27/2011
933,3/7/2011
933,3/8/2011
933,3/13/2011
933,3/20/2011
933,3/27/2011
937,3/6/2011
937,3/7/2011
937,3/8/2011
937,3/12/2011
937,3/13/2011
937,3/19/2011
937,3/20/2011
937,3/26/2011
937,3/27/2011
969,3/6/2011
969,3/7/2011
969,3/8/2011
969,3/12/2011
969,3/13/2011
969,3/19/2011
969,3/20/2011
969,3/26/2011
969,3/27/2011
970,3/6/2011
970,3/7/2011
970,3/8/2011
970,3/12/2011
970,3/13/2011
970,3/19/2011
970,3/20/2011
970,3/26/2011
970,3/27/2011
990,3/6/2011
990,3/7/2011
990,3/8/2011
990,3/12/2011
990,3/13/2011
990,3/19/2011
990,3/20/2011
990,3/26/2011
990,3/27/2011
991,3/8/2011
991,3/13/2011
991,3/20/2011
991,3/27/2011
992,3/6/2011
992,3/7/2011
992,3/8/2011
992,3/12/2011
992,3/13/2011
992,3/19/2011
992,3/20/2011
992,3/26/2011
992,3/27/2011
1000,3/6/2011
1000,3/7/2011
1000,3/8/2011
1000,3/12/2011
1000,3/13/2011
1000,3/19/2011
1000,3/20/2011
1000,3/26/2011
1000,3/27/2011
1002,3/6/2011
1002,3/7/2011
1002,3/8/2011
1002,3/12/2011
1002,3/13/2011
1002,3/19/2011
1002,3/20/2011
1002,3/26/2011
1002,3/27/2011
1003,3/6/2011
1003,3/7/2011
1003,3/8/2011
1003,3/12/2011
1003,3/13/2011
1003,3/19/2011
1003,3/20/2011
1003,3/26/2011
1003,3/27/2011
1006,3/6/2011
1006,3/7/2011
1006,3/8/2011
1006,3/12/2011
1006,3/13/2011
1006,3/19/2011
1006,3/20/2011
1006,3/26/2011
1006,3/27/2011
1016,3/6/2011
1016,3/7/2011
1016,3/8/2011
1016,3/12/2011
1016,3/13/2011
1016,3/19/2011
1016,3/20/2011
1016,3/26/2011
1016,3/27/2011
1019,3/6/2011
1019,3/7/2011
1019,3/8/2011
1019,3/13/2011
1019,3/20/2011
1019,3/27/2011
1025,3/6/2011
1025,3/7/2011
1025,3/8/2011
1025,3/12/2011
1025,3/13/2011
1025,3/19/2011
1025,3/20/2011
1025,3/26/2011
1025,3/27/2011
1027,3/8/2011
1035,3/6/2011
1035,3/7/2011
1035,3/8/2011
1035,3/13/2011
1035,3/20/2011
1035,3/27/2011
1037,3/6/2011
1037,3/7/2011
1037,3/8/2011
1037,3/12/2011
1037,3/13/2011
1037,3/19/2011
1037,3/20/2011
1037,3/26/2011
1037,3/27/2011
1043,3/6/2011
1043,3/7/2011
1043,3/8/2011
1043,3/12/2011
1043,3/13/2011
1043,3/19/2011
1043,3/20/2011
1043,3/26/2011
1043,3/27/2011
1046,3/6/2011
1046,3/7/2011
1046,3/8/2011
1046,3/12/2011
1046,3/13/2011
1046,3/19/2011
1046,3/20/2011
1046,3/26/2011
1046,3/27/2011
1050,3/6/2011
1050,3/7/2011
1050,3/8/2011
1050,3/12/2011
1050,3/13/2011
1050,3/19/2011
1050,3/20/2011
1050,3/26/2011
1050,3/27/2011
1052,3/6/2011
1052,3/7/2011
1052,3/8/2011
