REGN,C1_5
1,8/3/2013
1,8/4/2013
1,8/10/2013
1,8/11/2013
1,8/17/2013
1,8/18/2013
1,8/24/2013
1,8/25/2013
1,8/31/2013
18,8/4/2013
18,8/11/2013
18,8/18/2013
18,8/25/2013
21,8/4/2013
21,8/11/2013
21,8/18/2013
21,8/25/2013
23,8/3/2013
23,8/4/2013
23,8/10/2013
23,8/11/2013
23,8/17/2013
23,8/18/2013
23,8/24/2013
23,8/25/2013
23,8/31/2013
67,8/3/2013
67,8/4/2013
67,8/8/2013
67,8/10/2013
67,8/11/2013
67,8/17/2013
67,8/18/2013
67,8/24/2013
67,8/25/2013
67,8/30/2013
67,8/31/2013
77,8/3/2013
77,8/4/2013
77,8/10/2013
77,8/11/2013
77,8/17/2013
77,8/18/2013
77,8/24/2013
77,8/25/2013
77,8/31/2013
85,8/3/2013
85,8/4/2013
85,8/10/2013
85,8/11/2013
85,8/17/2013
85,8/18/2013
85,8/24/2013
85,8/25/2013
85,8/31/2013
96,8/4/2013
96,8/11/2013
96,8/18/2013
96,8/25/2013
103,8/3/2013
103,8/4/2013
103,8/10/2013
103,8/11/2013
103,8/17/2013
103,8/18/2013
103,8/24/2013
103,8/25/2013
103,8/31/2013
106,8/4/2013
106,8/11/2013
106,8/18/2013
106,8/25/2013
142,8/3/2013
142,8/4/2013
142,8/10/2013
142,8/11/2013
142,8/17/2013
142,8/18/2013
142,8/24/2013
142,8/25/2013
142,8/31/2013
149,8/3/2013
149,8/4/2013
149,8/10/2013
149,8/11/2013
149,8/17/2013
149,8/18/2013
149,8/24/2013
149,8/25/2013
149,8/31/2013
153,8/3/2013
153,8/4/2013
153,8/10/2013
153,8/11/2013
153,8/17/2013
153,8/18/2013
153,8/24/2013
153,8/25/2013
153,8/31/2013
155,8/3/2013
155,8/4/2013
155,8/10/2013
155,8/11/2013
155,8/17/2013
155,8/18/2013
155,8/24/2013
155,8/25/2013
155,8/31/2013
170,8/3/2013
170,8/4/2013
170,8/10/2013
170,8/11/2013
170,8/17/2013
170,8/18/2013
170,8/24/2013
170,8/25/2013
170,8/31/2013
184,8/3/2013
184,8/4/2013
184,8/8/2013
184,8/9/2013
184,8/10/2013
184,8/11/2013
184,8/18/2013
184,8/24/2013
184,8/25/2013
184,8/31/2013
197,8/3/2013
197,8/4/2013
197,8/10/2013
197,8/11/2013
197,8/17/2013
197,8/18/2013
197,8/24/2013
197,8/25/2013
197,8/31/2013
208,8/4/2013
208,8/11/2013
208,8/18/2013
208,8/25/2013
232,8/4/2013
232,8/11/2013
232,8/18/2013
232,8/25/2013
236,8/3/2013
236,8/4/2013
236,8/10/2013
236,8/11/2013
236,8/17/2013
236,8/18/2013
236,8/24/2013
236,8/25/2013
236,8/31/2013
249,8/4/2013
249,8/11/2013
249,8/18/2013
249,8/25/2013
256,8/3/2013
256,8/4/2013
256,8/10/2013
256,8/11/2013
256,8/17/2013
256,8/18/2013
256,8/24/2013
256,8/25/2013
256,8/31/2013
272,8/3/2013
272,8/4/2013
272,8/10/2013
272,8/11/2013
272,8/17/2013
272,8/18/2013
272,8/24/2013
272,8/25/2013
272,8/31/2013
