REGN,C1_1,C2_1
1,8700.0,3395317
1,8700.2,3395317
1,8700.1,3395317
1,8702,21496
1,8703.2,39296989
1,8703.1,39296989
1,8703.0,39296989
1,8704.0,3610230
1,8704.1,3610230
1,8704.2,3610230
1,8705,1
1,8706,25644181
1,8707.2,1447867
1,8707.1,1447867
1,8707.0,1447867
1,8708.0,29847127
1,8708.1,29847127
1,8708.2,29847127
1,8709.2,871173
1,8709.0,871173
1,8709.1,871173
1,8710.2,214772893
1,8710.1,214772893
1,8710.0,214772893
1,8711.2,114
1,8711.1,114
1,8711.0,114
1,8713.0,12407979
1,8713.2,12407979
1,8713.1,12407979
1,8715,234705
1,8718,-234705
1,8733.1,376522
1,8733.2,376522
1,8733.0,376522
1,8734,1115247
1,8735,552289
1,8736,1507597
1,8737,1790380
1,8801.0,1447867
1,8801.1,1447867
1,8801.2,1447867
1,8806,6321787
1,8807,4380223
1,8810.0,143169612
1,8810.2,143169612
1,8810.1,143169612
1,8811,38619730
1,8812.1,66408790
1,8812.0,66408790
1,8812.2,66408790
1,8813.0,8437448
1,8813.1,8437448
1,8813.2,8437448
1,8814.0,10985588
1,8814.1,10985588
1,8814.2,10985588
1,8815,3994971
1,8816,5992457
1,8817.0,18518605
1,8817.1,18518605
1,8817.2,18518605
1,8818.0,13616065
1,8818.1,13616065
1,8818.2,13616065
1,8821,713092
1,8822,1016063
1,8825.0,4707
1,8825.2,4707
1,8825.1,4707
1,8826.1,7061
1,8826.0,7061
1,8826.2,7061
1,8827.1,107800
1,8827.0,107800
1,8827.2,107800
1,8828.0,161700
1,8828.1,161700
1,8828.2,161700
1,8829.0,592210
1,8829.1,592210
1,8829.2,592210
1,8830.0,840357
1,8830.1,840357
1,8830.2,840357
1,8831,8099722
1,8832,7176670
1,8833.0,517602
1,8833.1,517602
1,8833.2,517602
1,8834.0,673512
1,8834.2,673512
1,8834.1,673512
1,8846,11806365
1,8847,747078
1,8848,11671953
1,8854,2087924
1,8855.2,664444
1,8855.0,664444
1,8855.1,664444
1,8856.0,196218
1,8856.1,196218
1,8856.2,196218
1,8857.0,11367
