REGN,C1_1,C2_1
1,8801,2301092
1,8810,56017424
1,8811,4728206
1,8812,10841652
1,8902,21962822
1,8908,54450
1,8909,578663
1,8910,20004206
1,8911,98319
1,8912,12977820
1,8913,206657
1,8914,312409
1,8918,162723772
1,8919,13267115
1,8921,12977820
1,8922,49158337
1,8925,168593
1,8928,252319
1,8930,67545857
1,8933,3556534
1,8934,314547
1,8938,4143863
1,8940,69911
1,8941,2730148
1,8942,1510256
1,8945,116900191
1,8950,342871
1,8953,46693438
1,8954,897
1,8956,162924
1,8957,210017
1,8960,6856968
1,8962,6134224
1,8964,5774909
1,8969,150400
1,8972,31489466
1,8973,1869294
1,8974,6263466
1,8976,2669676
1,8978,93202119
1,8989,54970856
1,8991,51466983
1,8992,394908
1,8993,29989
1,8994,72466
1,8995,107028
1,8996,277284740
1,8998,130459088
2,8810,21009
2,8811,5452
2,8812,18635
2,8909,35
2,8910,92245
2,8912,10745
2,8914,806
2,8918,1585
2,8921,10745
2,8925,97
2,8941,11030
2,8942,11731
2,8945,3157
2,8953,8655
2,8956,957078
2,8957,961546
2,8962,32473
2,8964,5674
2,8989,124997
2,8991,11190
2,8992,114
2,8994,997
2,8996,526667
2,8998,996427
5,8810,141937
5,8811,1745
5,8812,439098
5,8902,1278124
5,8904,204055
5,8909,6786
5,8910,160250
5,8912,174986
5,8914,1065
5,8916,721
5,8918,940685
5,8921,174986
5,8925,14146
5,8926,9085
5,8933,92276
5,8941,60611
5,8942,20817
5,8945,13457
5,8950,521
5,8953,83649
5,8956,21194
5,8957,27439
5,8960,265056
5,8962,114204
5,8964,3131
5,8967,1
5,8972,811689
5,8989,795152
5,8991,133614
5,8993,11579
5,8994,2
5,8996,1263898
5,8998,1975551
18,8801,1232998
18,8810,1311054
18,8812,7347581
18,8902,1364183
18,8904,287065
18,8908,700000
18,8909,3089
18,8910,177127
18,8912,651486
18,8913,88945
18,8914,822
18,8918,3414887
18,8919,6807
18,8920,6807
18,8921,651486
18,8925,34252
18,8933,7936
18,8934,1420
18,8940,9739
18,8941,43488
18,8942,72432
18,8945,7567865
18,8950,5
18,8953,168059
18,8956,135743
18,8957,174355
18,8960,134919
18,8962,422476
18,8964,876703
18,8966,37188
18,8967,67
18,8972,1499102
18,8989,2504061
18,8991,483578
18,8993,263
18,8994,127
18,8996,2385865
18,8998,6666229
21,8810,5398
21,8812,8247
21,8910,321434
21,8912,89644
21,8914,1715
21,8918,37215
21,8921,89644
21,8925,3516
21,8941,756
21,8942,8442
21,8950,100307
21,8953,1976
21,8955,200
21,8956,49370
21,8957,55955
21,8962,45086
21,8964,386815
21,8965,200
21,8989,65926
21,8991,18712
21,8994,25
21,8996,184419
21,8998,433439
23,8810,29115
23,8901,7
23,8902,124187
23,8904,123141
23,8909,347
23,8910,365333
23,8912,230765
23,8914,17024
23,8918,1771162
23,8921,230765
23,8922,740071
23,8925,15993
23,8926,473
23,8930,1751189
23,8933,238461
23,8934,245206
23,8938,513
23,8940,12496
23,8941,6216
23,8942,58783
23,8945,667
23,8953,152631
23,8956,393666
23,8957,511540
23,8960,125289
23,8962,320422
23,8964,168502
23,8966,19040
23,8972,224254
23,8973,92960
23,8978,9221107
23,8989,2290198
23,8991,1967408
23,8994,101
23,8996,6696571
23,8998,14953832
52,8810,332084
52,8812,1740
52,8909,24
52,8910,2385530
52,8912,294813
52,8914,1974
52,8918,1508462
52,8921,294813
52,8925,10028
52,8926,26443
52,8933,46569
52,8940,56
52,8941,70184
52,8942,48901
52,8945,5000
52,8953,2080917
52,8956,407838
52,8957,433941
52,8962,360380
52,8964,101048
52,8989,396240
52,8991,155101
52,8994,2454
52,8996,809945
52,8998,3486235
53,8806,10968
53,8807,7678
53,8810,976396
53,8812,113622
53,8909,74866
53,8910,1019506
53,8912,695445
53,8916,2979
53,8918,144086
53,8921,695445
53,8925,12579
53,8926,1019
53,8933,131019
53,8940,757
53,8941,74866
53,8942,26792
53,8950,4956
53,8953,932448
53,8956,448048
53,8957,576252
53,8962,198902
53,8964,1365248
53,8967,13
53,8972,206847
53,8981,9114
53,8989,296106
53,8991,769118
53,8993,1786
53,8996,872062
53,8998,5998390
55,8810,168544
55,8909,128
55,8910,319104
55,8912,202890
55,8914,4674
55,8916,16
55,8918,157500
55,8921,202890
55,8925,4149
55,8926,67124
55,8928,15500
55,8933,100272
55,8934,12010
55,8940,1048
55,8941,128
55,8942,29304
55,8945,176805
55,8950,279
55,8953,258625
55,8955,47000
55,8956,101284
55,8957,92448
55,8962,716927
55,8964,16185
55,8965,47000
55,8981,45338
55,8989,157761
55,8991,174754
55,8994,868
55,8995,2943
55,8996,743644
55,8998,2653238
65,8810,96646
65,8811,4278
65,8812,1517176
65,8909,5829
65,8910,1196822
65,8912,328447
65,8914,9754
65,8918,5673671
65,8921,328447
65,8925,56405
65,8933,1622949
65,8938,7257
65,8940,41
65,8941,45334
65,8942,53217
65,8945,182
65,8950,2081
65,8953,1161641
65,8956,246360
65,8957,306164
65,8962,958228
65,8964,293833
65,8989,1653240
65,8991,935925
65,8993,3933
65,8994,4625
65,8996,7331310
65,8998,8780558
67,8810,205562
67,8902,285220
67,8909,32975
67,8910,258321
67,8911,1325
67,8912,313201
67,8918,4995474
67,8921,313201
67,8925,4740
67,8933,75736
67,8934,53
67,8941,97606
67,8942,56120
67,8956,1112523
67,8957,1357543
67,8962,116936
67,8964,181718
67,8972,360581
67,8989,384380
67,8991,258567
67,8994,26
67,8996,9442216
67,8998,7301895
77,8810,2914701
77,8811,33958
77,8812,1617041
77,8902,561115
77,8905,1054
77,8907,4347
77,8909,1388
77,8910,143065
77,8912,2008995
77,8914,2343
77,8916,85
77,8918,3033139
77,8919,17
77,8921,2008995
77,8923,133405
77,8925,14921
77,8933,275770
77,8940,10
77,8941,124174
77,8942,47819
