REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_4
1,45,09807247,1027739082106,1,044525545,12/1/2010,ЗАО ЮниКредит Банк,"119034,  г. Москва, Пречистенская набережная, д.9",Председатель Правления,М.Ю. Алексеев,"Главный бухгалтер, Директор департамета ДБУиО",О.А. Гончарова,Начальник Управления,Г.Е. Чернышева,258-65-04,21
2,40,11157058,1027800000250,2,044030869,12/1/2010,"ЗАО ""КАБ ""Викинг""","191002 Санкт-Петербург, Владимирский пр. дом 17",Первый заместитель Председателя Правления,Заозерский А.А.,Главный бухгалтер,Зимина Е.Я.,Нач. отдела,Абакумова Т.А.,320-33-20(7154),30
5,45,09808117,1027739069478,5,044583501,12/1/2010,"Банк ""Кредит-Москва"" (ОАО)","115054,  г. Москва, 6-й Монетчиковский пер., д. 8, стр. 1",Первый заместитель Директора,А.В. Сизов,Главный бухгалтер,Т.Е. Терентьева,Начальник отдела отчетности,Л.А. Юлбердина,72-707-72,30
18,45,06905897,1037711012525,18,044585718,12/1/2010,"ОАО КБ ""Стройкредит""","123022, г. Москва, ул. Красная Пресня, дом 22",Председатель Правления,Прыгаев Юрий Николаевич,Главный бухгалтер,Осипова Ирина Ивановна,Начальник управления финансовой отчетности,Князева Любовь Петровна,(495) 730-44-27,27
21,05,09241840,1022500001325,21,040502717,12/1/2010,"ООО ""Примтеркомбанк""","690091, Приморский край, г. Владивосток, ул. Адмирала Фокина, 25",Председатель Правления,Колдин А.М.,Зам.главного бухгалтера,Павленко О.Н.,Ведущий экономист,Андриянова И.В.,26-98-31(*113),24
23,36,09806035,1026300002200,23,043678700,12/1/2010,ОАО Банк АВБ,"445021, Самарская обл., г.Тольятти, ул.Голосова, 26 А",Руководитель,Е.П. Казымова,Зам.главного бухгалтера,О.С. Дедова,Исполнитель,А.Ю. Гараев,40-76-86,21
52,40,05437279,1027800001261,52,044030754,12/1/2010,"ОАО ""Энергомашбанк""","195027 Санкт-Петербург, Свердловская наб., 44, лит.Щ",Первый зам. Ген. директора - Пред. Правления,Ветров Г.И.,Главный бухгалтер,Лапина В.И.,Исполнитель,Коровина Ольга Дмитриевна,303-89-21,30
53,40,05435949,1027800000194,53,044030755,12/1/2010,"ОАО Банк ""АЛЕКСАНДРОВСКИЙ""","191119, Санкт-Петербург, Загородный пр., 46, литер Б, корпус 2",Первый Заместитель Председателя Правления,Попкова Л.П.,Главный бухгалтер,Полевова Л. Н.,Исполнитель,Давыдова О.В.,334-81-52,30
55,45,09806271,1027739270294,55,044583303,12/1/2010,"ОАО МАБ ""Темпбанк""","109044,  г. Москва, ул. Крутицкий вал, д. 26, строение 2",Председатель Правления,Гаглоев М.Г.,Главный бухгалтер,Кашуба М.В.,Начальник управления,Пернеровская Т.В.,676-2100,25
65,65,09806207,1026600001955,65,046577768,12/1/2010,"ООО КБ ""КОЛЬЦО УРАЛА""","620075, Свердловская область, г.Екатеринбург, ул. Горького, д.7",Заместитель Председателя Правления,Н.Н. Валахович,Главный бухгалтер,Е. О. Даринцев,Ведущий экономист,Н.В.Плетнева,(343) 378-40-90,27
67,92,09265947,1021600000289,67,049205770,12/1/2010,"АКБ ""Энергобанк"" (ОАО)","420021, г.Казань, ул.Сары Садыковой, д.32",Руководитель,Вагизов Д.И.,Главный бухгалтер,Ягофарова Ф.И.,экономист,Колесникова Ю. С.,231-60-92,19
77,45,05838400,1027700568224,77,044583125,12/1/2010,МОРСКОЙ БАНК (ОАО),"127055,  г. Москва, ул. Сущевская,  д. 19, стр. 7",Заместитель Председателя Правления,Кузина О.Н.,Заместитель Главного бухгалтера,Леден?ва И.М.,Начальник отдела финансовой отчетности,Москвич?ва О.Б.,777-11-77,21
84,08,09806673,1022700000025,84,040813718,12/1/2010,"ОАО ""Далькомбанк""","680000, Хабаровский край, г. Хабаровск, ул.Гоголя, 27",Первый заместитель председателя правления,Гембух Яков Иванович,Главный бухгалтер,Ламанова Любовь Ивановна,Главный экономист,Ковалева Марина Сергеевна,38-06-38,27
85,05,09241863,1022500001930,85,040518780,12/1/2010,"ОАО КБ ""САММИТ БАНК""","692806, Приморский край, г.Большой Камень , ул. Гагарина,37",Президент банка,Савченко О.В.,Главный бухгалтер,Агеева Г.А.,Зам.начальника отдела кредитования,Гринева-Исупова О.А.,(42335)55491,21
96,32,09806360,1024200001891,96,043207720,12/1/2010,"ОАО ""Кемсоцинбанк""","650000, Кемеровская область, г.Кемерово, Центральный район, ул.Дзержинского, дом № 12",И.о.генерального директора,Брезгина Е.Л.,И.о.главного бухгалтера,Оленникова О.В.,Начальник отдела казначейства,Кайгородов Андрей Михайлович,36-01-94,21
101,50,16578422,1055400000369,101,045005820,12/1/2010,"ОАО ""БКС Банк""","630099, г. Новосибирск, ул. Советская, д.18",Генеральный директор,Попков В.М.,Главный бухгалтер,Сусин Д.Д.,Начальник ОФО,Сидометова Ю.А.,230-55-01(вн.18-68),21
103,45,29313458,1027739480548,103,044585749,12/1/2010,"ООО ""РКБ""","115054,  г. Москва, ул. Бахрушина, дом 23, строение 2",Председатель Правления,Артемьев Э.Ю.,Главный бухгалтер,Трещалина Т.К.,Главный экономист,Дмитриева О.Н.,785-07-05,21
106,60,09806526,1026100002026,106,046015860,12/1/2010,"ОАО АКБ ""Сельмашбанк""","344029, г. Ростов-на-Дону, пр. Сельмаш, 102",Председатель Правления,Хлус В.М.,Главный бухгалтер,Краснорепова Е.В.,Исполнитель,Никифорова О.Н.,254-57-33,23
107,27,09806319,1023900001070,107,042748737,12/1/2010,"АКБ ""Инвестбанк"" (ОАО)","236006, г.Калининград, Ленинский проспект,28","Заместитель Председателя Правления АКБ ""Инвестбанк"" (ОАО)",Филиппов В.В.,Главный бухгалтер,Пенкина А.Ю.,Исполнитель,Кочановская Т.В.,998-624,30
121,45,09806868,1027739198387,121,044525514,12/1/2010,"ЗАО АКБ ""ЦентроКредит""","119017,  г. Москва, ул.Пятницкая, д.31/2, стр. 1",Первый заместитель Председателя Правления,Зимина Л.В.,Главный бухгалтер- начальник Управления бухгалтерского учета и отчетности,Перепилицына Н.В.,Начальник Отдела сводной бухгалтерской отчетности,Куликова Н.В.,956-86-26,30
138,41,09806957,1027800004517,138,044106725,12/1/2010,"ОАО ""Рускобанк""","188640, Ленинградская область, город Всеволожск, Всеволожский проспект, дом 29",И.о. директора,Рогачева Е.А.,И.о. главного бухгалтера,Тарасова Е.В.,Начальник управления,Боголюбова М.А.,242-01-74,30
142,05,09806970,1032500000532,142,040502713,12/1/2010,"ЗАО ПТКБ ""МЕРКУРИЙ""","690003, г.Владивосток, ул.Станюковича, 3",Президент,Шевыр?в В.В.,Главный бухгалтер,Сорокина Н.Н.,Ведущий экономист отдела активных операций,Боев В.И.,607-253,21
153,65,09808005,1026600000602,153,046568782,12/1/2010,"ЗАО ""Уралприватбанк""","Россйская Федерация, 620219, город Екатеринбург, ул. Первомайская, д. 26",Председатель Правления,Скворцова Л.И.,Заместитель главного бухгалтера,Трошина О.А.,Начальник отдела,Камаева Л.С.,385-08-91,30
155,45,09806153,1027739284099,155,044552108,12/1/2010,"ООО КБСИ ""Стройиндбанк""","109004, Москва, ул. Александра Солженицына, д. 8, стр. 1",Председатель,Саввин А.Г.,Главный бухгалтер,Черняева Е.В.,Нач.Упр.,Асланов А.Л.,9117451,20
170,52,09808583,1025500003737,170,045209714,12/1/2010,"ЗАО ""Банк Сибирь""","644024, г.Омск, ул.Маршала Жукова, 21",Зам. Председателя правления,А. Ю. Вандышев,Главный бухгалтер,Л. В. Саброва,Ведущий специалист,Подворный А.В.,44-60-64,21
184,82,09808672,1020500001345,184,048209763,12/1/2010,"ООО ИКБ ""МЕСЕД""","367015, Республика Дагестан, г. Махачкала,  ул. Ярагского, 93  ""А""",Председатель правления,Раджабов Магомед Абдулкадырович,Главный бухгалтер,Лачемилаев Магомед Гадигатулаевич,Начальник ОП и ВТ,Абуханипаев Магомедали Абуханипаевич,646715,20
197,40,09806578,1027800001547,197,044030760,12/1/2010,"ОАО ""МБСП""","194044, Санкт-Петербург, Крапивный пер., 5",Заместитель Председателя Правления - Финансовый директор,Родионов Максим Александрович,Главный бухгалтер,Шевцова Елена Валентиновна,Гл. экономист,Загуменнова Е.А.,542-09-41,21
208,52,09227917,1025500000459,208,045209713,12/1/2010,"ЗАО ""КБ ""СИБЭС""","644007, г.Омск, ул. Рабиновича, 132/134",Зам. Председателя Правления,Горячкина И. М.,Главный бухгалтер,Самойлова Г. Н.,Нач. отдела эконом. анализа и ликвидности,Корешкова Г.Я.,24-58-67,21
210,45,09806561,1027739290270,210,044599457,12/1/2010,"ЗАО АКБ ""Экспресс-кредит""","105037,  г. Москва, ул.3-я Прядильная, д.3",Заместитель Председателя Правления,Лосев А.С.,Зам.главного бухгалтера,Васина О.А.,Зам.главного бухгалтера,Васина О.А.,925-07-36,24
226,45,09807359,1027700351106,226,044552521,12/1/2010,"ЗАО КБ ""Росинтербанк""","107045,  г. Москва, ул. Сретенка, д. 16/2",Председатель Правления,Чернуха М.В.,Заместитель главного бухгалтера,Талаева И.Р.,Заместитель начальника отдела,Голованов А.Н.,787-7050,21
232,03,09808815,1102300004938,232,040396717,12/1/2010,ЗАО Банк ЗЕНИТ Сочи,"354000, Краснодарский край, г. Сочи, ул. Навагинская, 14",Председатель правления ЗАО Банк ЗЕНИТ Сочи,Сосин И.Н.,Главный бухгалтер,Чернова Л.В.,Зам.главного бухгалтера,"Беркутов Л.А,",647280,21
233,78,12657633,1027600000097,233,047888700,12/1/2010,"АБ ""Регион"" (ОАО)","150000,  Ярославская область, г. Ярославль,  ул. Комсомольская, 6","Президент АБ ""Регион"" (ОАО)",Рачкова И.М.,"Главный бухгалтер АБ ""Регион"" (ОАО)",Славнова Е.А.,Директор казначейства,Покровская М.Н.,72-18-77,29
236,45,17546329,1027739412359,236,044585728,12/1/2010,"ООО ""СПЕЦСТРОЙБАНК""","109004,  г. Москва, ул. Александра Солженицына, д. 12, стр. 4",Зам. Председателя Правления,Логунова Т.Ю.,Зам. Главного бухгалтера,Саргина А.В.,Зам. Главного бухгалтера,Саргина А.В.,755-56-66 (160),21
249,57,0980754,1025900000048,249,045773790,12/1/2010,"ОАО АКБ ""Урал ФД""","614990, г. Пермь, ул. Ленина, 64",Зам. Председателя Правления,Яцков А.С.,Главный бухгалтер,Попова М.Б.,руководитель группы,Ощепкова Е.В.,240-10-88,24
254,33,10919075,1024300000042,254,043304711,12/1/2010,"ОАО КБ ""Хлынов""","610002, г.Киров, ул. Урицкого, д. 40",Председатель Правления,Попов Н.В.,Главный бухгалтер,Анисимова Г.Н.,исполнитель,Садаков Ю.В.,204777 доб.0202,29
256,45,09807336,1026900005307,256,044552911,12/1/2010,"ОАО ""ГУТА-БАНК""","107078, г. Москва, Орликов пер., д. 5, стр. 3",Президент,Чирков Владимир Николаевич,Главный бухгалтер,Кривенко Наталья Владимировна,Начальник отдела отчетности,Ларькина Наталья Александровна,(4822) 34-74-71,21
272,45,09807649,1027739137535,272,044583544,12/1/2010,"АКБ ""ИРС"" (ЗАО)","127422,  г. Москва, ул.Тимирязевская, д.26",Вице-Президент банка,Башаев Р.М.,Главный бухгалтер,Чернигова Г.Н.,Начальник отдела отчетности,Шубина Л.В.,976-93-87,21
286,45,09807833,1027700207490,286,044552620,12/1/2010,"Коммерческий Банк ""Аскания Траст"" (ООО)","101000,  г. Москва, ул. Покровка, д. 10, стр. 1",Председатель Правления     (Президент),Кузьмина Н.В.,Главный бухгалтер,Пономарева В.С.,Главный бухгалтер,Пономарева В.С.,"921-02-00, 624-45-58",21
