REGN,C1_1,C2_1
1,8700.0,11015798
1,8700.1,11015798
1,8700.2,11015798
1,8701,93478
1,8702,93478
1,8703.2,17164989
1,8703.1,17164989
1,8703.0,17164989
1,8704.0,1514355
1,8704.1,1514355
1,8704.2,1514355
1,8705,1
1,8707.0,7584838
1,8707.2,7584838
1,8707.1,7584838
1,8708.1,12778231
1,8708.0,12778231
1,8708.2,12778231
1,8709.0,2931120
1,8709.1,2931120
1,8709.2,2931120
1,8710.2,139143376
1,8710.1,139143376
1,8710.0,139143376
1,8712.0,415463
1,8712.1,415463
1,8712.2,415463
1,8713.2,24172864
1,8713.0,24172864
1,8713.1,24172864
1,8714.2,15247
1,8714.0,15247
1,8714.1,15247
1,8715,264336
1,8718,-264336
1,8730,4118873
1,8731,6178310
1,8801.0,7584838
1,8801.1,7584838
1,8801.2,7584838
1,8808.0,157968817
1,8808.1,157968817
1,8808.2,157968817
1,8809.0,168849747
1,8809.2,168849747
1,8809.1,168849747
1,8810,97830342
1,8811,28337656
1,8812.1,22064610
1,8812.0,22064610
1,8812.2,22064610
1,8813.0,148147419
1,8813.2,148147419
1,8813.1,148147419
1,8814.0,220249868
1,8814.1,220249868
1,8814.2,220249868
1,8815,2845819
1,8816,4268729
1,8817.0,18199508
1,8817.1,18199508
1,8817.2,18199508
1,8818.0,26805317
1,8818.1,26805317
1,8818.2,26805317
1,8821,573515
1,8822,834084
1,8825.0,4707
1,8825.1,9414
1,8826.0,7061
1,8826.1,7061
1,8826.2,7061
1,8827,59647
1,8828,89471
1,8829,436752
1,8830,639794
1,8831,9447452
1,8832,9049871
1,8833.0,508014
1,8833.1,508014
1,8833.2,508014
1,8834.0,745354
1,8834.1,745354
1,8834.2,745354
1,8846,175603
1,8847,31293
1,8854,49874112
1,8855.0,38586
1,8855.1,38586
1,8855.2,38586
1,8856.0,83451175
1,8856.2,83451175
1,8856.1,83451175
1,8857.0,75952615
1,8857.1,75952615
1,8857.2,75952615
1,8858,3278813
1,8858.1,2112918
1,8859,3385937
1,8859.1,1704467
1,8860,44036
1,8860.1,28418
1,8861,3252
1,8861.1,7055
1,8862,16505
1,8862.1,4
1,8864,14837
1,8864.1,12870
1,8865,75176
1,8868,5989852
1,8878.1,12800
1,8879,32000
1,8902,3955416
1,8904,224005
1,8908,91470
1,8910,23925892
1,8911,99741
1,8912.0,12778231
1,8912.1,12778231
1,8912.2,12778231
1,8914,44202761
1,8918,190003958
1,8921,12778231
1,8922,75751590
1,8925,220235
1,8928,220888
1,8930,113889726
1,8933,5989852
1,8934,64065
1,8935,5376311
1,8938,325205
1,8939,954698
1,8941.0,2931120
1,8941.1,2931120
1,8941.2,2931120
1,8942,4951625
1,8945.0,45029997
1,8945.1,45029997
1,8945.2,45029997
1,8950,515305
1,8951,5124685
1,8953.1,139143376
1,8953.0,139143376
1,8953.2,139143376
1,8956.1,222974
1,8956.0,222974
1,8956.2,222974
1,8957.0,286011
1,8957.1,286011
1,8957.2,286011
1,8959.0,1761460
1,8959.2,1761460
1,8959.1,1761460
1,8960.0,415463
1,8960.2,415463
1,8960.1,415463
1,8962,7503059
1,8964.1,24172864
1,8964.0,24172864
1,8964.2,24172864
1,8972,10074738
1,8973,437878
1,8974.0,635092
1,8974.1,635092
1,8974.2,635092
1,8976,886351
1,8978,163783285
1,8980.0,15247
1,8980.2,15247
1,8980.1,15247
1,8981,542985
1,8987,40085326
1,8989,122429587
1,8991,41616130
1,8993,55774
1,8994,105937
1,8995,122989
1,8996,296142376
1,8998,145295218
2,8703.0,79964
2,8703.1,79964
2,8703.2,79964
2,8704.0,2031
2,8704.1,2031
2,8704.2,2031
2,8705,1
2,8708.0,13471
2,8708.2,13471
2,8708.1,13471
2,8710.0,1240
2,8710.1,1240
2,8710.2,1240
2,8713.1,7410
2,8713.0,7410
2,8713.2,7410
2,8810,51869
2,8811,5350
2,8812.0,60984
2,8812.1,60984
2,8812.2,60984
2,8813.1,1013096
2,8813.0,1013096
2,8813.2,1013096
2,8814.0,1147289
2,8814.1,1147289
2,8814.2,1147289
2,8821,78207
2,8822,97598
2,8827,337
2,8828,329
2,8831,49445
2,8832,67434
2,8846,7261
2,8847,363
2,8848,7261
2,8855.0,715666
2,8855.1,715666
2,8855.2,715666
2,8856.1,65705
2,8856.0,65705
2,8856.2,65705
2,8857.0,745340
2,8857.1,745340
2,8857.2,745340
2,8858,1005
2,8862,1487
2,8874,3
2,8877,10
2,8884,186
2,8910,22277
2,8912.0,13471
2,8912.1,13471
2,8912.2,13471
2,8914,6262
2,8918,23024
2,8921,13471
2,8925,1126
2,8926,4875
2,8942,27697
2,8945.0,10000
2,8945.1,10000
2,8945.2,10000
2,8953.0,1240
2,8953.1,1240
2,8953.2,1240
2,8956.0,1004010
2,8956.1,1004010
2,8956.2,1004010
2,8957.0,1046933
