REGN,C1_4,C2_4,C3_4,C4_4
149,1,Í16.1,63.87,11/1/2015
149,2,Í16.1,63.86,11/2/2015
149,3,Í16.1,63.88,11/3/2015
149,4,Í16.1,63.87,11/4/2015
149,5,Í16.1,63.80,11/5/2015
149,6,Í16.1,63.85,11/6/2015
149,7,Í16.1,63.81,11/7/2015
149,8,Í16.1,63.80,11/8/2015
149,9,Í16.1,63.74,11/9/2015
149,10,Í16.1,63.74,11/10/2015
149,11,Í16.1,63.90,11/11/2015
149,12,Í16.1,63.80,11/12/2015
149,13,Í16.1,64.01,11/13/2015
149,14,Í16.1,63.90,11/14/2015
149,15,Í16.1,63.88,11/15/2015
149,16,Í16.1,63.84,11/16/2015
149,17,Í16.1,63.82,11/17/2015
149,18,Í16.1,63.91,11/18/2015
149,19,Í16.1,63.94,11/19/2015
149,20,Í16.1,63.00,11/20/2015
149,21,Í16.1,63.00,11/21/2015
149,22,Í16.1,62.99,11/22/2015
149,23,Í16.1,62.23,11/23/2015
149,24,Í16.1,62.17,11/24/2015
149,25,Í16.1,62.01,11/25/2015
149,26,Í16.1,61.98,11/26/2015
149,27,Í16.1,61.88,11/27/2015
149,28,Í16.1,61.83,11/28/2015
149,29,Í16.1,61.82,11/29/2015
149,30,Í16.1,62.63,11/30/2015
312,1,Í1.0,0.00,11/2/2015
312,2,Í1.0,0.00,11/3/2015
312,3,Í1.0,0.00,11/5/2015
312,4,Í1.0,0.00,11/6/2015
312,5,Í1.0,0.00,11/7/2015
312,6,Í1.0,0.00,11/9/2015
312,7,Í1.0,0.00,11/10/2015
312,8,Í1.0,0.00,11/11/2015
312,9,Í1.0,0.00,11/12/2015
312,10,Í1.0,0.00,11/13/2015
312,11,Í1.0,0.00,11/14/2015
312,12,Í1.0,0.00,11/16/2015
312,13,Í1.0,0.00,11/17/2015
312,14,Í1.0,0.00,11/18/2015
312,15,Í1.0,0.00,11/19/2015
312,16,Í1.0,0.00,11/20/2015
312,17,Í1.0,0.00,11/21/2015
312,18,Í1.0,0.00,11/23/2015
312,19,Í1.0,0.00,11/24/2015
312,20,Í1.0,0.00,11/25/2015
312,21,Í1.0,0.00,11/26/2015
312,22,Í1.0,0.00,11/27/2015
312,23,Í1.0,0.00,11/28/2015
312,24,Í1.0,0.00,11/30/2015
312,25,Í1.1,0.00,11/2/2015
312,26,Í1.1,0.00,11/3/2015
312,27,Í1.1,0.00,11/5/2015
312,28,Í1.1,0.00,11/6/2015
312,29,Í1.1,0.00,11/7/2015
312,30,Í1.1,0.00,11/9/2015
312,31,Í1.1,0.00,11/10/2015
312,32,Í1.1,0.00,11/11/2015
312,33,Í1.1,0.00,11/12/2015
312,34,Í1.1,0.00,11/13/2015
312,35,Í1.1,0.00,11/14/2015
312,36,Í1.1,0.00,11/16/2015
312,37,Í1.1,0.00,11/17/2015
312,38,Í1.1,0.00,11/18/2015
312,39,Í1.1,0.00,11/19/2015
312,40,Í1.1,0.00,11/20/2015
312,41,Í1.1,0.00,11/21/2015
312,42,Í1.1,0.00,11/23/2015
312,43,Í1.1,0.00,11/24/2015
312,44,Í1.1,0.00,11/25/2015
312,45,Í1.1,0.00,11/26/2015
312,46,Í1.1,0.00,11/27/2015
312,47,Í1.1,0.00,11/28/2015
312,48,Í1.1,0.00,11/30/2015
312,49,Í1.2,0.00,11/2/2015
312,50,Í1.2,0.00,11/3/2015
312,51,Í1.2,0.00,11/5/2015
312,52,Í1.2,0.00,11/6/2015
312,53,Í1.2,0.00,11/7/2015
312,54,Í1.2,0.00,11/9/2015
312,55,Í1.2,0.00,11/10/2015
312,56,Í1.2,0.00,11/11/2015
312,57,Í1.2,0.00,11/12/2015
312,58,Í1.2,0.00,11/13/2015
312,59,Í1.2,0.00,11/14/2015
312,60,Í1.2,0.00,11/16/2015
312,61,Í1.2,0.00,11/17/2015
312,62,Í1.2,0.00,11/18/2015
312,63,Í1.2,0.00,11/19/2015
312,64,Í1.2,0.00,11/20/2015
312,65,Í1.2,0.00,11/21/2015
312,66,Í1.2,0.00,11/23/2015
312,67,Í1.2,0.00,11/24/2015
312,68,Í1.2,0.00,11/25/2015
312,69,Í1.2,0.00,11/26/2015
312,70,Í1.2,0.00,11/27/2015
312,71,Í1.2,0.00,11/28/2015
312,72,Í1.2,0.00,11/30/2015
312,73,Í4,0.00,11/30/2015
312,74,Í7,0.00,11/2/2015
312,75,Í7,0.00,11/3/2015
312,76,Í7,0.00,11/5/2015
312,77,Í7,0.00,11/6/2015
312,78,Í7,0.00,11/7/2015
312,79,Í7,0.00,11/9/2015
312,80,Í7,0.00,11/10/2015
312,81,Í7,0.00,11/11/2015
312,82,Í7,0.00,11/12/2015
312,83,Í7,0.00,11/13/2015
312,84,Í7,0.00,11/14/2015
312,85,Í7,0.00,11/16/2015
312,86,Í7,0.00,11/17/2015
312,87,Í7,0.00,11/18/2015
312,88,Í7,0.00,11/19/2015
312,89,Í7,0.00,11/20/2015
312,90,Í7,0.00,11/21/2015
312,91,Í7,0.00,11/23/2015
312,92,Í7,0.00,11/24/2015
312,93,Í7,0.00,11/25/2015
312,94,Í7,0.00,11/26/2015
312,95,Í7,0.00,11/27/2015
312,96,Í7,0.00,11/28/2015
312,97,Í7,0.00,11/30/2015
312,98,Í10.1,0.00,11/2/2015
312,99,Í10.1,0.00,11/3/2015
312,100,Í10.1,0.00,11/5/2015
312,101,Í10.1,0.00,11/6/2015
312,102,Í10.1,0.00,11/7/2015
312,103,Í10.1,0.00,11/9/2015
