REGN,C1_4,C2_4,C3_4,C4_4
1860,1,Í15,68.60,4/1/2012
1860,2,Í15,68.70,4/2/2012
1860,3,Í15,69.33,4/3/2012
1860,4,Í15,71.29,4/4/2012
1860,5,Í15,96.94,4/14/2012
1860,6,Í15,87.89,4/16/2012
1860,7,Í15,99.97,4/18/2012
1860,8,Í15,94.79,4/19/2012
1860,9,Í15,89.31,4/20/2012
1860,10,Í15,86.99,4/21/2012
1860,11,Í15,87.03,4/22/2012
1860,12,Í15,86.38,4/23/2012
1860,13,Í15,85.75,4/24/2012
1860,14,Í15,86.48,4/25/2012
1860,15,Í15,80.07,4/26/2012
1860,16,Í15,82.29,4/27/2012
1860,17,Í15,77.86,4/28/2012
1860,18,Í15,76.64,4/29/2012
1860,19,Í15,75.96,4/30/2012
2523,1,Í2,14.00,4/18/2012
2523,2,Í2,11.10,4/19/2012
2523,3,Í2,9.70,4/20/2012
2523,4,Í2,9.70,4/21/2012
2523,5,Í2,9.70,4/22/2012
2523,6,Í2,11.60,4/23/2012
2523,7,Í2,7.30,4/24/2012
2523,8,Í2,5.30,4/25/2012
2523,9,Í2,4.50,4/26/2012
2523,10,Í2,5.80,4/27/2012
2523,11,Í2,2.70,4/28/2012
2523,12,Í2,2.70,4/29/2012
2523,13,Í2,2.60,4/30/2012
2546,1,Í1,9.55,4/10/2012
2546,2,Í1,9.50,4/11/2012
2546,3,Í1,9.36,4/12/2012
2546,4,Í1,9.37,4/13/2012
2546,5,Í1,9.42,4/16/2012
2546,6,Í1,9.18,4/17/2012
2546,7,Í1,9.06,4/18/2012
2546,8,Í1,9.14,4/19/2012
2546,9,Í1,9.14,4/20/2012
2546,10,Í1,9.15,4/23/2012
2546,11,Í1,9.17,4/24/2012
2546,12,Í1,9.14,4/25/2012
2546,13,Í1,9.23,4/26/2012
2546,14,Í1,9.80,4/27/2012
2843,1,Í3,49.88,4/26/2012
2843,2,Í3,48.86,4/27/2012
2921,1,Í2,14.65,4/25/2012
2921,2,Í2,14.10,4/27/2012
