REGN,C1_3,C2_3,C3_3,C4_3
384,1,Í12,0.10,7/1/2010
384,2,Í12,0.10,7/2/2010
384,3,Í12,0.10,7/3/2010
384,4,Í12,0.10,7/4/2010
384,5,Í12,0.10,7/5/2010
384,6,Í12,0.10,7/6/2010
384,7,Í12,0.10,7/7/2010
384,8,Í12,0.10,7/8/2010
384,9,Í12,0.10,7/9/2010
384,10,Í12,0.10,7/10/2010
384,11,Í12,0.10,7/11/2010
384,12,Í12,0.10,7/12/2010
384,13,Í12,0.10,7/13/2010
384,14,Í12,0.10,7/14/2010
384,15,Í12,0.10,7/15/2010
384,16,Í12,0.10,7/16/2010
384,17,Í12,0.10,7/17/2010
384,18,Í12,0.10,7/18/2010
384,19,Í12,0.10,7/19/2010
384,20,Í12,0.10,7/20/2010
384,21,Í12,0.10,7/21/2010
384,22,Í12,0.10,7/22/2010
384,23,Í12,0.10,7/23/2010
384,24,Í12,0.10,7/24/2010
384,25,Í12,0.10,7/25/2010
384,26,Í12,0.10,7/26/2010
384,27,Í12,0.10,7/27/2010
384,28,Í12,0.10,7/28/2010
384,29,Í12,0.10,7/29/2010
384,30,Í12,0.10,7/30/2010
384,31,Í15,52.60,7/1/2010
384,32,Í15,57.00,7/2/2010
384,33,Í15,60.60,7/3/2010
384,34,Í15,60.70,7/4/2010
384,35,Í15,60.10,7/5/2010
384,36,Í15,64.30,7/6/2010
384,37,Í15,63.50,7/7/2010
384,38,Í15,63.20,7/8/2010
384,39,Í15,60.80,7/9/2010
384,40,Í15,64.60,7/10/2010
384,41,Í15,64.80,7/11/2010
384,42,Í15,61.90,7/12/2010
384,43,Í15,62.80,7/13/2010
384,44,Í15,61.10,7/14/2010
384,45,Í15,59.10,7/15/2010
384,46,Í15,58.40,7/16/2010
384,47,Í15,61.20,7/17/2010
384,48,Í15,64.10,7/18/2010
384,49,Í15,61.50,7/19/2010
384,50,Í15,62.10,7/20/2010
384,51,Í15,64.40,7/21/2010
384,52,Í15,64.30,7/22/2010
384,53,Í15,62.50,7/23/2010
384,54,Í15,64.60,7/24/2010
384,55,Í15,67.30,7/25/2010
384,56,Í15,68.50,7/26/2010
384,57,Í15,71.10,7/27/2010
384,58,Í15,72.20,7/28/2010
384,59,Í15,72.60,7/29/2010
384,60,Í15,73.20,7/30/2010
384,61,Í15,74.90,7/31/2010
384,62,Í16.1,297.00,7/1/2010
384,63,Í16.1,294.80,7/2/2010
384,64,Í16.1,292.10,7/3/2010
384,65,Í16.1,291.90,7/4/2010
384,66,Í16.1,284.00,7/5/2010
384,67,Í16.1,278.50,7/6/2010
384,68,Í16.1,273.20,7/7/2010
384,69,Í16.1,268.70,7/8/2010
384,70,Í16.1,278.40,7/9/2010
384,71,Í16.1,275.30,7/10/2010
384,72,Í16.1,275.10,7/11/2010
384,73,Í16.1,272.00,7/12/2010
384,74,Í16.1,267.40,7/13/2010
384,75,Í16.1,263.70,7/14/2010
384,76,Í16.1,259.00,7/15/2010
384,77,Í16.1,258.30,7/16/2010
384,78,Í16.1,256.70,7/17/2010
384,79,Í16.1,256.60,7/18/2010
384,80,Í16.1,256.90,7/19/2010
384,81,Í16.1,253.90,7/20/2010
384,82,Í16.1,268.40,7/21/2010
384,83,Í16.1,265.80,7/22/2010
384,84,Í16.1,261.80,7/23/2010
384,85,Í16.1,260.50,7/24/2010
384,86,Í16.1,260.40,7/25/2010
384,87,Í16.1,258.20,7/26/2010
384,88,Í16.1,255.20,7/27/2010
384,89,Í16.1,252.30,7/28/2010
384,90,Í16.1,250.80,7/29/2010
384,91,Í16.1,283.70,7/30/2010
384,92,Í16.1,282.00,7/31/2010
817,1,Í3,47.70,7/23/2010
1002,1,Í3,42.80,7/30/2010
1134,1,Í2,14.30,7/19/2010
1134,2,Í2,8.40,7/20/2010
2749,1,Í16.1,17.80,7/1/2010
2749,2,Í16.1,17.80,7/2/2010
2749,3,Í16.1,17.80,7/3/2010
2749,4,Í16.1,17.80,7/4/2010
2749,5,Í16.1,17.80,7/5/2010
2749,6,Í16.1,17.70,7/6/2010
2749,7,Í16.1,17.60,7/7/2010
2749,8,Í16.1,17.60,7/8/2010
2749,9,Í16.1,17.60,7/9/2010
2749,10,Í16.1,17.60,7/10/2010
2749,11,Í16.1,17.60,7/11/2010
2749,12,Í16.1,17.50,7/12/2010
2749,13,Í16.1,17.50,7/13/2010
2749,14,Í16.1,17.50,7/14/2010
2749,15,Í16.1,17.60,7/15/2010
2749,16,Í16.1,17.60,7/16/2010
2749,17,Í16.1,17.60,7/17/2010
2749,18,Í16.1,17.60,7/18/2010
2749,19,Í16.1,17.50,7/19/2010
2749,20,Í16.1,17.50,7/20/2010
2749,21,Í16.1,17.50,7/21/2010
2749,22,Í16.1,17.50,7/22/2010
2749,23,Í16.1,17.50,7/23/2010
2749,24,Í16.1,17.50,7/24/2010
2749,25,Í16.1,17.50,7/25/2010
2749,26,Í16.1,17.50,7/26/2010
2749,27,Í16.1,17.50,7/27/2010
2749,28,Í16.1,17.40,7/28/2010
2749,29,Í16.1,17.40,7/29/2010
2749,30,Í16.1,18.10,7/30/2010
2749,31,Í16.1,18.10,7/31/2010
3282,1,Í3,40.50,7/1/2010
3282,2,Í3,38.20,7/2/2010
3282,3,Í3,38.00,7/3/2010
3282,4,Í3,42.30,7/5/2010
3282,5,Í3,35.50,7/6/2010
3282,6,Í3,34.80,7/7/2010
3282,7,Í3,26.20,7/8/2010
3282,8,Í3,40.60,7/9/2010
3282,9,Í3,43.70,7/10/2010
3282,10,Í3,34.50,7/12/2010
3282,11,Í3,44.80,7/13/2010
3282,12,Í3,44.20,7/14/2010
3346,1,Í1,11.00,7/1/2010
3391,1,Í2,2.50,7/20/2010
