REGN,C1_3,C2_3,C3_3,C4_3
1,Í1,13.67,,
1,Í2,140.78,,
1,Í3,88.51,,
1,Í4,79.04,,
1,Í7,118.98,,
1,Í9.1,0.00,,
1,Í10.1,0.17,,
1,Í12,6.60,,
1,Í18,108.66,,
2,Í1,31.76,,
2,Í2,21.17,,
2,Í3,64.41,,
2,Í4,107.05,,
2,Í7,177.75,,
2,Í9.1,0.10,,
2,Í10.1,0.24,,
2,Í12,0.00,,
5,Í1,12.39,,
5,Í2,45.34,,
5,Í3,85.82,,
5,Í4,54.57,,
5,Í7,300.60,,
5,Í9.1,1.14,,
5,Í10.1,1.47,,
5,Í12,0.00,,
18,Í1,12.34,,
18,Í2,84.31,,
18,Í3,84.52,,
18,Í4,65.20,,
18,Í7,152.87,,
18,Í9.1,0.00,,
18,Í10.1,2.63,,
18,Í12,0.00,,
21,Í1,21.92,,
21,Í2,101.48,,
21,Í3,133.13,,
21,Í4,104.88,,
21,Í7,147.87,,
21,Í9.1,0.00,,
21,Í10.1,1.69,,
21,Í12,0.00,,
23,Í1,11.95,,
23,Í2,61.28,,
23,Í3,120.88,,
23,Í4,68.04,,
23,Í7,532.60,,
23,Í9.1,0.00,,
23,Í10.1,0.86,,
23,Í12,5.31,,
52,Í1,10.77,,
52,Í2,74.21,,
52,Í3,80.79,,
52,Í4,56.47,,
52,Í7,427.30,,
52,Í9.1,0.07,,
52,Í10.1,2.88,,
52,Í12,0.00,,
53,Í1,11.50,,
53,Í2,30.76,,
53,Í3,65.51,,
53,Í4,60.60,,
53,Í7,575.34,,
53,Í9.1,0.00,,
53,Í10.1,0.83,,
53,Í12,0.00,,
55,Í1,13.11,,
55,Í2,51.66,,
55,Í3,68.69,,
55,Í4,25.23,,
55,Í7,291.28,,
55,Í9.1,0.01,,
55,Í10.1,0.18,,
55,Í12,0.00,,
65,Í1,11.81,,
65,Í2,46.96,,
65,Í3,71.25,,
65,Í4,73.51,,
65,Í7,207.61,,
65,Í9.1,0.00,,
65,Í10.1,1.75,,
65,Í12,0.00,,
67,Í1,23.83,,
67,Í2,29.16,,
67,Í3,51.25,,
67,Í4,100.65,,
67,Í7,237.16,,
67,Í9.1,4.33,,
67,Í10.1,0.45,,
67,Í12,0.00,,
77,Í1,12.24,,
77,Í2,31.20,,
77,Í3,63.67,,
77,Í4,70.92,,
77,Í7,517.93,,
77,Í9.1,0.00,,
77,Í10.1,0.48,,
77,Í12,0.41,,
85,Í1,15.58,,
85,Í2,64.13,,
85,Í3,85.59,,
85,Í4,72.23,,
85,Í7,280.51,,
85,Í10.1,2.20,,
96,Í1,19.59,,
96,Í2,114.32,,
96,Í3,167.50,,
96,Í4,30.98,,
96,Í7,271.98,,
96,Í9.1,0.00,,
96,Í10.1,2.45,,
96,Í12,0.00,,
101,Í1,13.63,,
101,Í2,66.42,,
101,Í3,55.89,,
101,Í4,8.72,,
101,Í7,522.25,,
101,Í9.1,2.73,,
101,Í10.1,0.64,,
101,Í12,0.00,,
103,Í1,30.58,,
103,Í2,48.64,,
103,Í3,90.00,,
103,Í4,26.10,,
103,Í7,160.23,,
103,Í9.1,0.00,,
103,Í10.1,2.42,,
103,Í12,0.00,,
106,Í1,26.17,,
106,Í2,38.27,,
106,Í3,59.55,,
106,Í4,74.86,,
106,Í7,248.90,,
106,Í10.1,0.69,,
107,Í1,11.49,,
107,Í2,22.33,,
107,Í3,64.80,,
107,Í4,74.56,,
107,Í7,262.58,,
107,Í9.1,5.10,,
107,Í10.1,0.13,,
107,Í12,1.03,,
121,Í1,24.69,,
121,Í2,84.17,,
121,Í3,116.24,,
121,Í4,14.83,,
121,Í7,125.51,,
121,Í9.1,0.00,,
121,Í10.1,0.06,,
121,Í12,0.00,,
138,Í1,10.48,,
138,Í2,95.47,,
138,Í3,99.07,,
138,Í4,30.83,,
138,Í7,198.37,,
138,Í9.1,0.00,,
138,Í10.1,0.48,,
138,Í12,0.00,,
142,Í1,48.17,,
142,Í2,79.67,,
142,Í3,105.83,,
142,Í4,56.15,,
