REGN,C1_4,C2_4,C3_4,C4_4
481,1,Í10.1,45.24,1/9/2013
481,2,Í10.1,45.23,1/10/2013
481,3,Í10.1,45.21,1/11/2013
481,4,Í10.1,45.20,1/14/2013
481,5,Í10.1,45.20,1/15/2013
481,6,Í10.1,45.35,1/16/2013
481,7,Í10.1,45.34,1/17/2013
481,8,Í10.1,45.29,1/18/2013
481,9,Í10.1,45.31,1/21/2013
481,10,Í10.1,45.30,1/22/2013
481,11,Í10.1,45.29,1/23/2013
481,12,Í10.1,45.29,1/24/2013
481,13,Í10.1,45.14,1/25/2013
481,14,Í10.1,45.06,1/28/2013
481,15,Í10.1,45.01,1/29/2013
481,16,Í10.1,44.85,1/30/2013
481,17,Í10.1,44.12,1/31/2013
1860,1,Í15,84.22,1/9/2013
1860,2,Í15,84.21,1/10/2013
1860,3,Í15,84.16,1/11/2013
1860,4,Í15,84.17,1/12/2013
1860,5,Í15,84.17,1/13/2013
1860,6,Í15,83.28,1/14/2013
1860,7,Í15,80.41,1/15/2013
1860,8,Í15,82.90,1/16/2013
1860,9,Í15,82.90,1/17/2013
1860,10,Í15,82.66,1/18/2013
1860,11,Í15,82.90,1/19/2013
1860,12,Í15,82.90,1/20/2013
1860,13,Í15,82.90,1/21/2013
1860,14,Í15,91.67,1/22/2013
1860,15,Í15,91.52,1/23/2013
1860,16,Í15,92.32,1/24/2013
1860,17,Í15,92.40,1/25/2013
1860,18,Í15,92.40,1/26/2013
1860,19,Í15,92.40,1/27/2013
1860,20,Í15,92.40,1/28/2013
1860,21,Í15,93.19,1/29/2013
1860,22,Í15,93.35,1/30/2013
1860,23,Í15,94.51,1/31/2013
2836,1,Í2,1.36,1/9/2013
2836,2,Í2,1.35,1/10/2013
2836,3,Í2,1.82,1/11/2013
2836,4,Í2,2.57,1/14/2013
2836,5,Í2,3.17,1/15/2013
2836,6,Í2,7.30,1/29/2013
2836,7,Í2,5.91,1/30/2013
2836,8,Í2,10.47,1/31/2013
3000,1,Í10.1,3.01,1/14/2013
3000,2,Í10.1,3.07,1/15/2013
3000,3,Í10.1,3.10,1/16/2013
3000,4,Í10.1,3.10,1/17/2013
3000,5,Í10.1,4.13,1/29/2013
3000,6,Í10.1,4.09,1/30/2013
3000,7,Í10.1,3.78,1/31/2013
