REGN,C1_2,C2_2
1,Ар,425980989.00
1,Ар1,0.00
1,Ар2,31803991.00
1,Ар3,0.00
1,Ар4,394176998.00
1,Ар5,0.00
1,Ариск0,129037344.00
1,К,97370276.00
1,Кф,1.00
1,Кинс,7593965.00
1,Крас,0.00
1,Крд,292783857.00
1,Крис,187332.00
1,КРС,11317757.00
1,КРВ,106664735.00
1,Кскр,163592236.00
1,ЛАм,86265126.00
1,ЛАт,171988146.00
1,ОД,151941059.00
1,ОР,4105471.00
1,ОВм,150253788.00
1,ОВт,282964432.00
1,ПК,172896649.00
1,Приз,3.00
1,И,3.00
1,РР,34136453.00
1,ПР,1901077.33
1,ОПР,1294027.89
1,СПР,607049.44
1,ФР,929113.69
1,ОФР,619409.13
1,СФР,309704.56
1,ВР,5834542.75
1,99,6.16
2,Ар,226982.00
2,Ар1,0.00
2,Ар2,5147.00
2,Ар3,0.00
2,Ар4,221835.00
2,Ар5,0.00
2,Ариск0,80819.00
2,К,678694.00
2,Кф,0.67
2,Кинс,0.00
2,Крас,673.00
2,Крд,623386.00
2,Крис,785.00
2,КРВ,17740.00
2,Кскр,1148715.00
2,ЛАм,116700.00
2,ЛАт,282309.00
2,ОД,14.00
2,ОР,28446.00
2,ОВм,450579.00
2,ОВт,456711.00
2,ПК,1248953.00
2,РР,33066.00
2,ПР,0.00
2,ОПР,0.00
2,СПР,0.00
2,ФР,0.00
2,ОФР,0.00
2,СФР,0.00
2,ВР,33066.13
2,99,0.00
5,Ар,4899848.00
5,Ар1,0.00
5,Ар2,147328.00
5,Ар3,0.00
5,Ар4,4752520.00
5,Ар5,0.00
5,Ариск0,1549903.00
5,К,725429.00
5,Кф,0.89
5,Кинс,0.00
5,Крас,7550.00
5,Крд,1598488.00
5,Крис,11380.00
5,КРС,5912.00
5,КРВ,34379.00
5,Кскр,2407321.00
5,ЛАм,1689465.00
5,ЛАт,2457995.00
5,ОД,1609212.00
5,ОР,58659.00
5,ОВм,2763984.00
5,ОВт,2782595.00
5,ПК,450803.00
5,РР,128069.00
5,ПР,12806.92
5,ОПР,7140.64
5,СПР,5666.28
5,ФР,0.00
5,ОФР,0.00
5,СФР,0.00
5,ВР,0.00
5,99,10.60
18,Ар,10426568.00
18,Ар1,0.00
18,Ар2,670344.00
18,Ар3,7623.00
18,Ар4,9748601.00
18,Ар5,0.00
18,Ариск0,5410864.00
18,К,2964177.00
18,Кф,0.83
18,Кинс,0.00
18,Крас,0.00
18,Крд,4990149.00
18,Крис,36942.00
18,КРС,0.00
18,КРВ,2973607.00
18,Кскр,6834953.00
18,ЛАм,4619562.00
18,ЛАт,5441956.00
18,ОД,4620164.00
18,ОР,141717.00
18,ОВм,6895902.00
18,ОВт,9220689.00
18,ПК,10724072.00
18,РР,1168700.00
18,ПР,116870.00
18,ОПР,57685.00
18,СПР,59185.00
18,ФР,0.00
18,ОФР,0.00
18,СФР,0.00
18,ВР,0.00
18,99,0.00
21,Ар,186887.00
21,Ар1,0.00
21,Ар2,62788.00
21,Ар3,0.00
21,Ар4,124099.00
21,Ар5,0.00
21,Ариск0,163675.00
21,К,205247.00
21,Кф,0.80
21,Кинс,0.00
21,Крас,0.00
21,Крд,160784.00
21,Крис,5736.00
21,КРС,0.00
21,КРВ,16815.00
21,Кскр,453961.00
21,ЛАм,400798.00
21,ЛАт,580912.00
21,ОД,57803.00
21,ОР,19234.00
21,ОВм,611014.00
21,ОВт,637514.00
21,ПК,569919.00
21,РР,7452.00
21,ПР,0.00
21,ОПР,0.00
21,СПР,0.00
21,ФР,0.00
21,ОФР,0.00
21,СФР,0.00
21,ВР,7452.10
21,99,0.00
23,Ар,20233836.00
23,Ар1,0.00
23,Ар2,226641.00
23,Ар3,88779.00
23,Ар4,19918416.00
23,Ар5,0.00
23,Ариск0,1469266.00
23,К,3061093.00
23,Кф,0.86
23,Кинс,172533.00
23,Крас,2.00
23,Крд,6600214.00
23,Крис,20592.00
23,КРС,0.00
23,КРВ,18385.00
23,Кскр,16714104.00
23,ЛАм,1581677.00
23,ЛАт,5056661.00
23,ОД,1398018.00
23,ОР,141727.00
23,ОВм,4292808.00
23,ОВт,5543256.00
23,ПК,2947260.00
23,РР,0.00
23,ПР,0.00
23,ОПР,0.00
23,СПР,0.00
23,ФР,0.00
23,ОФР,0.00
23,СФР,0.00
23,ВР,0.00
23,99,3.10
52,Ар,7381582.00
52,Ар1,0.00
52,Ар2,745433.00
52,Ар4,6636149.00
52,Ариск0,1252374.00
52,К,1277989.00
52,Кф,1.13
52,Крас,680.00
52,Крд,2152164.00
52,Крис,16620.00
52,КРВ,464900.00
52,Кскр,4639036.00
52,ЛАм,4483361.00
52,ЛАт,5073306.00
52,ОД,980620.00
52,ОР,131810.00
52,ОВм,7131204.00
52,ОВт,7296716.00
52,ПК,1307924.00
52,ПР,0.00
52,ОПР,0.00
52,СПР,0.00
52,ФР,0.00
52,ОФР,0.00
52,СФР,0.00
52,ВР,0.00
52,99,0.00
53,Ар,8219860.00
53,Ар1,0.00
53,Ар2,106489.00
