REGN,C1_1,C2_1
1,8700.1,3084880
1,8700.0,3084880
1,8700.2,3084880
1,8702,60007
1,8703.1,18795351
1,8703.0,18795351
1,8703.2,18795351
1,8705,1
1,8707.0,6659614
1,8707.1,6659614
1,8707.2,6659614
1,8708.0,13418329
1,8708.1,13418329
1,8708.2,13418329
1,8709.0,2312298
1,8709.2,2312298
1,8709.1,2312298
1,8710.1,163635341
1,8710.0,163635341
1,8710.2,163635341
1,8711.1,15000
1,8711.0,15000
1,8711.2,15000
1,8712.0,540262
1,8712.1,540262
1,8712.2,540262
1,8713.1,18683325
1,8713.0,18683325
1,8713.2,18683325
1,8801.0,6659614
1,8801.1,6659614
1,8801.2,6659614
1,8808.0,173393834
1,8808.1,173393834
1,8808.2,173393834
1,8809.0,185259371
1,8809.1,185259371
1,8809.2,185259371
1,8810,114448769
1,8811,19094817
1,8812.0,28844480
1,8812.1,28844480
1,8812.2,28844480
1,8813.0,71507835
1,8813.2,71507835
1,8813.1,71507835
1,8814.1,104991899
1,8814.0,104991899
1,8814.2,104991899
1,8815,9392722
1,8816,14089083
1,8817.0,17120371
1,8817.1,17120371
1,8817.2,17120371
1,8818.0,18404607
1,8818.2,18404607
1,8818.1,18404607
1,8821,573094
1,8822,816635
1,8825.0,253409
1,8825.1,253409
1,8825.2,253409
1,8826.0,380065
1,8826.1,380065
1,8826.2,380065
1,8827,58117
1,8828,87176
1,8829,361456
1,8830,523959
1,8831,8345441
1,8832,7694754
1,8833.1,502298
1,8833.2,502298
1,8833.0,502298
1,8834.0,732141
1,8834.1,732141
1,8834.2,732141
1,8846,177013
1,8847,31600
1,8848,2246392
1,8854,23970113
1,8855.0,529953
1,8855.2,529953
1,8855.1,529953
1,8856.0,45682833
1,8856.1,45682833
1,8856.2,45682833
1,8857.1,41981156
1,8857.0,41981156
1,8857.2,41981156
1,8858,2578359
1,8858.1,7512830
1,8859,2588446
1,8859.1,7201582
1,8860.1,9
1,8861.1,71
1,8862,15227
1,8863,18525
1,8863.1,77003
1,8864,1480
1,8864.1,14629
1,8865,32484
1,8865.1,332823
1,8868,587154
1,8877,981921
1,8878.1,245480
1,8879,613700
1,8902,10036071
1,8904,228905
1,8908,300000
1,8910,113297189
1,8911,99019
1,8912.0,13418329
1,8912.1,13418329
1,8912.2,13418329
1,8914,24485592
1,8918,159025173
1,8919,245480
1,8921,13418329
1,8922,78943354
1,8925,217399
1,8928,90827
1,8930,137934382
1,8933,6483229
1,8935,5146045
1,8938,1308552
1,8941.0,2312298
1,8941.1,2312298
1,8941.2,2312298
1,8942,5506229
1,8945.0,33630392
1,8945.1,33630392
1,8945.2,33630392
1,8950,64712
1,8951,5089863
1,8953.0,163635341
1,8953.1,163635341
1,8953.2,163635341
1,8954.0,15000
1,8954.1,15000
1,8954.2,15000
1,8956.0,1778488
1,8956.1,1778488
1,8956.2,1778488
1,8957.0,1632430
1,8957.1,1632430
1,8957.2,1632430
1,8959.0,2889668
1,8959.1,2889668
1,8959.2,2889668
1,8960.0,540262
1,8960.1,540262
1,8960.2,540262
1,8961,1237516
1,8962,9203037
1,8964.0,18683325
1,8964.1,18683325
1,8964.2,18683325
1,8972,13060194
1,8973,439178
1,8974.0,506084
1,8974.1,506084
1,8974.2,506084
1,8976,31984
1,8978,172189122
1,8987,17780870
1,8989,77445448
1,8991,92573598
1,8993,58631
1,8994,63208
1,8996,399532992
1,8998,187480225
2,8702,133
2,8703.1,53684
2,8703.2,53684
2,8703.0,53684
2,8704.1,3080
2,8704.2,3080
2,8704.0,3080
2,8705,1
2,8708.0,29487
2,8708.1,29487
2,8708.2,29487
2,8710.0,41064
2,8710.2,41064
2,8710.1,41064
2,8713.1,9639
2,8713.0,9639
2,8713.2,9639
2,8810,47121
2,8811,250
2,8812.0,67899
2,8812.1,67899
2,8812.2,67899
2,8813.0,986691
2,8813.1,986691
2,8813.2,986691
2,8814.0,1079183
2,8814.1,1079183
2,8814.2,1079183
2,8821,35703
2,8822,42830
2,8827,335
2,8828,327
2,8831,73636
2,8832,98726
2,8846,8459
2,8847,423
2,8848,8459
2,8855.0,629909
2,8855.1,629909
2,8855.2,629909
2,8857.0,671591
2,8857.1,671591
2,8857.2,671591
2,8874,2
2,8877,10
2,8884,186
2,8910,77421
2,8912.0,29487
2,8912.1,29487
2,8912.2,29487
2,8914,5460
2,8918,26803
2,8921,29487
2,8925,963
2,8926,919
2,8942,27697
2,8945.0,10000
2,8945.1,10000
2,8945.2,10000
2,8953.1,41064
2,8953.0,41064
2,8953.2,41064
2,8956.0,980534
2,8956.1,980534
