REGN,C1_3,C2_3
1,Í1,13.50
1,Í2,60.17
1,Í3,60.96
1,Í4,98.69
1,Í7,159.47
1,Í9.1,0.00
1,Ò1,1248.00
1,Ò2,116.00
1,Í10.1,0.21
1,Í12,16.20
1,Í17,76.47
1,Í18,115.61
1,Í19,0.00
2,Í1,36.07
2,Í2,38.82
2,Í3,67.87
2,Í4,97.55
2,Í7,169.43
2,Í9.1,0.29
2,Í10.1,0.00
2,Í12,0.00
5,Í1,12.37
5,Í2,73.16
5,Í3,95.19
5,Í4,72.27
5,Í7,347.43
5,Í9.1,1.61
5,Í10.1,2.52
5,Í12,0.00
18,Í1,14.18
18,Í2,37.31
18,Í3,50.74
18,Í4,39.22
18,Í7,321.04
18,Í9.1,0.00
18,Í10.1,1.24
18,Í12,0.00
21,Í1,18.39
21,Í2,87.64
21,Í3,106.93
21,Í4,83.30
21,Í7,266.77
21,Í9.1,0.00
21,Í10.1,1.64
21,Í12,0.00
23,Í1,13.63
23,Í2,62.96
23,Í3,163.24
23,Í4,61.82
23,Í7,541.81
23,Í9.1,0.02
23,Í10.1,0.58
23,Í12,0.00
52,Í1,11.61
52,Í2,69.68
52,Í3,77.25
52,Í4,45.45
52,Í7,450.12
52,Í9.1,3.60
52,Í10.1,0.67
52,Í12,0.00
53,Í1,11.96
53,Í2,45.39
53,Í3,88.33
53,Í4,69.67
53,Í7,528.16
53,Í9.1,0.00
53,Í10.1,1.06
53,Í12,0.00
55,Í1,13.39
55,Í2,56.18
55,Í3,60.49
55,Í4,75.98
55,Í7,364.26
55,Í9.1,10.32
55,Í10.1,0.76
55,Í12,0.00
65,Í1,13.03
65,Í2,40.00
65,Í3,69.75
65,Í4,84.60
65,Í7,379.67
65,Í9.1,0.00
65,Í10.1,2.50
65,Í12,0.00
67,Í1,23.51
67,Í2,42.49
67,Í3,63.03
67,Í4,115.41
67,Í7,226.64
67,Í9.1,0.00
67,Í10.1,0.20
67,Í12,0.00
77,Í1,12.98
77,Í2,45.04
77,Í3,74.53
77,Í4,56.84
77,Í7,503.35
77,Í9.1,0.00
77,Í10.1,0.94
77,Í12,0.00
84,Í1,12.41
84,Í2,45.83
84,Í3,68.06
84,Í4,109.83
84,Í7,87.45
84,Í9.1,3.76
84,Í10.1,1.70
84,Í12,0.00
85,Í1,17.35
85,Í2,58.44
85,Í3,112.40
85,Í4,56.47
85,Í7,327.95
85,Í9.1,0.00
85,Í10.1,1.73
85,Í12,0.00
96,Í1,20.13
96,Í2,63.13
96,Í3,100.92
96,Í4,42.65
96,Í7,304.00
96,Í9.1,0.00
96,Í10.1,2.90
96,Í12,0.00
