REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,C2_5
1,45,09807247,1027739082106,1,044525545,2/1/2013,ЗАО ЮниКредит Банк,"119034,  г. Москва, Пречистенская набережная, д.9",17
2,40,11157058,1027800000250,2,044030869,2/1/2013,"ЗАО ""КАБ ""Викинг""","191002 Санкт-Петербург, Владимирский пр. дом 17",31
5,45,09808117,1027739069478,5,044583501,2/1/2013,"Банк ""Кредит-Москва"" (ОАО)","115054,  г. Москва, 6-й Монетчиковский пер., д. 8, стр. 1",31
18,45,06905897,1037711012525,18,044585718,2/1/2013,"ОАО КБ ""Стройкредит""","109544, г. Москва, ул. Большая Андроньевская, д. 17",20
21,05,09241840,1022500001325,21,040507717,2/1/2013,"ООО ""Примтеркомбанк""","690091, Приморский край, г. Владивосток, ул. Адмирала Фокина, 25",20
23,36,09806035,1026300002200,23,043678700,2/1/2013,ОАО Банк АВБ,"445021, Самарская обл., г.Тольятти, ул.Голосова, 26 А",17
52,40,05437279,1027800001261,52,044030754,2/1/2013,"ОАО ""Энергомашбанк""","195027, Российская Федерация,  г. Санкт-Петербург, Пискаревский пр., дом 2, корп. 2, лит.Щ",31
53,40,05435949,1027800000194,53,044030755,2/1/2013,"ОАО Банк ""АЛЕКСАНДРОВСКИЙ""","191119, Санкт-Петербург, Загородный пр., 46, литер Б, корпус 2",31
55,45,09806271,1027739270294,55,044583303,2/1/2013,"ОАО МАБ ""Темпбанк""","109044,  г. Москва, ул. Крутицкий вал, д. 26, строение 2",30
65,65,09806207,1026600001955,65,046577768,2/1/2013,"ООО КБ ""КОЛЬЦО УРАЛА""","620075, Свердловская область, г.Екатеринбург, ул. Горького, д.7",25
67,92,09265941,1021600000289,67,049205770,2/1/2013,"АКБ ""Энергобанк"" (ОАО)","420021, г.Казань, ул.Сары Садыковой, д.32",17
77,45,05838400,1027700568224,77,044583125,2/1/2013,МОРСКОЙ БАНК (ОАО),"117105, г. Москва, Варшавское шоссе, дом 1, строение 1-2",17
85,05,09241863,1022500001930,85,040518780,2/1/2013,"ОАО КБ ""САММИТ БАНК""","692806, Приморский край, г.Большой Камень , ул. Гагарина,37",17
96,32,09806360,1024200001891,96,043207720,2/1/2013,"ОАО ""Кемсоцинбанк""","650000, Кемеровская область, г.Кемерово, Центральный район, ул.Дзержинского, дом № 12",22
101,50,16578422,1055400000369,101,045005820,2/1/2013,"ОАО ""БКС Банк""","630099, г. Новосибирск, ул. Советская, д.18",26
103,45,29313458,1027739480548,103,044585749,2/1/2013,"ООО ""РКБ""","115054,  г. Москва, ул. Бахрушина, дом 23, строение 2",17
106,60,09806526,1026100002026,106,046015860,2/1/2013,"ОАО АКБ ""Сельмашбанк""","344029, г. Ростов-на-Дону, пр. Сельмаш, 102",21
107,45,09806319,1023900001070,107,044585729,2/1/2013,"АКБ ""Инвестбанк"" (ОАО)","109240, г.Москва, ул. Гончарная, д. 12, стр. 1",31
121,45,09806868,1027739198387,121,044525514,2/1/2013,"ЗАО АКБ ""ЦентроКредит""","119017,  г. Москва, ул.Пятницкая, д.31/2, стр. 1",31
138,41,09806957,1027800004517,138,044106725,2/1/2013,"ОАО ""Рускобанк""","188640, Ленинградская область, город Всеволожск, Всеволожский проспект, дом 29",31
142,05,09806970,1032500000532,142,040507713,2/1/2013,"ЗАО ""ДАЛТА-БАНК""","690003, г.Владивосток, ул.Станюковича, 3",17
149,29,09808560,1024900000180,149,042908746,2/1/2013,"АКБ ""Надежный банк"" (ОАО)","248000, г. Калуга, ул. Ленина, 102-а",17
153,65,09808005,1026600000602,153,046568782,2/1/2013,"ЗАО ""Уралприватбанк""","Россйская Федерация, 620219, город Екатеринбург, ул. Первомайская, д. 26",23
155,45,09806153,1027739284099,155,044552108,2/1/2013,"ООО КБСИ ""Стройиндбанк""","109004, Москва, ул. Александра Солженицына, д. 8, стр. 1",17
170,52,09808583,1025500003737,170,045209714,2/1/2013,"ЗАО ""Банк Сибирь""","644024, г.Омск, ул.Маршала Жукова, 21",17
184,82,09808672,1020500001345,184,048209763,2/1/2013,"ООО ИКБ ""МЕСЕД""","367015, Республика Дагестан, г. Махачкала,  ул. Ярагского, 93  ""А""",17
197,40,09806578,1027800001547,197,044030760,2/1/2013,"ОАО ""МБСП""","194044, Санкт-Петербург, Крапивный пер., 5",17
208,52,09227917,1025500000459,208,045209713,2/1/2013,"ЗАО ""КБ ""СИБЭС""","644007, г.Омск, ул. Рабиновича, 132/134",17
210,45,09806561,1027739290270,210,044599457,2/1/2013,"ЗАО АКБ ""Экспресс-кредит""","105037,  г. Москва, ул.3-я Прядильная, д.3",31
212,61,09807224,1026200000111,212,046126708,2/1/2013,Прио-Внешторгбанк (ОАО),"390023, г. Рязань, ул. Есенина,д.82/26",28
226,45,09807359,1027700351106,226,044552521,2/1/2013,"ЗАО КБ ""Росинтербанк""","107045,  г. Москва, ул. Сретенка, д. 16/2",24
232,03,09808815,1102300004938,232,040396717,2/1/2013,ЗАО Банк ЗЕНИТ Сочи,"354000, Краснодарский край, г. Сочи, ул. Навагинская, 14",17
236,45,17546329,1027739412359,236,044585728,2/1/2013,"ООО ""СПЕЦСТРОЙБАНК""","109004,  г. Москва, ул. Александра Солженицына, д. 12, стр. 4",17
249,57,09807543,1025900000048,249,045773790,2/1/2013,"ОАО АКБ ""Урал ФД""","614990, г. Пермь, ул. Ленина, 64",21
254,33,10919075,1024300000042,254,043304711,2/1/2013,"ОАО КБ ""Хлынов""","610002, г.Киров, ул. Урицкого, д. 40",31
256,45,09807336,1026900005307,256,044552911,2/1/2013,"ОАО ""ГУТА-БАНК""","107078, г. Москва, Орликов пер., д. 5, стр. 3",17
272,45,09807649,1027739137535,272,044583544,2/1/2013,"АКБ ""ИРС"" (ЗАО)","127422,  г. Москва, ул.Тимирязевская, д.26",17
282,36,09808755,1026300001782,282,043601709,2/1/2013,"ОАО ""Волго-Камский банк""","443096, город Самара, Ленинский район, проспект Карла Маркса, д.10",17
286,45,09807833,1027700207490,286,044552620,2/1/2013,"Коммерческий Банк ""Аскания Траст"" (ООО)","101000,  г. Москва, ул. Покровка, д. 10, стр. 1",17
312,22,09809068,1025200000528,312,042202722,2/1/2013,"ЗАО ""ВОКБАНК""","603950, г.Нижний Новгород, улица Полтавская, д.14",20
316,45,09807804,1027700280937,316,044585216,2/1/2013,"ООО ""ХКФ Банк""","125040, г. Москва, ул. Правды, д. 8, корпус 1",31
323,50,09804094,1025400001571,323,045004821,2/1/2013,"ОАО ""МДМ Банк""","630004,  г. Новосибирск, улица Ленина, 18",31
324,45,09804102,1037739057070,324,044525057,2/1/2013,"ОАО ""БАНК РОССИЙСКИЙ КРЕДИТ""","125252,  г. Москва, ул. Сальвадора Альенде, д. 7",20
