REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_4
1,45,09807247,1027739082106,1,044525545,10/1/2010,ЗАО ЮниКредит Банк,"119034,  г. Москва, Пречистенская набережная, д.9",Председатель Правления,М.Ю. Алексеев,"Главный бухгалтер, Директор департамета ДБУиО",О.А. Гончарова,Начальник Управления,Г.Е. Чернышева,258-65-04,22
2,40,11157058,1027800000250,2,044030869,10/1/2010,"ЗАО ""КАБ ""Викинг""","191002 Санкт-Петербург, Владимирский пр. дом 17",Заместитель Председателя Правления,Мунтян Ю.В.,Заместитель главного бухгалтера,Паламарчук И.В.,Нач. отдела,Абакумова Т.А.,320-33-20(7154),30
23,36,09806035,1026300002200,23,043678700,10/1/2010,ОАО Банк АВБ,"445021, Самарская обл., г.Тольятти, ул.Голосова, 26 А",Руководитель,Е.П. Казымова,Зам.главного бухгалтера,О.С. Дедова,Исполнитель,А.Ю. Гараев,40-76-86,22
52,40,05437279,1027800001261,52,044030754,10/1/2010,"ОАО ""Энергомашбанк""","195027 Санкт-Петербург, Свердловская наб., 44, лит.Щ",Первый зам. Ген. директора - Пред. Правления,Ветров Г.И.,Главный бухгалтер,Лапина В.И.,Исполнитель,Коровина Ольга Дмитриевна,303-89-21,30
53,40,05435949,1027800000194,53,044030755,10/1/2010,"ОАО Банк ""АЛЕКСАНДРОВСКИЙ""","191119, Санкт-Петербург, Загородный пр., 46, литер Б, корпус 2",Первый заместитель Председателя Правления,Попкова Л.П.,Главный бухгалтер,Полевова Л. Н.,Исполнитель,Неженцева Е. В.,334-81-52,30
55,45,09806271,1027739270294,55,044583303,10/1/2010,"ОАО МАБ ""Темпбанк""","109044,  г. Москва, ул. Крутицкий вал, д. 26, строение 2",Председатель Правления,Гаглоев М.Г.,Главный бухгалтер,Кашуба М.В.,Начальник управления,Пернеровская Т.В.,676-2100,26
67,92,09265947,1021600000289,67,049205770,10/1/2010,"АКБ ""Энергобанк"" (ОАО)","420021, г.Казань, ул.Сары Садыковой, д.32",Руководитель,Вагизов Д.И.,Главный бухгалтер,Ягофарова Ф.И.,экономист,Колесникова Ю. С.,231-60-92,22
84,08,09806673,1022700000025,84,040813718,10/1/2010,"ОАО ""Далькомбанк""","680000, Хабаровский край, г. Хабаровск, ул.Гоголя, 27",Заместитель председателя правления,Кулешов Андрей Павлович,Главный бухгалтер,Ламанова Любовь Ивановна,Главный экономист,Ковалева Марина Сергеевна,38-06-38,26
85,05,09241863,1022500001930,85,040518780,10/1/2010,"ОАО КБ ""САММИТ БАНК""","692806, Приморский край, г.Большой Камень , ул. Гагарина,37",Президент банка,Савченко О.В.,Главный бухгалтер,Агеева Г.А.,Зам.начальника отдела кредитования,Гринева-Исупова О.А.,(42335)55491,22
96,32,09806360,1024200001891,96,043207720,10/1/2010,"ОАО ""Кемсоцинбанк""","650000, Кемеровская область, г.Кемерово, Центральный район, ул.Дзержинского, дом № 12",И.о. генерального директора,Брезгина Е.Л.,Главный бухгалтер,Колочкова М.М.,Начальник отдела казначейства,Кайгородов Андрей Михайлович,36-01-94,22
101,50,16578422,1055400000369,101,045005820,10/1/2010,"ОАО ""БКС Банк""","630099, г. Новосибирск, ул. Советская, д.18",Генеральный директор,Попков В.М.,Главный бухгалтер,Сусин Д.Д.,Начальник ОФО,Сидометова Ю.А.,230-55-01(вн.18-68),26
103,45,29313458,1027739480548,103,044585749,10/1/2010,"ООО ""РКБ""","115054,  г. Москва, ул. Бахрушина, дом 23, строение 2",Председатель Правления,Артемьев Э.Ю.,Главный бухгалтер,Трещалина Т.К.,Главный экономист,Дмитриева О.Н.,785-07-05,22
106,60,09806526,1026100002026,106,046015860,10/1/2010,"ОАО АКБ ""Сельмашбанк""","344029, г. Ростов-на-Дону, пр. Сельмаш, 102",Председатель Правления,Хлус В.М.,Главный бухгалтер,Краснорепова Е.В.,Исполнитель,Никифорова О.Н.,254-57-33,26
121,45,09806868,1027739198387,121,044525514,10/1/2010,"ЗАО АКБ ""ЦентроКредит""","119017,  г. Москва, ул.Пятницкая, д.31/2, стр. 1",Первый заместитель Председателя Правления,Зимина Л.В.,Главный бухгалтер- начальник Управления бухгалтерского учета и отчетности,Перепилицына Н.В.,Начальник Отдела сводной бухгалтерской отчетности,Куликова Н.В.,956-86-26,30
