REGN,C1_3,C2_3,C3_3,C4_3
1,Í1,14.13,,
1,Í2,84.14,,
1,Í3,85.30,,
1,Í4,77.23,,
1,Í7,104.03,,
1,Í9.1,0.00,,
1,Í10.1,0.15,,
1,Í12,6.07,,
1,Í18,113.29,,
2,Í1,30.03,,
2,Í2,26.02,,
2,Í3,60.00,,
2,Í4,104.18,,
2,Í7,184.38,,
2,Í9.1,0.10,,
2,Í10.1,0.16,,
2,Í12,0.00,,
5,Í1,12.58,,
5,Í2,34.16,,
5,Í3,63.44,,
5,Í4,50.32,,
5,Í7,283.42,,
5,Í9.1,0.98,,
5,Í10.1,1.62,,
5,Í12,0.00,,
18,Í1,12.76,,
18,Í2,71.96,,
18,Í3,79.81,,
18,Í4,45.70,,
18,Í7,127.88,,
18,Í9.1,0.00,,
18,Í10.1,2.35,,
18,Í12,0.00,,
21,Í1,19.99,,
21,Í2,87.32,,
21,Í3,122.75,,
21,Í4,109.64,,
21,Í7,163.45,,
21,Í9.1,0.00,,
21,Í10.1,2.76,,
21,Í12,0.00,,
23,Í1,11.80,,
23,Í2,35.52,,
23,Í3,78.78,,
23,Í4,75.51,,
23,Í7,537.48,,
23,Í9.1,3.03,,
23,Í10.1,1.15,,
23,Í12,5.23,,
52,Í1,12.83,,
52,Í2,87.91,,
52,Í3,93.26,,
52,Í4,50.92,,
52,Í7,315.01,,
52,Í9.1,0.05,,
52,Í10.1,0.80,,
52,Í12,0.00,,
53,Í1,11.26,,
53,Í2,44.58,,
53,Í3,78.63,,
53,Í4,60.62,,
53,Í7,575.49,,
53,Í9.1,0.00,,
53,Í10.1,0.70,,
53,Í12,0.00,,
55,Í1,12.37,,
55,Í2,61.89,,
55,Í3,81.89,,
55,Í4,23.35,,
55,Í7,308.48,,
55,Í9.1,0.01,,
55,Í10.1,0.26,,
55,Í12,0.00,,
65,Í1,11.44,,
65,Í2,45.56,,
65,Í3,77.36,,
65,Í4,82.32,,
65,Í7,202.00,,
65,Í9.1,0.00,,
65,Í10.1,2.02,,
65,Í12,0.00,,
67,Í1,22.70,,
67,Í2,29.25,,
67,Í3,60.58,,
67,Í4,100.27,,
67,Í7,203.33,,
67,Í9.1,0.13,,
67,Í10.1,0.32,,
67,Í12,0.00,,
77,Í1,11.84,,
77,Í2,45.18,,
77,Í3,66.77,,
77,Í4,80.07,,
77,Í7,523.46,,
77,Í9.1,0.00,,
77,Í10.1,0.47,,
77,Í12,0.00,,
85,Í1,15.91,,
85,Í2,71.47,,
85,Í3,98.90,,
85,Í4,82.84,,
85,Í7,282.34,,
85,Í9.1,0.00,,
85,Í10.1,2.00,,
85,Í12,0.00,,
96,Í1,20.67,,
96,Í2,130.48,,
96,Í3,193.70,,
96,Í4,33.74,,
96,Í7,256.41,,
96,Í9.1,0.00,,
96,Í10.1,2.36,,
96,Í12,0.00,,
101,Í1,15.77,,
101,Í2,63.10,,
101,Í3,70.70,,
101,Í4,9.80,,
101,Í7,475.66,,
101,Í9.1,4.01,,
101,Í10.1,0.61,,
101,Í12,0.00,,
103,Í1,24.22,,
103,Í2,49.09,,
103,Í3,73.38,,
103,Í4,43.83,,
103,Í7,180.89,,
103,Í9.1,0.00,,
103,Í10.1,2.29,,
103,Í12,0.00,,
106,Í1,27.75,,
106,Í2,23.26,,
106,Í3,85.82,,
106,Í4,74.46,,
106,Í7,212.53,,
106,Í10.1,0.85,,
107,Í1,10.73,,
107,Í2,38.32,,
107,Í3,68.48,,
107,Í4,90.81,,
107,Í7,276.34,,
107,Í9.1,5.07,,
107,Í10.1,0.16,,
107,Í12,1.01,,
121,Í1,24.06,,
121,Í2,106.36,,
121,Í3,138.37,,
121,Í4,13.19,,
121,Í7,125.78,,
121,Í9.1,0.00,,
121,Í10.1,0.06,,
121,Í12,0.00,,
138,Í1,12.05,,
138,Í2,80.47,,
138,Í3,141.41,,
138,Í4,29.25,,
138,Í7,221.79,,
138,Í9.1,0.00,,
138,Í10.1,0.43,,
138,Í12,0.00,,
142,Í1,56.41,,
142,Í2,81.56,,
142,Í3,93.59,,
142,Í4,42.02,,
142,Í7,88.02,,
142,Í9.1,0.29,,
142,Í10.1,1.73,,
142,Í12,0.00,,
149,Í1,77.52,,
149,Í2,217.39,,
149,Í3,388.23,,
149,Í4,45.33,,
149,Í7,18.28,,
149,Í9.1,0.00,,
149,Í10.1,0.00,,
149,Í12,0.00,,
153,Í1,20.97,,
153,Í2,132.27,,
153,Í3,158.13,,
153,Í4,50.85,,
153,Í7,125.41,,
153,Í9.1,0.24,,
153,Í10.1,0.57,,
153,Í12,0.00,,
155,Í1,26.80,,
155,Í2,17.05,,
155,Í3,100.92,,
155,Í4,11.29,,
155,Í7,52.32,,
155,Í9.1,0.00,,
155,Í10.1,0.00,,
155,Í12,0.00,,
170,Í1,444.08,,
170,Í2,95525.00,,
170,Í3,404295.18,,
170,Í4,0.00,,
170,Í7,17.67,,
170,Í9.1,0.00,,
170,Í10.1,0.00,,
170,Í12,0.00,,
184,Í1,78.12,,
184,Í2,85.97,,
184,Í3,86.01,,
184,Í4,59.25,,
184,Í7,60.66,,
184,Í9.1,0.00,,
184,Í10.1,0.00,,
184,Í12,0.01,,
197,Í1,11.38,,
197,Í2,62.73,,
197,Í3,91.78,,
197,Í4,61.37,,
197,Í7,527.09,,
197,Í9.1,0.12,,
197,Í10.1,0.45,,
197,Í12,0.01,,
208,Í1,25.91,,
208,Í2,32.82,,
208,Í3,52.20,,
208,Í4,43.96,,
208,Í7,114.70,,
208,Í9.1,18.08,,
208,Í10.1,0.72,,
208,Í12,0.00,,
210,Í1,11.02,,
210,Í2,21.25,,
210,Í3,66.19,,
210,Í4,51.93,,
210,Í7,618.71,,
210,Í9.1,1.29,,
210,Í10.1,1.85,,
210,Í12,0.00,,
212,Í1,11.42,,
212,Í2,150.86,,
212,Í3,160.88,,
212,Í4,40.18,,
212,Í7,406.62,,
212,Í9.1,0.01,,
212,Í10.1,0.50,,
212,Í12,0.00,,
226,Í1,14.36,,
226,Í2,52.32,,
226,Í3,115.46,,
226,Í4,61.99,,
226,Í7,256.04,,
226,Í9.1,0.71,,
226,Í10.1,1.62,,
226,Í12,0.00,,
232,Í1,12.60,,
232,Í2,57.79,,
232,Í3,83.58,,
232,Í4,65.83,,
232,Í7,351.02,,
232,Í9.1,0.00,,
232,Í10.1,1.50,,
232,Í12,0.00,,
236,Í1,41.11,,
