REGN,C1_5
1,11/3/2012
1,11/4/2012
1,11/5/2012
1,11/10/2012
1,11/11/2012
1,11/17/2012
1,11/18/2012
1,11/24/2012
1,11/25/2012
18,11/3/2012
18,11/4/2012
18,11/5/2012
18,11/10/2012
18,11/11/2012
18,11/17/2012
18,11/18/2012
18,11/24/2012
18,11/25/2012
21,11/4/2012
21,11/5/2012
21,11/11/2012
21,11/18/2012
21,11/25/2012
23,11/3/2012
23,11/4/2012
23,11/5/2012
23,11/10/2012
23,11/11/2012
23,11/17/2012
23,11/18/2012
23,11/24/2012
23,11/25/2012
65,11/3/2012
65,11/4/2012
65,11/5/2012
67,11/3/2012
67,11/4/2012
67,11/5/2012
67,11/6/2012
67,11/10/2012
67,11/11/2012
67,11/17/2012
67,11/18/2012
67,11/24/2012
67,11/25/2012
77,11/3/2012
77,11/4/2012
77,11/5/2012
77,11/10/2012
77,11/11/2012
77,11/17/2012
77,11/18/2012
77,11/24/2012
77,11/25/2012
85,11/3/2012
85,11/4/2012
85,11/5/2012
85,11/10/2012
85,11/11/2012
85,11/17/2012
85,11/18/2012
85,11/24/2012
85,11/25/2012
96,11/3/2012
96,11/4/2012
96,11/5/2012
96,11/10/2012
96,11/11/2012
96,11/17/2012
96,11/18/2012
96,11/24/2012
96,11/25/2012
101,11/4/2012
101,11/5/2012
101,11/11/2012
101,11/18/2012
101,11/25/2012
103,11/3/2012
103,11/4/2012
103,11/5/2012
103,11/10/2012
103,11/11/2012
103,11/17/2012
103,11/18/2012
103,11/24/2012
103,11/25/2012
106,11/3/2012
106,11/4/2012
106,11/5/2012
106,11/11/2012
106,11/18/2012
106,11/25/2012
142,11/3/2012
142,11/4/2012
142,11/5/2012
142,11/10/2012
142,11/11/2012
142,11/17/2012
142,11/18/2012
142,11/24/2012
142,11/25/2012
149,11/3/2012
149,11/4/2012
149,11/5/2012
149,11/10/2012
149,11/11/2012
149,11/17/2012
149,11/18/2012
149,11/24/2012
149,11/25/2012
155,11/3/2012
155,11/4/2012
155,11/5/2012
155,11/10/2012
155,11/11/2012
155,11/17/2012
155,11/18/2012
155,11/24/2012
155,11/25/2012
170,11/3/2012
170,11/4/2012
170,11/5/2012
170,11/10/2012
170,11/11/2012
170,11/17/2012
170,11/18/2012
170,11/24/2012
170,11/25/2012
184,11/3/2012
184,11/4/2012
184,11/5/2012
184,11/10/2012
184,11/11/2012
184,11/17/2012
184,11/18/2012
184,11/24/2012
184,11/25/2012
197,11/3/2012
197,11/4/2012
197,11/5/2012
197,11/10/2012
197,11/11/2012
197,11/17/2012
197,11/18/2012
197,11/24/2012
197,11/25/2012
208,11/3/2012
208,11/4/2012
208,11/5/2012
208,11/10/2012
208,11/11/2012
208,11/17/2012
208,11/18/2012
208,11/24/2012
208,11/25/2012
226,11/4/2012
232,11/3/2012
232,11/4/2012
232,11/5/2012
232,11/10/2012
232,11/11/2012
232,11/17/2012
232,11/18/2012
232,11/24/2012
232,11/25/2012
236,11/3/2012
236,11/4/2012
236,11/5/2012
236,11/10/2012
236,11/11/2012
236,11/17/2012
236,11/18/2012
236,11/24/2012
236,11/25/2012
249,11/4/2012
249,11/5/2012
249,11/11/2012
249,11/18/2012
249,11/25/2012
256,11/3/2012
256,11/4/2012
256,11/5/2012
256,11/10/2012
256,11/11/2012
256,11/17/2012
256,11/18/2012
256,11/24/2012
256,11/25/2012
272,11/3/2012
272,11/4/2012
272,11/5/2012
272,11/10/2012
272,11/11/2012
272,11/17/2012
272,11/18/2012
272,11/24/2012
272,11/25/2012
282,11/3/2012
282,11/4/2012
282,11/5/2012
282,11/10/2012
282,11/11/2012
282,11/17/2012
282,11/18/2012
282,11/24/2012
282,11/25/2012
286,11/3/2012
286,11/4/2012
286,11/5/2012
286,11/10/2012
286,11/11/2012
286,11/17/2012
286,11/18/2012
286,11/24/2012
286,11/25/2012
312,11/3/2012
312,11/4/2012
312,11/5/2012
312,11/11/2012
312,11/18/2012
312,11/25/2012
324,11/3/2012
324,11/4/2012
324,11/5/2012
324,11/10/2012
324,11/11/2012
324,11/17/2012
324,11/18/2012
324,11/24/2012
324,11/25/2012
330,11/3/2012
330,11/4/2012
330,11/5/2012
330,11/10/2012
330,11/11/2012
330,11/17/2012
330,11/18/2012
330,11/24/2012
330,11/25/2012
347,11/3/2012
347,11/4/2012
347,11/5/2012
347,11/10/2012
347,11/11/2012
347,11/17/2012
347,11/18/2012
347,11/24/2012
347,11/25/2012
356,11/3/2012
356,11/4/2012
356,11/5/2012
356,11/10/2012
356,11/11/2012
356,11/17/2012
356,11/18/2012
356,11/24/2012
356,11/25/2012
370,11/3/2012
370,11/4/2012
370,11/5/2012
370,11/10/2012
370,11/11/2012
370,11/17/2012
370,11/18/2012
370,11/24/2012
370,11/25/2012
384,11/4/2012
385,11/3/2012
385,11/4/2012
385,11/5/2012
385,11/10/2012
385,11/11/2012
385,11/17/2012
385,11/18/2012
385,11/24/2012
385,11/25/2012
404,11/4/2012
404,11/11/2012
404,11/18/2012
