REGN,C1_4,C2_4,C3_4,C4_4
149,1,Í16.1,74.79,2/20/2015
149,2,Í16.1,74.83,2/21/2015
149,3,Í16.1,74.83,2/22/2015
149,4,Í16.1,74.82,2/23/2015
149,5,Í16.1,74.33,2/24/2015
149,6,Í16.1,74.04,2/25/2015
149,7,Í16.1,74.04,2/26/2015
149,8,Í16.1,74.54,2/27/2015
149,9,Í16.1,74.93,2/28/2015
520,1,Í1.0,0.00,2/1/2015
520,2,Í1.0,0.00,2/2/2015
520,3,Í1.0,0.00,2/3/2015
520,4,Í1.0,0.00,2/4/2015
520,5,Í1.0,0.00,2/5/2015
520,6,Í1.0,0.00,2/6/2015
520,7,Í1.0,0.00,2/7/2015
520,8,Í1.0,0.00,2/8/2015
520,9,Í1.0,0.00,2/9/2015
520,10,Í1.0,0.00,2/10/2015
520,11,Í1.0,0.00,2/11/2015
520,12,Í1.0,0.00,2/12/2015
520,13,Í1.0,0.00,2/13/2015
520,14,Í1.0,0.00,2/14/2015
520,15,Í1.0,0.00,2/15/2015
520,16,Í1.0,0.00,2/16/2015
520,17,Í1.0,0.00,2/17/2015
520,18,Í1.0,0.00,2/18/2015
520,19,Í1.0,0.00,2/19/2015
520,20,Í1.0,0.00,2/20/2015
520,21,Í1.0,0.00,2/21/2015
520,22,Í1.0,0.00,2/22/2015
520,23,Í1.0,0.00,2/24/2015
520,24,Í1.0,0.00,2/25/2015
520,25,Í1.0,0.00,2/26/2015
520,26,Í1.0,0.00,2/27/2015
520,27,Í1.0,0.00,2/28/2015
520,28,Í1.1,0.00,2/1/2015
520,29,Í1.1,0.00,2/2/2015
520,30,Í1.1,0.00,2/3/2015
520,31,Í1.1,0.00,2/4/2015
520,32,Í1.1,0.00,2/5/2015
520,33,Í1.1,0.00,2/6/2015
520,34,Í1.1,0.00,2/7/2015
520,35,Í1.1,0.00,2/8/2015
520,36,Í1.1,0.00,2/9/2015
520,37,Í1.1,0.00,2/10/2015
520,38,Í1.1,0.00,2/11/2015
520,39,Í1.1,0.00,2/12/2015
520,40,Í1.1,0.00,2/13/2015
520,41,Í1.1,0.00,2/14/2015
520,42,Í1.1,0.00,2/15/2015
520,43,Í1.1,0.00,2/16/2015
520,44,Í1.1,0.00,2/17/2015
520,45,Í1.1,0.00,2/18/2015
520,46,Í1.1,0.00,2/19/2015
520,47,Í1.1,0.00,2/20/2015
520,48,Í1.1,0.00,2/21/2015
520,49,Í1.1,0.00,2/22/2015
520,50,Í1.1,0.00,2/24/2015
520,51,Í1.1,0.00,2/25/2015
520,52,Í1.1,0.00,2/26/2015
520,53,Í1.1,0.00,2/27/2015
520,54,Í1.1,0.00,2/28/2015
520,55,Í1.2,0.00,2/1/2015
520,56,Í1.2,0.00,2/2/2015
520,57,Í1.2,0.00,2/3/2015
520,58,Í1.2,0.00,2/4/2015
520,59,Í1.2,0.00,2/5/2015
520,60,Í1.2,0.00,2/6/2015
520,61,Í1.2,0.00,2/7/2015
520,62,Í1.2,0.00,2/8/2015
520,63,Í1.2,0.00,2/9/2015
520,64,Í1.2,0.00,2/10/2015
520,65,Í1.2,0.00,2/11/2015
520,66,Í1.2,0.00,2/12/2015
520,67,Í1.2,0.00,2/13/2015
520,68,Í1.2,0.00,2/14/2015
520,69,Í1.2,0.00,2/15/2015
520,70,Í1.2,0.00,2/16/2015
520,71,Í1.2,0.00,2/17/2015
520,72,Í1.2,0.00,2/18/2015
520,73,Í1.2,0.00,2/19/2015
520,74,Í1.2,0.00,2/20/2015
520,75,Í1.2,0.00,2/21/2015
520,76,Í1.2,0.00,2/22/2015
520,77,Í1.2,0.00,2/24/2015
520,78,Í1.2,0.00,2/25/2015
520,79,Í1.2,0.00,2/26/2015
520,80,Í1.2,0.00,2/27/2015
520,81,Í1.2,0.00,2/28/2015
520,82,Í3,43.27,2/14/2015
520,83,Í3,37.45,2/15/2015
520,84,Í3,42.77,2/16/2015
520,85,Í3,40.28,2/17/2015
520,86,Í3,36.89,2/18/2015
520,87,Í3,37.45,2/19/2015
520,88,Í3,36.59,2/20/2015
520,89,Í3,35.20,2/21/2015
520,90,Í3,34.01,2/22/2015
520,91,Í3,33.94,2/24/2015
520,92,Í3,34.05,2/25/2015
520,93,Í3,35.14,2/26/2015
520,94,Í3,34.92,2/27/2015
520,95,Í3,31.31,2/28/2015
655,1,Í1.0,9.26,2/6/2015
1574,1,Í1.0,-0.67,2/1/2015
1574,2,Í1.0,-1.82,2/2/2015
1574,3,Í1.0,-1.62,2/3/2015
1574,4,Í1.0,-1.61,2/4/2015
1574,5,Í1.0,-2.17,2/5/2015
1574,6,Í1.0,-2.26,2/6/2015
1574,7,Í1.0,-2.26,2/7/2015
1574,8,Í1.0,-2.27,2/8/2015
1574,9,Í1.0,-2.14,2/9/2015
1574,10,Í1.0,-2.14,2/10/2015
1574,11,Í1.0,-2.14,2/11/2015
1574,12,Í1.0,-2.04,2/12/2015
1574,13,Í1.0,-2.03,2/13/2015
1574,14,Í1.0,-2.03,2/14/2015
1574,15,Í1.0,-2.03,2/15/2015
1574,16,Í1.0,-1.92,2/16/2015
1574,17,Í1.0,-2.19,2/17/2015
1574,18,Í1.0,-2.19,2/18/2015
1574,19,Í1.0,-2.29,2/19/2015
1574,20,Í1.0,-2.92,2/20/2015
1574,21,Í1.0,-2.92,2/21/2015
1574,22,Í1.0,-2.92,2/22/2015
1574,23,Í1.0,-2.92,2/23/2015
1574,24,Í1.0,-2.98,2/24/2015
1574,25,Í1.0,2.26,2/25/2015
1574,26,Í1.0,2.22,2/26/2015
1574,27,Í1.0,2.36,2/27/2015
1574,28,Í1.0,2.41,2/28/2015
1574,29,Í1.1,-0.65,2/1/2015
1574,30,Í1.1,-1.73,2/2/2015
1574,31,Í1.1,-1.55,2/3/2015
1574,32,Í1.1,-1.53,2/4/2015
1574,33,Í1.1,-2.07,2/5/2015
1574,34,Í1.1,-2.14,2/6/2015
1574,35,Í1.1,-2.14,2/7/2015
1574,36,Í1.1,-2.15,2/8/2015
1574,37,Í1.1,-2.04,2/9/2015
1574,38,Í1.1,-2.03,2/10/2015
1574,39,Í1.1,-2.03,2/11/2015
1574,40,Í1.1,-1.94,2/12/2015
1574,41,Í1.1,-1.93,2/13/2015
1574,42,Í1.1,-1.93,2/14/2015
1574,43,Í1.1,-1.93,2/15/2015
1574,44,Í1.1,-1.82,2/16/2015
1574,45,Í1.1,-2.08,2/17/2015
1574,46,Í1.1,-2.08,2/18/2015
1574,47,Í1.1,-2.17,2/19/2015
1574,48,Í1.1,-2.76,2/20/2015
1574,49,Í1.1,-2.76,2/21/2015
1574,50,Í1.1,-2.76,2/22/2015
1574,51,Í1.1,-2.76,2/23/2015
1574,52,Í1.1,-2.82,2/24/2015
1574,53,Í1.1,2.19,2/25/2015
1574,54,Í1.1,2.15,2/26/2015
1574,55,Í1.1,2.29,2/27/2015
1574,56,Í1.1,2.32,2/28/2015
1574,57,Í1.2,-0.65,2/1/2015
1574,58,Í1.2,-1.73,2/2/2015
1574,59,Í1.2,-1.55,2/3/2015
1574,60,Í1.2,-1.53,2/4/2015
1574,61,Í1.2,-2.07,2/5/2015
1574,62,Í1.2,-2.14,2/6/2015
1574,63,Í1.2,-2.14,2/7/2015
1574,64,Í1.2,-2.15,2/8/2015
1574,65,Í1.2,-2.04,2/9/2015
1574,66,Í1.2,-2.03,2/10/2015
1574,67,Í1.2,-2.03,2/11/2015
1574,68,Í1.2,-1.94,2/12/2015
1574,69,Í1.2,-1.93,2/13/2015
1574,70,Í1.2,-1.93,2/14/2015
1574,71,Í1.2,-1.93,2/15/2015
1574,72,Í1.2,-1.82,2/16/2015
1574,73,Í1.2,-2.08,2/17/2015
1574,74,Í1.2,-2.08,2/18/2015
1574,75,Í1.2,-2.17,2/19/2015
1574,76,Í1.2,-2.76,2/20/2015
1574,77,Í1.2,-2.76,2/21/2015
1574,78,Í1.2,-2.76,2/22/2015
1574,79,Í1.2,-2.76,2/23/2015
1574,80,Í1.2,-2.82,2/24/2015
1574,81,Í1.2,2.19,2/25/2015
1574,82,Í1.2,2.15,2/26/2015
1574,83,Í1.2,2.29,2/27/2015
1574,84,Í1.2,2.34,2/28/2015
1574,85,Í4,122.37,2/1/2015
1574,86,Í4,126.20,2/2/2015
1574,87,Í4,130.67,2/3/2015
1574,88,Í4,138.11,2/4/2015
1574,89,Í4,139.52,2/5/2015
1574,90,Í4,140.74,2/6/2015
1574,91,Í4,140.73,2/7/2015
1574,92,Í4,140.75,2/8/2015
1574,93,Í4,148.65,2/9/2015
1574,94,Í4,149.25,2/10/2015
1574,95,Í4,149.25,2/11/2015
1574,96,Í4,148.10,2/12/2015
1574,97,Í4,149.30,2/13/2015
1574,98,Í4,149.30,2/14/2015
1574,99,Í4,149.30,2/15/2015
1574,100,Í4,153.30,2/16/2015
1574,101,Í4,150.80,2/17/2015
1574,102,Í4,151.20,2/18/2015
1574,103,Í4,154.00,2/19/2015
1574,104,Í4,158.20,2/20/2015
1574,105,Í4,158.20,2/21/2015
1574,106,Í4,158.20,2/22/2015
1574,107,Í4,158.20,2/23/2015
1574,108,Í4,158.90,2/24/2015
1574,109,Í4,137.60,2/25/2015
1574,110,Í4,138.40,2/26/2015
1574,111,Í4,141.50,2/27/2015
1574,112,Í4,142.83,2/28/2015
1574,113,Í7,-9551.35,2/1/2015
1574,114,Í7,-3638.65,2/2/2015
1574,115,Í7,-4108.68,2/3/2015
1574,116,Í7,-4676.95,2/4/2015
1574,117,Í7,-3272.75,2/5/2015
1574,118,Í7,-3239.04,2/6/2015
1574,119,Í7,-3242.30,2/7/2015
1574,120,Í7,-3235.18,2/8/2015
1574,121,Í7,-3601.12,2/9/2015
1574,122,Í7,-3600.99,2/10/2015
1574,123,Í7,-3771.39,2/11/2015
1574,124,Í7,-3529.56,2/12/2015
1574,125,Í7,-3506.88,2/13/2015
1574,126,Í7,-3497.69,2/14/2015
1574,127,Í7,-3938.85,2/15/2015
1574,128,Í7,-3974.54,2/16/2015
1574,129,Í7,-3527.08,2/17/2015
1574,130,Í7,-3425.58,2/18/2015
1574,131,Í7,-3372.35,2/19/2015
1574,132,Í7,-2669.28,2/20/2015
1574,133,Í7,-2661.56,2/21/2015
1574,134,Í7,-2648.60,2/22/2015
1574,135,Í7,-2634.75,2/23/2015
1574,136,Í7,-2615.61,2/24/2015
1574,137,Í7,3374.00,2/25/2015
1574,138,Í7,3429.59,2/26/2015
1574,139,Í7,3263.19,2/27/2015
1574,140,Í7,1533.08,2/28/2015
1574,141,Í9.1,-1150.61,2/1/2015
1574,142,Í9.1,-439.31,2/2/2015
1574,143,Í9.1,-491.91,2/3/2015
1574,144,Í9.1,-497.22,2/4/2015
1574,145,Í9.1,-207.24,2/5/2015
1574,146,Í9.1,-272.76,2/6/2015
1574,147,Í9.1,-273.03,2/7/2015
1574,148,Í9.1,-272.43,2/8/2015
1574,149,Í9.1,-458.83,2/9/2015
1574,150,Í9.1,-455.28,2/10/2015
1574,151,Í9.1,-476.83,2/11/2015
1574,152,Í9.1,-446.25,2/12/2015
1574,153,Í9.1,-443.38,2/13/2015
1574,154,Í9.1,-442.22,2/14/2015
1574,155,Í9.1,-498.00,2/15/2015
1574,156,Í9.1,-502.51,2/16/2015
1574,157,Í9.1,-445.94,2/17/2015
1574,158,Í9.1,-433.10,2/18/2015
1574,159,Í9.1,-426.37,2/19/2015
1574,160,Í9.1,-337.48,2/20/2015
1574,161,Í9.1,-336.51,2/21/2015
1574,162,Í9.1,-334.87,2/22/2015
1574,163,Í9.1,-333.12,2/23/2015
1574,164,Í9.1,-330.70,2/24/2015
1574,165,Í9.1,426.58,2/25/2015
1574,166,Í9.1,433.61,2/26/2015
1574,167,Í9.1,412.57,2/27/2015
1574,168,Í9.1,484.34,2/28/2015
1574,169,Í10.1,-36.37,2/1/2015
1574,170,Í10.1,-13.91,2/2/2015
1574,171,Í10.1,-15.61,2/3/2015
1574,172,Í10.1,-16.05,2/4/2015
1574,173,Í10.1,-12.52,2/5/2015
1574,174,Í10.1,-11.80,2/6/2015
1574,175,Í10.1,-11.81,2/7/2015
1574,176,Í10.1,-11.79,2/8/2015
1574,177,Í10.1,-11.99,2/9/2015
1574,178,Í10.1,-12.00,2/10/2015
1574,179,Í10.1,-12.59,2/11/2015
1574,180,Í10.1,-11.78,2/12/2015
1574,181,Í10.1,-11.70,2/13/2015
1574,182,Í10.1,-11.67,2/14/2015
1574,183,Í10.1,-13.14,2/15/2015
1574,184,Í10.1,-13.26,2/16/2015
1574,185,Í10.1,-11.77,2/17/2015
1574,186,Í10.1,-11.43,2/18/2015
1574,187,Í10.1,-11.25,2/19/2015
1574,188,Í10.1,-8.91,2/20/2015
1574,189,Í10.1,-8.88,2/21/2015
1574,190,Í10.1,-8.84,2/22/2015
1574,191,Í10.1,-8.79,2/23/2015
1574,192,Í10.1,-8.73,2/24/2015
1574,193,Í10.1,11.26,2/25/2015
1574,194,Í10.1,11.44,2/26/2015
1574,195,Í10.1,10.89,2/27/2015
1574,196,Í10.1,10.34,2/28/2015
1581,1,Í1.0,5.44,2/2/2015
1581,2,Í1.0,5.25,2/3/2015
1581,3,Í1.0,5.47,2/4/2015
1581,4,Í1.0,5.47,2/5/2015
1581,5,Í1.0,5.47,2/8/2015
1581,6,Í1.0,5.47,2/9/2015
1581,7,Í1.0,5.48,2/10/2015
1581,8,Í1.0,5.47,2/11/2015
1581,9,Í1.0,5.51,2/12/2015
1581,10,Í1.0,5.48,2/15/2015
1581,11,Í1.0,5.49,2/16/2015
1581,12,Í1.0,5.76,2/17/2015
1581,13,Í1.0,5.81,2/18/2015
1581,14,Í1.0,5.79,2/19/2015
1581,15,Í1.0,5.84,2/23/2015
1581,16,Í1.0,5.81,2/24/2015
1581,17,Í1.0,5.81,2/25/2015
1581,18,Í1.0,5.79,2/26/2015
1581,19,Í1.2,5.40,2/2/2015
1581,20,Í1.2,5.21,2/3/2015
1581,21,Í1.2,5.43,2/4/2015
1581,22,Í1.2,5.43,2/5/2015
1581,23,Í1.2,5.43,2/8/2015
1581,24,Í1.2,5.43,2/9/2015
1581,25,Í1.2,5.44,2/10/2015
1581,26,Í1.2,5.43,2/11/2015
1581,27,Í1.2,5.47,2/12/2015
1581,28,Í1.2,5.44,2/15/2015
1581,29,Í1.2,5.45,2/16/2015
1581,30,Í1.2,5.72,2/17/2015
1581,31,Í1.2,5.77,2/18/2015
1581,32,Í1.2,5.75,2/19/2015
1581,33,Í1.2,5.80,2/23/2015
1581,34,Í1.2,5.77,2/24/2015
1581,35,Í1.2,5.77,2/25/2015
1581,36,Í1.2,5.75,2/26/2015
1751,1,Í1.0,0.00,2/2/2015
1751,2,Í1.0,0.00,2/3/2015
1751,3,Í1.0,0.00,2/4/2015
1751,4,Í1.0,0.00,2/5/2015
1751,5,Í1.0,0.00,2/6/2015
1751,6,Í1.0,0.00,2/9/2015
1751,7,Í1.0,0.00,2/10/2015
1751,8,Í1.0,0.00,2/11/2015
1751,9,Í1.0,0.00,2/12/2015
1751,10,Í1.0,0.00,2/13/2015
1751,11,Í1.0,0.00,2/16/2015
1751,12,Í1.0,0.00,2/17/2015
1751,13,Í1.0,0.00,2/18/2015
1751,14,Í1.0,0.00,2/19/2015
1751,15,Í1.0,0.00,2/20/2015
1751,16,Í1.0,0.00,2/24/2015
1751,17,Í1.0,0.00,2/25/2015
1751,18,Í1.0,0.00,2/26/2015
1751,19,Í1.0,0.00,2/27/2015
1751,20,Í1.0,0.00,2/28/2015
1751,21,Í1.1,0.00,2/2/2015
1751,22,Í1.1,0.00,2/3/2015
1751,23,Í1.1,0.00,2/4/2015
1751,24,Í1.1,0.00,2/5/2015
1751,25,Í1.1,0.00,2/6/2015
1751,26,Í1.1,0.00,2/9/2015
1751,27,Í1.1,0.00,2/10/2015
1751,28,Í1.1,0.00,2/11/2015
1751,29,Í1.1,0.00,2/12/2015
1751,30,Í1.1,0.00,2/13/2015
1751,31,Í1.1,0.00,2/16/2015
1751,32,Í1.1,0.00,2/17/2015
1751,33,Í1.1,0.00,2/18/2015
1751,34,Í1.1,0.00,2/19/2015
1751,35,Í1.1,0.00,2/20/2015
1751,36,Í1.1,0.00,2/24/2015
1751,37,Í1.1,0.00,2/25/2015
1751,38,Í1.1,0.00,2/26/2015
1751,39,Í1.1,0.00,2/27/2015
1751,40,Í1.1,0.00,2/28/2015
1751,41,Í1.2,0.00,2/2/2015
1751,42,Í1.2,0.00,2/3/2015
1751,43,Í1.2,0.00,2/4/2015
1751,44,Í1.2,0.00,2/5/2015
1751,45,Í1.2,0.00,2/6/2015
1751,46,Í1.2,0.00,2/9/2015
1751,47,Í1.2,0.00,2/10/2015
1751,48,Í1.2,0.00,2/11/2015
1751,49,Í1.2,0.00,2/12/2015
1751,50,Í1.2,0.00,2/13/2015
1751,51,Í1.2,0.00,2/16/2015
1751,52,Í1.2,0.00,2/17/2015
1751,53,Í1.2,0.00,2/18/2015
1751,54,Í1.2,0.00,2/19/2015
1751,55,Í1.2,0.00,2/20/2015
1751,56,Í1.2,0.00,2/24/2015
1751,57,Í1.2,0.00,2/25/2015
1751,58,Í1.2,0.00,2/26/2015
1751,59,Í1.2,0.00,2/27/2015
1751,60,Í1.2,0.00,2/28/2015
1751,61,Í4,0.00,2/2/2015
1751,62,Í4,0.00,2/3/2015
1751,63,Í4,0.00,2/4/2015
1751,64,Í4,0.00,2/5/2015
1751,65,Í4,0.00,2/6/2015
1751,66,Í4,0.00,2/9/2015
1751,67,Í4,0.00,2/10/2015
1751,68,Í4,0.00,2/11/2015
1751,69,Í4,0.00,2/12/2015
1751,70,Í4,0.00,2/13/2015
1751,71,Í4,0.00,2/16/2015
1751,72,Í4,0.00,2/17/2015
1751,73,Í4,0.00,2/18/2015
1751,74,Í4,0.00,2/19/2015
1751,75,Í4,0.00,2/20/2015
1751,76,Í4,0.00,2/24/2015
1751,77,Í4,0.00,2/25/2015
1751,78,Í4,0.00,2/26/2015
1751,79,Í4,0.00,2/27/2015
1751,80,Í4,0.00,2/28/2015
1751,81,Í7,0.00,2/2/2015
1751,82,Í7,0.00,2/3/2015
1751,83,Í7,0.00,2/4/2015
1751,84,Í7,0.00,2/5/2015
1751,85,Í7,0.00,2/6/2015
1751,86,Í7,0.00,2/9/2015
1751,87,Í7,0.00,2/10/2015
1751,88,Í7,0.00,2/11/2015
1751,89,Í7,0.00,2/12/2015
1751,90,Í7,0.00,2/13/2015
1751,91,Í7,0.00,2/16/2015
1751,92,Í7,0.00,2/17/2015
1751,93,Í7,0.00,2/18/2015
1751,94,Í7,0.00,2/19/2015
1751,95,Í7,0.00,2/20/2015
1751,96,Í7,0.00,2/24/2015
1751,97,Í7,0.00,2/25/2015
1751,98,Í7,0.00,2/26/2015
1751,99,Í7,0.00,2/27/2015
1751,100,Í7,0.00,2/28/2015
1751,101,Í10.1,0.00,2/2/2015
1751,102,Í10.1,0.00,2/3/2015
1751,103,Í10.1,0.00,2/4/2015
1751,104,Í10.1,0.00,2/5/2015
1751,105,Í10.1,0.00,2/6/2015
1751,106,Í10.1,0.00,2/9/2015
1751,107,Í10.1,0.00,2/10/2015
1751,108,Í10.1,0.00,2/11/2015
1751,109,Í10.1,0.00,2/12/2015
1751,110,Í10.1,0.00,2/13/2015
1751,111,Í10.1,0.00,2/16/2015
1751,112,Í10.1,0.00,2/17/2015
1751,113,Í10.1,0.00,2/18/2015
1751,114,Í10.1,0.00,2/19/2015
1751,115,Í10.1,0.00,2/20/2015
1751,116,Í10.1,0.00,2/24/2015
1751,117,Í10.1,0.00,2/25/2015
1751,118,Í10.1,0.00,2/26/2015
1751,119,Í10.1,0.00,2/27/2015
1751,120,Í10.1,0.00,2/28/2015
1951,1,Í3,42.83,2/11/2015
1951,2,Í3,42.30,2/12/2015
1951,3,Í3,36.93,2/13/2015
2157,1,Í1.1,5.46,2/4/2015
2157,2,Í1.1,5.42,2/6/2015
2304,1,Í1.0,4.59,2/2/2015
2304,2,Í1.0,4.54,2/3/2015
2304,3,Í1.0,4.33,2/4/2015
2304,4,Í1.0,4.24,2/5/2015
2304,5,Í1.0,4.41,2/6/2015
2304,6,Í1.0,4.27,2/9/2015
2304,7,Í1.0,4.08,2/10/2015
2304,8,Í1.0,4.06,2/11/2015
2304,9,Í1.0,4.11,2/12/2015
2304,10,Í1.0,4.15,2/13/2015
2304,11,Í1.0,4.10,2/16/2015
2304,12,Í1.0,3.94,2/17/2015
2304,13,Í1.0,3.95,2/18/2015
2304,14,Í1.0,3.92,2/19/2015
2304,15,Í1.0,3.92,2/20/2015
2304,16,Í1.0,3.89,2/24/2015
2304,17,Í1.0,4.02,2/25/2015
2304,18,Í1.1,2.55,2/2/2015
2304,19,Í1.1,2.50,2/3/2015
2304,20,Í1.1,2.38,2/4/2015
2304,21,Í1.1,2.31,2/5/2015
2304,22,Í1.1,2.39,2/6/2015
2304,23,Í1.1,2.32,2/9/2015
2304,24,Í1.1,2.22,2/10/2015
2304,25,Í1.1,2.21,2/11/2015
2304,26,Í1.1,2.24,2/12/2015
2304,27,Í1.1,2.26,2/13/2015
2304,28,Í1.1,2.24,2/16/2015
2304,29,Í1.1,2.15,2/17/2015
2304,30,Í1.1,2.16,2/18/2015
2304,31,Í1.1,2.15,2/19/2015
2304,32,Í1.1,2.15,2/20/2015
2304,33,Í1.1,2.13,2/24/2015
2304,34,Í1.1,2.20,2/25/2015
2304,35,Í1.2,2.55,2/2/2015
2304,36,Í1.2,2.51,2/3/2015
2304,37,Í1.2,2.39,2/4/2015
2304,38,Í1.2,2.32,2/5/2015
2304,39,Í1.2,2.40,2/6/2015
2304,40,Í1.2,2.33,2/9/2015
2304,41,Í1.2,2.23,2/10/2015
2304,42,Í1.2,2.22,2/11/2015
2304,43,Í1.2,2.25,2/12/2015
2304,44,Í1.2,2.27,2/13/2015
2304,45,Í1.2,2.24,2/16/2015
2304,46,Í1.2,2.16,2/17/2015
2304,47,Í1.2,2.17,2/18/2015
2304,48,Í1.2,2.15,2/19/2015
2304,49,Í1.2,2.15,2/20/2015
2304,50,Í1.2,2.14,2/24/2015
2304,51,Í1.2,2.20,2/25/2015
2304,52,Í2,1.46,2/2/2015
2304,53,Í2,1.25,2/3/2015
2304,54,Í2,1.18,2/4/2015
2304,55,Í2,1.04,2/5/2015
2304,56,Í2,1.14,2/6/2015
2304,57,Í2,1.04,2/9/2015
2304,58,Í2,1.16,2/10/2015
2304,59,Í2,1.29,2/11/2015
2304,60,Í2,1.42,2/12/2015
2304,61,Í2,1.51,2/13/2015
2304,62,Í2,1.28,2/16/2015
2304,63,Í2,1.30,2/17/2015
2304,64,Í2,1.28,2/18/2015
2304,65,Í2,1.23,2/19/2015
2304,66,Í2,1.06,2/20/2015
2304,67,Í2,1.05,2/24/2015
2304,68,Í2,1.08,2/25/2015
2304,69,Í2,1.22,2/26/2015
2304,70,Í2,1.08,2/27/2015
2304,71,Í3,24.64,2/2/2015
2304,72,Í3,25.07,2/3/2015
2304,73,Í3,22.68,2/4/2015
2304,74,Í3,22.61,2/5/2015
2304,75,Í3,22.63,2/6/2015
2304,76,Í3,22.39,2/9/2015
2304,77,Í3,23.28,2/10/2015
2304,78,Í3,23.27,2/11/2015
2304,79,Í3,24.92,2/12/2015
2304,80,Í3,26.09,2/13/2015
2304,81,Í3,25.29,2/16/2015
2304,82,Í3,25.61,2/17/2015
2304,83,Í3,25.64,2/18/2015
2304,84,Í3,25.45,2/19/2015
2304,85,Í3,24.87,2/20/2015
2304,86,Í3,16.92,2/24/2015
2304,87,Í3,14.92,2/25/2015
2304,88,Í3,15.26,2/26/2015
2304,89,Í3,9.99,2/27/2015
2304,90,Í7,1611.51,2/2/2015
2304,91,Í7,1633.87,2/3/2015
2304,92,Í7,1719.54,2/4/2015
2304,93,Í7,1775.36,2/5/2015
2304,94,Í7,1705.07,2/6/2015
2304,95,Í7,1761.87,2/9/2015
2304,96,Í7,1848.10,2/10/2015
2304,97,Í7,1855.60,2/11/2015
2304,98,Í7,1830.91,2/12/2015
2304,99,Í7,1813.17,2/13/2015
2304,100,Í7,1834.38,2/16/2015
2304,101,Í7,1917.70,2/17/2015
2304,102,Í7,1910.97,2/18/2015
2304,103,Í7,1927.12,2/19/2015
2304,104,Í7,1925.85,2/20/2015
2304,105,Í7,1942.85,2/24/2015
2304,106,Í7,1879.92,2/25/2015
2309,1,Í2,14.79,2/27/2015
2571,1,Í1.0,0.00,2/2/2015
2571,2,Í1.0,0.00,2/3/2015
2571,3,Í1.0,0.00,2/4/2015
2571,4,Í1.0,0.00,2/5/2015
2571,5,Í1.0,0.00,2/6/2015
