REGN,C1_4,C2_4,C3_4,C4_4
554,1,Í10.1,5.35,2/26/2014
554,2,Í10.1,5.35,2/27/2014
554,3,Í10.1,5.34,2/28/2014
639,1,Í2,14.65,2/4/2014
639,2,Í2,14.67,2/6/2014
1950,1,Í1.0,0.00,2/3/2014
1950,2,Í1.0,0.00,2/4/2014
1950,3,Í1.0,0.00,2/5/2014
1950,4,Í1.0,0.00,2/6/2014
1950,5,Í1.0,0.00,2/7/2014
1950,6,Í1.0,0.00,2/8/2014
1950,7,Í1.0,0.00,2/10/2014
1950,8,Í1.0,0.00,2/11/2014
1950,9,Í1.0,0.00,2/12/2014
1950,10,Í1.0,0.00,2/13/2014
1950,11,Í1.0,0.00,2/14/2014
1950,12,Í1.0,0.00,2/17/2014
1950,13,Í1.0,0.00,2/18/2014
1950,14,Í1.0,0.00,2/19/2014
1950,15,Í1.0,0.00,2/20/2014
1950,16,Í1.0,0.00,2/21/2014
1950,17,Í1.0,0.00,2/24/2014
1950,18,Í1.0,0.00,2/25/2014
1950,19,Í1.0,0.00,2/26/2014
1950,20,Í1.0,0.00,2/27/2014
1950,21,Í1.0,0.00,2/28/2014
1950,22,Í1.1,0.00,2/3/2014
1950,23,Í1.1,0.00,2/4/2014
1950,24,Í1.1,0.00,2/5/2014
1950,25,Í1.1,0.00,2/6/2014
1950,26,Í1.1,0.00,2/7/2014
1950,27,Í1.1,0.00,2/8/2014
1950,28,Í1.1,0.00,2/10/2014
1950,29,Í1.1,0.00,2/11/2014
1950,30,Í1.1,0.00,2/12/2014
1950,31,Í1.1,0.00,2/13/2014
1950,32,Í1.1,0.00,2/14/2014
1950,33,Í1.1,0.00,2/17/2014
1950,34,Í1.1,0.00,2/18/2014
1950,35,Í1.1,0.00,2/19/2014
1950,36,Í1.1,0.00,2/20/2014
1950,37,Í1.1,0.00,2/21/2014
1950,38,Í1.1,0.00,2/24/2014
1950,39,Í1.1,0.00,2/25/2014
1950,40,Í1.1,0.00,2/26/2014
1950,41,Í1.1,0.00,2/27/2014
1950,42,Í1.1,0.00,2/28/2014
1950,43,Í1.2,0.00,2/3/2014
1950,44,Í1.2,0.00,2/4/2014
1950,45,Í1.2,0.00,2/5/2014
1950,46,Í1.2,0.00,2/6/2014
1950,47,Í1.2,0.00,2/7/2014
1950,48,Í1.2,0.00,2/8/2014
1950,49,Í1.2,0.00,2/10/2014
1950,50,Í1.2,0.00,2/11/2014
1950,51,Í1.2,0.00,2/12/2014
1950,52,Í1.2,0.00,2/13/2014
1950,53,Í1.2,0.00,2/14/2014
1950,54,Í1.2,0.00,2/17/2014
1950,55,Í1.2,0.00,2/18/2014
1950,56,Í1.2,0.00,2/19/2014
1950,57,Í1.2,0.00,2/20/2014
1950,58,Í1.2,0.00,2/21/2014
1950,59,Í1.2,0.00,2/24/2014
1950,60,Í1.2,0.00,2/25/2014
1950,61,Í1.2,0.00,2/26/2014
1950,62,Í1.2,0.00,2/27/2014
1950,63,Í1.2,0.00,2/28/2014
1950,64,Í7,0.00,2/3/2014
1950,65,Í7,0.00,2/4/2014
1950,66,Í7,0.00,2/5/2014
1950,67,Í7,0.00,2/6/2014
1950,68,Í7,0.00,2/7/2014
1950,69,Í7,0.00,2/8/2014
1950,70,Í7,0.00,2/10/2014
1950,71,Í7,0.00,2/11/2014
1950,72,Í7,0.00,2/12/2014
1950,73,Í7,0.00,2/13/2014
1950,74,Í7,0.00,2/14/2014
1950,75,Í7,0.00,2/17/2014
1950,76,Í7,0.00,2/18/2014
1950,77,Í7,0.00,2/19/2014
1950,78,Í7,0.00,2/20/2014
1950,79,Í7,0.00,2/21/2014
1950,80,Í7,0.00,2/24/2014
1950,81,Í7,0.00,2/25/2014
1950,82,Í7,0.00,2/26/2014
1950,83,Í7,0.00,2/27/2014
1950,84,Í7,0.00,2/28/2014
1950,85,Í9.1,0.00,2/3/2014
1950,86,Í9.1,0.00,2/4/2014
1950,87,Í9.1,0.00,2/5/2014
1950,88,Í9.1,0.00,2/6/2014
1950,89,Í9.1,0.00,2/7/2014
1950,90,Í9.1,0.00,2/8/2014
1950,91,Í9.1,0.00,2/10/2014
1950,92,Í9.1,0.00,2/11/2014
1950,93,Í9.1,0.00,2/12/2014
1950,94,Í9.1,0.00,2/13/2014
