REGN,C1_3,C2_3
1,Í1,15.02
1,Í2,76.98
1,Í3,64.44
1,Í4,96.66
1,Í7,168.26
1,Í9.1,0.00
1,Í10.1,0.22
1,Í12,17.11
2,Í1,37.75
2,Í2,36.72
2,Í3,67.52
2,Í4,97.57
2,Í7,185.14
2,Í9.1,0.00
2,Í10.1,0.02
2,Í12,0.00
5,Í1,13.81
5,Í2,62.54
5,Í3,97.84
5,Í4,80.71
5,Í7,315.92
5,Í9.1,1.45
5,Í10.1,2.26
5,Í12,0.00
18,Í1,16.33
18,Í2,47.75
18,Í3,89.82
18,Í4,39.73
18,Í7,257.35
18,Í9.1,0.00
18,Í10.1,1.32
18,Í12,0.00
21,Í1,20.67
21,Í2,80.39
21,Í3,107.21
21,Í4,94.65
21,Í7,274.99
21,Í9.1,0.00
21,Í10.1,2.23
21,Í12,0.00
23,Í1,14.18
23,Í2,43.82
23,Í3,119.16
23,Í4,72.67
23,Í7,527.77
23,Í9.1,0.02
23,Í10.1,0.56
23,Í12,0.00
52,Í1,13.77
52,Í2,67.59
52,Í3,73.92
52,Í4,33.40
52,Í7,380.34
52,Í9.1,2.88
52,Í10.1,1.09
52,Í12,0.00
53,Í1,12.90
53,Í2,65.60
53,Í3,91.50
53,Í4,62.87
53,Í7,482.54
53,Í9.1,0.08
53,Í10.1,1.01
53,Í12,0.00
55,Í1,14.21
55,Í2,55.59
55,Í3,57.74
55,Í4,90.09
55,Í7,397.25
55,Í9.1,10.05
55,Í10.1,0.62
55,Í12,0.00
65,Í1,14.34
65,Í2,48.80
65,Í3,69.16
65,Í4,89.79
65,Í7,352.46
65,Í9.1,0.00
65,Í10.1,2.26
65,Í12,0.00
67,Í1,23.65
67,Í2,37.76
67,Í3,54.14
67,Í4,115.50
67,Í7,229.63
67,Í9.1,0.00
67,Í10.1,0.15
67,Í12,0.00
77,Í1,12.26
77,Í2,57.63
77,Í3,86.81
77,Í4,64.56
77,Í7,593.62
77,Í9.1,0.00
77,Í10.1,0.86
77,Í12,0.00
84,Í1,15.44
84,Í2,63.37
84,Í3,80.47
84,Í4,104.41
84,Í7,56.37
84,Í9.1,3.47
84,Í10.1,1.27
84,Í12,0.00
85,Í1,18.66
85,Í2,71.17
85,Í3,98.50
85,Í4,70.91
85,Í7,350.38
85,Í9.1,0.00
85,Í10.1,1.76
85,Í12,0.00
96,Í1,21.59
96,Í2,59.48
96,Í3,128.11
96,Í4,34.22
96,Í7,306.59
96,Í9.1,0.00
96,Í10.1,2.59
96,Í12,0.00
101,Í1,24.39
101,Í2,34.49
101,Í3,57.13
101,Í4,0.91
101,Í7,375.05
101,Í9.1,0.56
101,Í10.1,0.75
101,Í12,0.00
103,Í1,36.13
103,Í2,57.07
103,Í3,89.27
103,Í4,29.40
103,Í7,147.79
103,Í9.1,0.00
103,Í10.1,2.59
103,Í12,0.00
106,Í1,31.77
106,Í2,32.56
106,Í3,69.91
106,Í4,75.35
106,Í7,214.75
106,Í9.1,12.65
106,Í10.1,1.59
107,Í1,12.15
107,Í2,55.92
107,Í3,69.53
107,Í4,63.70
107,Í7,550.55
107,Í9.1,8.16
107,Í10.1,0.36
107,Í12,1.86
121,Í1,47.89
121,Í2,155.52
121,Í3,64.62
121,Í4,2.41
121,Í7,95.05
121,Í9.1,0.00
121,Í10.1,0.04
121,Í12,0.02
138,Í1,14.23
138,Í2,59.78
138,Í3,61.67
138,Í4,52.74
138,Í7,255.93
138,Í9.1,0.00
138,Í10.1,1.88
138,Í12,0.00
142,Í1,64.32
142,Í2,78.86
142,Í3,88.98
142,Í4,70.50
142,Í7,78.06
142,Í9.1,5.79
142,Í10.1,1.02
142,Í12,0.00
149,Í1,73.01
149,Í2,108.92
149,Í3,117.55
149,Í4,86.50
149,Í7,19.84
149,Í9.1,0.00
149,Í10.1,0.01
149,Í12,0.00
153,Í1,19.76
153,Í2,56.50
153,Í3,72.92
153,Í4,71.50
153,Í7,304.08
153,Í9.1,1.43
153,Í10.1,1.13
153,Í12,0.00
155,Í1,33.77
155,Í2,38.91
155,Í3,94.30
155,Í4,8.93
155,Í7,46.78
155,Í9.1,0.00
155,Í10.1,0.00
155,Í12,0.80
170,Í1,44.51
170,Í2,112.27
170,Í3,106.98
170,Í4,87.62
170,Í7,77.53
170,Í9.1,0.00
170,Í10.1,0.24
170,Í12,0.00
184,Í1,64.99
184,Í2,173.89
184,Í3,176.51
184,Í4,22.64
184,Í7,76.97
184,Í9.1,0.00
184,Í10.1,0.00
184,Í12,0.02
197,Í1,11.73
197,Í2,34.09
197,Í3,63.17
197,Í4,58.33
197,Í7,579.89
197,Í9.1,0.06
197,Í10.1,1.07
197,Í12,0.01
208,Í1,40.11
208,Í2,70.58
208,Í3,66.60
208,Í4,38.13
208,Í7,115.40
208,Í9.1,0.01
208,Í10.1,0.23
208,Í12,0.00
210,Í1,14.40
210,Í2,24.20
210,Í3,73.87
210,Í4,88.60
210,Í7,460.40
210,Í9.1,0.00
210,Í10.1,0.18
210,Í12,0.00
212,Í1,10.51
212,Í2,92.65
212,Í3,99.09
212,Í4,59.64
212,Í7,600.05
212,Í9.1,0.02
212,Í10.1,0.34
212,Í12,0.00
226,Í1,23.02
226,Í2,140.72
226,Í3,139.77
226,Í4,119.06
226,Í7,367.30
226,Í9.1,1.12
226,Í10.1,1.37
226,Í12,0.00
232,Í1,15.74
232,Í2,52.70
232,Í3,70.94
232,Í4,80.45
232,Í7,337.25
232,Í9.1,0.00
232,Í10.1,1.29
232,Í12,0.00
236,Í1,57.86
236,Í2,103.15
236,Í3,118.61
236,Í4,30.64
236,Í7,66.69
236,Í9.1,2.40
236,Í10.1,2.61
236,Í12,0.00
249,Í1,12.97
249,Í2,60.40
249,Í3,133.51
249,Í4,64.52
249,Í7,304.97
249,Í9.1,0.00
249,Í10.1,1.35
249,Í12,0.00
254,Í1,13.60
254,Í2,34.43
254,Í3,94.74
254,Í4,94.83
254,Í7,268.10
254,Í9.1,0.00
254,Í10.1,1.91
254,Í12,0.00
256,Í1,24.99
256,Í2,47.79
256,Í3,107.99
256,Í4,79.83
256,Í7,329.30
256,Í9.1,0.00
256,Í10.1,0.75
256,Í12,0.00
272,Í1,32.08
272,Í2,27.88
272,Í3,64.70
272,Í4,3.33
272,Í7,172.37
272,Í9.1,0.00
272,Í10.1,0.00
272,Í12,0.00
286,Í1,18.80
286,Í2,102.99
286,Í3,162.28
286,Í4,3.60
286,Í7,436.97
286,Í9.1,0.00
286,Í10.1,0.00
286,Í12,0.00
312,Í1,14.37
312,Í2,103.89
312,Í3,129.10
312,Í4,32.65
312,Í7,274.77
312,Í9.1,5.98
312,Í10.1,0.68
312,Í12,6.60
316,Í1,19.88
316,Í2,79.52
316,Í3,203.09
316,Í4,40.30
316,Í7,13.28
316,Í9.1,0.00
316,Í10.1,0.39
316,Í12,0.00
323,Í1,13.43
323,Í2,57.08
323,Í3,64.14
323,Í4,98.92
323,Í7,192.80
323,Í9.1,0.00
323,Í10.1,1.19
323,Í12,0.76
324,Í1,80.46
324,Í2,257.88
324,Í3,570.20
324,Í4,18.54
324,Í7,26.58
324,Í9.1,0.00
324,Í10.1,0.19
324,Í12,0.85
328,Í1,16.01
328,Í2,67.45
328,Í3,88.31
328,Í4,102.40
328,Í7,397.10
328,Í9.1,0.00
328,Í10.1,0.39
328,Í12,7.19
330,Í1,44.37
330,Í2,86.91
