REGN,C1_4
1,9/4/2010
1,9/5/2010
1,9/11/2010
1,9/12/2010
1,9/18/2010
1,9/19/2010
1,9/25/2010
1,9/26/2010
23,9/4/2010
23,9/5/2010
23,9/11/2010
23,9/12/2010
23,9/18/2010
23,9/19/2010
23,9/25/2010
23,9/26/2010
55,9/5/2010
55,9/12/2010
55,9/19/2010
55,9/26/2010
67,9/4/2010
67,9/5/2010
67,9/11/2010
67,9/12/2010
67,9/18/2010
67,9/19/2010
67,9/25/2010
67,9/26/2010
84,9/5/2010
84,9/12/2010
84,9/19/2010
84,9/26/2010
85,9/4/2010
85,9/5/2010
85,9/11/2010
85,9/12/2010
85,9/18/2010
85,9/19/2010
85,9/25/2010
85,9/26/2010
96,9/4/2010
96,9/5/2010
96,9/11/2010
96,9/12/2010
96,9/18/2010
96,9/19/2010
96,9/25/2010
96,9/26/2010
101,9/5/2010
101,9/12/2010
101,9/19/2010
101,9/26/2010
103,9/4/2010
103,9/5/2010
103,9/11/2010
103,9/12/2010
103,9/18/2010
103,9/19/2010
103,9/25/2010
103,9/26/2010
106,9/5/2010
106,9/12/2010
106,9/19/2010
106,9/26/2010
142,9/4/2010
142,9/5/2010
142,9/11/2010
142,9/12/2010
142,9/18/2010
142,9/19/2010
142,9/25/2010
142,9/26/2010
155,9/4/2010
155,9/5/2010
155,9/11/2010
155,9/12/2010
155,9/18/2010
155,9/19/2010
155,9/25/2010
155,9/26/2010
170,9/4/2010
170,9/5/2010
170,9/11/2010
170,9/12/2010
170,9/18/2010
170,9/19/2010
170,9/25/2010
170,9/26/2010
197,9/4/2010
197,9/5/2010
197,9/11/2010
197,9/12/2010
197,9/18/2010
197,9/19/2010
197,9/25/2010
197,9/26/2010
208,9/4/2010
208,9/5/2010
208,9/11/2010
208,9/12/2010
208,9/18/2010
208,9/19/2010
208,9/25/2010
208,9/26/2010
210,9/5/2010
210,9/12/2010
210,9/19/2010
210,9/26/2010
226,9/4/2010
226,9/5/2010
226,9/11/2010
226,9/12/2010
226,9/18/2010
226,9/19/2010
226,9/25/2010
226,9/26/2010
232,9/4/2010
232,9/5/2010
232,9/11/2010
232,9/12/2010
232,9/18/2010
232,9/19/2010
232,9/25/2010
232,9/26/2010
236,9/4/2010
236,9/5/2010
236,9/11/2010
236,9/12/2010
236,9/18/2010
236,9/19/2010
236,9/25/2010
236,9/26/2010
249,9/5/2010
249,9/12/2010
249,9/19/2010
249,9/26/2010
256,9/4/2010
256,9/5/2010
256,9/11/2010
256,9/12/2010
256,9/18/2010
256,9/19/2010
256,9/25/2010
256,9/26/2010
272,9/4/2010
272,9/5/2010
272,9/11/2010
272,9/12/2010
272,9/18/2010
272,9/19/2010
272,9/25/2010
272,9/26/2010
286,9/4/2010
286,9/5/2010
286,9/11/2010
286,9/12/2010
286,9/18/2010
286,9/19/2010
286,9/25/2010
286,9/26/2010
324,9/4/2010
324,9/5/2010
324,9/11/2010
324,9/12/2010
324,9/18/2010
324,9/19/2010
324,9/25/2010
324,9/26/2010
330,9/4/2010
330,9/5/2010
330,9/11/2010
330,9/12/2010
330,9/18/2010
330,9/19/2010
330,9/25/2010
330,9/26/2010
347,9/4/2010
347,9/5/2010
347,9/9/2010
347,9/10/2010
347,9/11/2010
347,9/18/2010
347,9/19/2010
347,9/25/2010
347,9/26/2010
370,9/4/2010
370,9/5/2010
370,9/11/2010
370,9/12/2010
370,9/18/2010
370,9/19/2010
370,9/25/2010
370,9/26/2010
383,9/4/2010
383,9/5/2010
